sample,pair,open_date,close_date,profit_ratio,is_win,risk_pct,compression_high,false_break_3h,false_break_6h,hit_half_r_6h,hit_1r_12h,max_favorable_r,max_adverse_r
full_20221001_20260507,BNB/USDT:USDT,2023-04-14 01:00:00+00:00,2023-04-16 14:00:00+00:00,0.049994664152487316,True,0.02238907438664736,325.04,False,False,True,False,0.9457500901389755,0.017639528223538457
full_20221001_20260507,XRP/USDT:USDT,2023-06-22 02:00:00+00:00,2023-06-22 11:00:00+00:00,-0.03541283048421105,False,0.0345189717770852,0.5033,False,False,True,True,1.1779969990540338,1.7384033384098425
full_20221001_20260507,XRP/USDT:USDT,2023-10-23 23:00:00+00:00,2023-10-24 12:00:00+00:00,0.04997791590728235,True,0.049125675795701616,0.5396,False,False,False,False,0.2551427485217581,0.5546581489603429
full_20221001_20260507,XRP/USDT:USDT,2023-10-27 16:00:00+00:00,2023-10-27 17:00:00+00:00,-0.020535957934529857,False,0.019467080146389534,0.5544,True,True,False,False,0.009253967198810706,2.877983798830448
full_20221001_20260507,BNB/USDT:USDT,2023-10-29 13:00:00+00:00,2023-10-31 15:00:00+00:00,-0.017180620028708075,False,0.015475735786723942,226.36,True,True,False,False,0.39011844615598307,0.2847579898948772
full_20221001_20260507,ZEC/USDT:USDT,2023-10-29 15:00:00+00:00,2023-10-31 15:00:00+00:00,-0.021154961699284276,False,0.019859179212208804,28.0,True,True,False,False,0.8601488687561833,0.6271918834680571
full_20221001_20260507,BNB/USDT:USDT,2023-11-04 09:00:00+00:00,2023-11-06 12:00:00+00:00,0.04999596716239076,True,0.023375841391410464,232.24,False,False,False,False,0.5730661931074867,0.17520495075897904
full_20221001_20260507,DOGE/USDT:USDT,2023-11-05 11:00:00+00:00,2023-11-06 15:00:00+00:00,0.049965728497285485,True,0.027825998050568068,0.07011,True,True,True,False,0.6679664503094076,0.6475705281625564
full_20221001_20260507,ZEC/USDT:USDT,2023-11-05 12:00:00+00:00,2023-11-07 08:00:00+00:00,0.050119534455090445,True,0.027521082701567404,28.61,True,True,False,False,0.35437193782046567,0.8985859851876182
full_20221001_20260507,ZEC/USDT:USDT,2023-11-08 11:00:00+00:00,2023-11-09 16:00:00+00:00,-0.047241058649517505,False,0.046098778148821344,30.11,True,True,False,False,0.035808103197166236,0.5872528924335181
full_20221001_20260507,BNB/USDT:USDT,2023-11-11 15:00:00+00:00,2023-11-12 00:00:00+00:00,-0.029524576822635862,False,0.028223269046116235,250.63,False,False,False,False,0.3616057440353804,1.3735411982739356
full_20221001_20260507,ZEC/USDT:USDT,2023-11-16 05:00:00+00:00,2023-11-16 13:00:00+00:00,-0.03705586233063663,False,0.03607750652215611,30.72,True,True,False,False,0.17975422725274268,1.2672673021318406
full_20221001_20260507,DOGE/USDT:USDT,2023-11-20 12:00:00+00:00,2023-11-20 14:00:00+00:00,-0.02911625440339057,False,0.028164241895616934,0.08134,True,True,False,False,0.25200059714457906,1.3121410403045364
full_20221001_20260507,XRP/USDT:USDT,2023-11-26 11:00:00+00:00,2023-11-26 14:00:00+00:00,-0.025742058786255916,False,0.024835965001033435,0.6239,False,False,False,False,0.24772099520255264,1.0416985439286772
full_20221001_20260507,ZEC/USDT:USDT,2023-11-24 16:00:00+00:00,2023-11-26 16:00:00+00:00,-0.021070714911222713,False,0.01939169681808144,29.27,False,False,True,True,1.613158312347709,0.052602988446123045
full_20221001_20260507,DOGE/USDT:USDT,2023-11-25 02:00:00+00:00,2023-11-26 16:00:00+00:00,-0.028220712687749627,False,0.02682769514426156,0.0787,True,True,False,False,0.09916052331500552,0.6610701554333637
full_20221001_20260507,DOGE/USDT:USDT,2023-11-30 17:00:00+00:00,2023-12-04 04:00:00+00:00,0.05000689164654967,True,0.02938505609727408,0.0831,False,False,False,False,0.5020752183504524,0.4367646208414529
full_20221001_20260507,DOGE/USDT:USDT,2023-12-08 20:00:00+00:00,2023-12-11 01:00:00+00:00,0.050025820393617526,True,0.04467477866289592,0.09899,False,False,True,True,1.0304309944451493,0.07806295412463322
