signal_date,pair,side,entry_tag,open_slots,occupant_pairs,occupant_tags,match_status,counterfactual_open_date,counterfactual_close_date,counterfactual_profit_ratio,counterfactual_exit_reason,close,enter_initial_stop,enter_risk_pct,atr_pct,body_pct_of_range,close_position,compression_width_pct,pullback_depth_short,pullback_depth_long_1h,trend_up_4h,trend_down_4h,long_strong_trend_context
2026-02-10 19:00:00+00:00,TAO/USDT:USDT,short,short_compression_breakdown,3,BNB/USDT:USDT|ADA/USDT:USDT|DOGE/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-02-10 19:00:00+00:00,2026-02-11 14:10:00+00:00,5.607223550166097e-06,trailing_stop_loss,154.09,,,0.017065519466996193,0.19341564178466797,0.6296296119689941,0.041663963347673416,0.04201020672917366,0.06360293924808502,False,True,False
2026-02-11 05:00:00+00:00,BTC/USDT:USDT,short,short_pullback_restart,3,BNB/USDT:USDT|ADA/USDT:USDT|DOGE/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-02-11 05:00:00+00:00,2026-02-11 19:05:00+00:00,-9.378136751489921e-05,trailing_stop_loss,67367.8,,,0.01001275796443224,0.42648443579673767,0.02544769085943699,0.03915669023990631,0.03918449208140373,0.03770696371793747,False,True,False
2026-02-11 05:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,3,BNB/USDT:USDT|ADA/USDT:USDT|DOGE/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-02-11 05:00:00+00:00,2026-02-11 14:00:00+00:00,9.43269214699894e-05,trailing_stop_loss,8.366,,,0.011777719482779503,0.4935064911842346,0.11688311398029327,0.03406646102666855,0.03405424952507019,0.04025229439139366,False,True,False
2026-02-22 13:00:00+00:00,SUI/USDT:USDT,short,short_compression_breakdown,3,ADA/USDT:USDT|TAO/USDT:USDT|XRP/USDT:USDT,short_compression_breakdown|short_compression_breakdown|short_pullback_restart,matched_counterfactual_entry,2026-02-22 13:00:00+00:00,2026-02-25 14:45:00+00:00,-0.0003218402665889866,trailing_stop_loss,0.9234,,,0.007946771569550037,0.3176470696926117,0.38823530077934265,0.023716699331998825,0.023703863844275475,0.04673957824707031,False,True,False
2026-03-22 00:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,3,BNB/USDT:USDT|SUI/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-03-22 00:00:00+00:00,2026-03-23 11:05:00+00:00,0.00149004862046866,trailing_stop_loss,8.851,,,0.00861363299190998,0.14159291982650757,0.8274336457252502,0.043158963322639465,0.043617263436317444,0.045241471379995346,False,True,False
2026-03-22 20:00:00+00:00,LINK/USDT:USDT,short,short_compression_breakdown,3,BNB/USDT:USDT|SUI/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,unresolved,,,,,8.692,,,0.007407773286104202,0.1690140813589096,0.2535211145877838,0.02047860063612461,0.02262234501540661,0.04635325074195862,False,True,False
2026-03-29 11:00:00+00:00,NEAR/USDT:USDT,short,short_pullback_restart,3,XRP/USDT:USDT|ADA/USDT:USDT|ETH/USDT:USDT,short_pullback_restart|short_compression_breakdown|short_pullback_restart,matched_counterfactual_entry,2026-03-29 11:00:00+00:00,2026-03-29 22:55:00+00:00,0.0008284372114591128,trailing_stop_loss,1.164,,,0.007498850580304861,0.6666666865348816,0.6666666865348816,0.02147766388952732,0.02166377753019333,0.031066330149769783,False,True,False
2026-03-29 14:00:00+00:00,BNB/USDT:USDT,short,short_pullback_restart,3,XRP/USDT:USDT|ADA/USDT:USDT|ETH/USDT:USDT,short_pullback_restart|short_compression_breakdown|short_pullback_restart,matched_counterfactual_entry,2026-03-29 14:00:00+00:00,2026-03-30 00:15:00+00:00,1.6810031085109482e-05,trailing_stop_loss,609.12,,,0.0037683008704334497,0.28484848141670227,0.06969697028398514,0.008815997280180454,0.008972655981779099,0.014657401479780674,False,True,False
2026-03-29 14:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,3,XRP/USDT:USDT|ADA/USDT:USDT|ETH/USDT:USDT,short_pullback_restart|short_compression_breakdown|short_pullback_restart,matched_counterfactual_entry,2026-03-29 14:00:00+00:00,2026-03-29 23:00:00+00:00,2.15996899311906e-05,trailing_stop_loss,8.432,,,0.006790557876229286,0.0923076942563057,0.26153847575187683,0.022533206269145012,0.027498804032802582,0.03324513882398605,False,True,False
2026-05-31 15:00:00+00:00,LINK/USDT:USDT,short,short_pullback_restart,3,ADA/USDT:USDT|DOGE/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-05-31 15:00:00+00:00,2026-06-01 17:40:00+00:00,0.00027185795509288696,trailing_stop_loss,9.092,,,0.007283537182956934,0.0357142873108387,0.0714285746216774,0.02738671377301216,0.027577804401516914,0.02893095277249813,False,True,False
2026-05-31 15:00:00+00:00,TAO/USDT:USDT,short,short_pullback_restart,3,ADA/USDT:USDT|DOGE/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-05-31 15:00:00+00:00,2026-06-02 03:15:00+00:00,0.0009625009455879995,trailing_stop_loss,253.26,,,0.010921439155936241,0.1438356190919876,0.2397260218858719,0.03186448663473129,0.03199460729956627,0.03100268915295601,False,True,False
2026-05-31 17:00:00+00:00,TAO/USDT:USDT,short,short_pullback_restart,3,ADA/USDT:USDT|DOGE/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,duplicate_signal_while_counterfactual_open,2026-05-31 15:00:00+00:00,2026-06-02 03:15:00+00:00,0.0009625009455879995,trailing_stop_loss,252.79,,,0.011310668662190437,0.7011494040489197,0.8467432856559753,0.0419715978205204,0.04249609634280205,0.040837496519088745,False,True,False
2026-06-10 09:00:00+00:00,SOL/USDT:USDT,short,short_compression_breakdown,3,BTC/USDT:USDT|ETH/USDT:USDT|DOGE/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,matched_counterfactual_entry,2026-06-10 09:00:00+00:00,2026-06-10 15:50:00+00:00,-0.03437767956013238,trailing_stop_loss,63.6,,,0.011566719971597195,0.02857142873108387,0.8285714387893677,0.03553459048271179,0.03566356375813484,0.05120526999235153,False,True,False
