sample,pair,open_date,second_add_time,signal_1h_date,signal_4h_date,hours_after_open,hours_after_first_add,profit_at_first_add,profit_at_second_add,extra_drop_after_first_add,delta_abs,delta_direction,exit_reason,baseline_exit_reason,close_position_1h,body_ratio_1h,range_pct_1h,ret_1h,ret_3h,ret_6h,ret_12h,ret_24h,dist_ema20_1h,dist_ema50_1h,ema20_slope_3_1h,ema50_slope_3_1h,atr_pct_1h,vol_ratio_24_1h,lower_wick_ratio_1h,upper_wick_ratio_1h,ret_4h_1,ret_4h_3,dist_ema20_4h,dist_ema50_4h,ema20_slope_3_4h,ema50_slope_3_4h,atr_pct_4h
3y,XRP/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-05T06:10:00+00:00,2026-04-05T06:00:00+00:00,2026-04-05T04:00:00+00:00,76.17,75.75,0.00258,0.01849,0.01587,0.54701,improved,stale_loss_72h,trailing_stop_loss,0.77215,0.10127,0.00607,0.00062,-0.00907,-0.00846,-0.00922,-0.01402,-0.00804,-0.01032,-0.00213,-0.00105,0.0043,2.87757,0.67089,0.22785,-0.01189,-0.01511,-0.0149,-0.02657,-0.00243,-0.00235,0.00946
5y,DOGE/USDT:USDT,2021-11-20 15:00:00+00:00,2021-11-20T15:55:00+00:00,2021-11-20T15:00:00+00:00,2021-11-20T12:00:00+00:00,0.92,0.83,0.00333,0.01748,0.01411,-1.73594,worsened,trailing_stop_loss,trailing_stop_loss,0.13172,0.72964,0.02554,-0.01842,-0.03143,-0.02968,-0.03055,-0.04174,-0.02434,-0.024,-0.00352,-0.00117,0.00985,3.47008,0.13172,0.13865,-0.03168,-0.03055,-0.02914,-0.06737,-0.00359,-0.00617,0.03167
5y,XRP/USDT:USDT,2021-11-28 02:00:00+00:00,2021-11-28T02:40:00+00:00,2021-11-28T02:00:00+00:00,2021-11-28T00:00:00+00:00,0.67,0.08,0.0051,0.01938,0.01421,-0.09249,worsened,trailing_stop_loss,trailing_stop_loss,0.74423,0.17229,0.06121,-0.01033,-0.02718,-0.02149,-0.03595,-0.03585,-0.02804,-0.0463,-0.00597,-0.00446,0.01469,6.40196,0.74423,0.08348,-0.03765,-0.04852,-0.06774,-0.10904,-0.01453,-0.01056,0.03595
5y,ETH/USDT:USDT,2021-12-13 15:00:00+00:00,2021-12-13T15:50:00+00:00,2021-12-13T15:00:00+00:00,2021-12-13T12:00:00+00:00,0.83,0.58,0.00539,0.02494,0.01944,0.43685,improved,trailing_stop_loss,trailing_stop_loss,0.29187,0.70813,0.04167,-0.02871,-0.04541,-0.0479,-0.04669,-0.05381,-0.04599,-0.05458,-0.00838,-0.00407,0.01401,3.77155,0.29187,0.0,-0.05067,-0.04669,-0.05819,-0.079,-0.00978,-0.00618,0.02785
5y,XRP/USDT:USDT,2022-01-08 17:00:00+00:00,2022-01-10T13:00:00+00:00,2022-01-10T13:00:00+00:00,2022-01-10T12:00:00+00:00,44.0,43.42,0.0047,0.01978,0.015,2.21454,improved,partial_exit,partial_exit,0.1039,0.27273,0.01053,-0.00286,-0.01853,-0.02741,-0.02585,-0.01522,-0.02154,-0.02775,-0.00572,-0.00285,0.00829,1.76309,0.1039,0.62338,-0.02387,-0.03929,-0.04051,-0.07444,-0.0075,-0.00702,0.02767
5y,NEAR/USDT:USDT,2022-02-13 18:00:00+00:00,2022-02-13T18:40:00+00:00,2022-02-13T18:00:00+00:00,2022-02-13T16:00:00+00:00,0.67,0.08,0.0045,0.02102,0.01645,0.30978,improved,trailing_stop_loss,trailing_stop_loss,0.14474,0.75877,0.04479,-0.03296,-0.04637,-0.05504,-0.05993,-0.07747,-0.04952,-0.07128,-0.00741,-0.0054,0.01659,2.33221,0.14474,0.09649,-0.03934,-0.04984,-0.08244,-0.12663,-0.01887,-0.01253,0.04328
5y,XRP/USDT:USDT,2022-05-03 17:00:00+00:00,2022-05-03T20:10:00+00:00,2022-05-03T20:00:00+00:00,2022-05-03T20:00:00+00:00,3.17,1.17,0.0078,0.01793,0.01006,-10.77686,worsened,trailing_stop_loss,trailing_stop_loss,0.89216,0.65686,0.01687,0.0112,-0.0069,-0.01946,-0.01898,-0.00346,-0.01142,-0.01247,-0.00557,-0.00218,0.01004,1.07048,0.23529,0.10784,0.0107,-0.02579,-0.01352,-0.04548,-0.00401,-0.00548,0.02451
5y,ZEC/USDT:USDT,2022-08-30 14:00:00+00:00,2022-08-30T14:40:00+00:00,2022-08-30T14:00:00+00:00,2022-08-30T12:00:00+00:00,0.67,0.33,0.00321,0.01724,0.01399,-0.19551,worsened,partial_exit,partial_exit,0.31088,0.59585,0.03133,-0.01817,-0.03068,-0.03494,-0.029,-0.01895,-0.02471,-0.01971,-0.00384,-0.00069,0.0112,4.04055,0.31088,0.09326,-0.03179,-0.03467,-0.02142,-0.04118,0.00024,-0.00239,0.02257
5y,NEAR/USDT:USDT,2022-09-27 16:00:00+00:00,2022-09-27T16:25:00+00:00,2022-09-27T16:00:00+00:00,2022-09-27T16:00:00+00:00,0.42,0.17,0.0093,0.02018,0.01078,1.32849,improved,partial_exit,partial_exit,0.26087,0.7029,0.0382,-0.02562,-0.04342,-0.04291,-0.04037,-0.00987,-0.03005,-0.02709,-0.00302,-0.00061,0.01441,3.51774,0.26087,0.03623,-0.03317,-0.04907,-0.03358,-0.06227,-0.00338,-0.00485,0.02728
5y,LINK/USDT:USDT,2023-05-23 19:00:00+00:00,2023-05-24T04:30:00+00:00,2023-05-24T04:00:00+00:00,2023-05-24T04:00:00+00:00,9.5,0.5,0.00955,0.01735,0.00773,0.50537,improved,stale_loss_72h,stale_loss_72h,0.55844,0.44156,0.01211,-0.00532,-0.01974,-0.02396,-0.02366,-0.03463,-0.0203,-0.0226,-0.00426,-0.0018,0.00652,4.15062,0.55844,0.0,-0.00876,-0.02674,-0.02387,-0.02975,-0.00461,-0.00237,0.01357
