sample,pair,open_date,second_add_time,hours_after_open,hours_after_first_add,open_rate,first_add_rate,second_add_rate,profit_at_first_add,profit_at_second_add,extra_drop_after_first_add,final_profit_ratio,baseline_profit_abs,winner_profit_abs,delta_abs,delta_direction,exit_reason,baseline_exit_reason,trade_duration_min
5y,DOGE/USDT:USDT,2021-11-20 15:00:00+00:00,2021-11-20T15:55:00+00:00,0.92,0.83,0.22933,0.22857,0.22539,0.00333,0.01748,0.01411,-0.02562,-7.7949,-9.53084,-1.73594,worsened,trailing_stop_loss,trailing_stop_loss,475
5y,XRP/USDT:USDT,2021-11-28 02:00:00+00:00,2021-11-28T02:40:00+00:00,0.67,0.08,0.9256,0.9209,0.908,0.0051,0.01938,0.01421,0.0009,0.33384,0.24135,-0.09249,worsened,trailing_stop_loss,trailing_stop_loss,1055
5y,ETH/USDT:USDT,2021-12-13 15:00:00+00:00,2021-12-13T15:50:00+00:00,0.83,0.58,3898.78,3877.86,3803.9,0.00539,0.02494,0.01944,0.00273,0.34114,0.77799,0.43685,improved,trailing_stop_loss,trailing_stop_loss,2490
5y,XRP/USDT:USDT,2022-01-08 17:00:00+00:00,2022-01-10T13:00:00+00:00,44.0,43.42,0.7476,0.7441,0.7331,0.0047,0.01978,0.015,0.0465,10.64779,12.86233,2.21454,improved,partial_exit,partial_exit,2725
5y,NEAR/USDT:USDT,2022-02-13 18:00:00+00:00,2022-02-13T18:40:00+00:00,0.67,0.08,10.491,10.444,10.275,0.0045,0.02102,0.01645,0.0022,0.21958,0.52936,0.30978,improved,trailing_stop_loss,trailing_stop_loss,1140
5y,XRP/USDT:USDT,2022-05-03 17:00:00+00:00,2022-05-03T20:10:00+00:00,3.17,1.17,0.6074,0.6027,0.5967,0.0078,0.01793,0.01006,-0.02601,0.08304,-10.69382,-10.77686,worsened,trailing_stop_loss,trailing_stop_loss,1505
5y,ZEC/USDT:USDT,2022-08-30 14:00:00+00:00,2022-08-30T14:40:00+00:00,0.67,0.33,62.54,62.34,61.48,0.00321,0.01724,0.01399,0.05308,18.01185,17.81633,-0.19551,worsened,partial_exit,partial_exit,2085
5y,NEAR/USDT:USDT,2022-09-27 16:00:00+00:00,2022-09-27T16:25:00+00:00,0.42,0.17,3.691,3.657,3.618,0.0093,0.02018,0.01078,0.05074,14.58236,15.91085,1.32849,improved,partial_exit,partial_exit,625
5y,LINK/USDT:USDT,2023-05-23 19:00:00+00:00,2023-05-24T04:30:00+00:00,9.5,0.5,6.451,6.39,6.341,0.00955,0.01735,0.00773,0.00209,0.65561,1.16097,0.50537,improved,stale_loss_72h,stale_loss_72h,6105
5y,XRP/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-05T16:55:00+00:00,12.92,0.92,0.55,0.5459,0.5403,0.00751,0.01795,0.01036,0.05565,31.95362,38.24122,6.2876,improved,partial_exit,partial_exit,2205
5y,TAO/USDT:USDT,2024-11-02 13:00:00+00:00,2024-11-02T13:55:00+00:00,0.92,0.58,448.88,444.24,439.98,0.01044,0.02023,0.00968,0.0744,33.56107,33.94717,0.38609,improved,roi,roi,3415
5y,SUI/USDT:USDT,2025-01-26 21:00:00+00:00,2025-01-26T21:50:00+00:00,0.83,0.67,4.0635,4.0519,3.988,0.00286,0.01893,0.01602,0.09999,59.84336,66.76054,6.91719,improved,roi,roi,495
5y,LINK/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-06T15:45:00+00:00,0.75,0.42,19.056,19.007,18.693,0.00258,0.01942,0.0168,3e-05,0.2345,0.01289,-0.22161,worsened,trailing_stop_loss,trailing_stop_loss,650
5y,ETH/USDT:USDT,2025-02-26 13:00:00+00:00,2025-02-26T14:25:00+00:00,1.42,0.42,2422.91,2415.74,2375.0,0.00297,0.02017,0.01715,0.0,-0.00043,0.00223,0.00267,improved,trailing_stop_loss,trailing_stop_loss,105
5y,SOL/USDT:USDT,2025-04-05 14:00:00+00:00,2025-04-06T13:25:00+00:00,23.42,0.42,117.24,116.38,115.06,0.00739,0.01895,0.01147,0.05349,20.99039,24.44518,3.45479,improved,partial_exit,partial_exit,1685
5y,ETH/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-20T16:30:00+00:00,0.5,0.33,2941.01,2917.84,2888.81,0.00794,0.01807,0.01005,0.04941,31.13551,31.22998,0.09447,improved,partial_exit,partial_exit,660
5y,XRP/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-20T16:15:00+00:00,0.25,0.08,2.0746,2.0571,2.0374,0.00851,0.01826,0.00967,0.04907,37.12129,37.17878,0.05748,improved,partial_exit,partial_exit,660
5y,ADA/USDT:USDT,2025-12-15 15:00:00+00:00,2025-12-15T15:25:00+00:00,0.42,0.33,0.391,0.3899,0.3839,0.00282,0.01849,0.01563,-6e-05,0.48689,-0.03892,-0.52581,worsened,trailing_stop_loss,trailing_stop_loss,1185
5y,BNB/USDT:USDT,2026-04-01 14:00:00+00:00,2026-04-02T02:45:00+00:00,12.75,0.75,608.6,604.51,596.88,0.00677,0.01964,0.01278,0.05095,69.45721,78.41171,8.9545,improved,partial_exit,partial_exit,1370
5y,XRP/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-05T06:10:00+00:00,76.17,75.75,1.322,1.3186,1.298,0.00258,0.01849,0.01587,0.0003,-0.33344,0.31307,0.64651,improved,stale_loss_72h,trailing_stop_loss,5595
