pair,open_date,enter_tag,baseline_profit_abs,winner_profit_abs,delta_abs,baseline_exit_reason,winner_exit_reason,direction
BNB/USDT:USDT,2025-12-17 16:00:00+00:00,short_pullback_restart,0.585,0.006,-0.58,trailing_stop_loss,trailing_stop_loss,worsened
BNB/USDT:USDT,2026-01-31 09:00:00+00:00,short_pullback_restart,54.337,53.501,-0.836,roi,roi,worsened
BNB/USDT:USDT,2026-02-09 08:00:00+00:00,short_pullback_restart,29.103,29.103,0.0,partial_exit,partial_exit,same
BNB/USDT:USDT,2026-03-22 00:00:00+00:00,short_pullback_restart,-27.657,-27.657,0.0,trailing_stop_loss,trailing_stop_loss,same
BNB/USDT:USDT,2026-04-01 14:00:00+00:00,short_pullback_restart,58.382,58.061,-0.321,partial_exit,partial_exit,worsened
BNB/USDT:USDT,2026-06-05 06:00:00+00:00,short_pullback_restart,0.002,0.004,0.002,trailing_stop_loss,trailing_stop_loss,improved
BTC/USDT:USDT,2023-08-17 14:00:00+00:00,short_compression_breakdown,34.055,34.055,0.0,roi,roi,same
BTC/USDT:USDT,2023-09-04 22:00:00+00:00,short_pullback_restart,-4.783,-4.783,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2023-10-24 00:00:00+00:00,long_1d_center_compression,33.09,33.09,0.0,roi,roi,same
BTC/USDT:USDT,2023-11-10 00:00:00+00:00,long_1d_center_compression,-0.242,-0.242,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2024-01-03 00:00:00+00:00,long_1d_center_compression,-6.728,-6.728,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2024-01-22 02:00:00+00:00,short_pullback_restart,17.102,17.102,0.0,partial_exit,partial_exit,same
BTC/USDT:USDT,2024-01-24 21:00:00+00:00,short_pullback_restart,-7.69,-7.69,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2024-02-08 00:00:00+00:00,long_1d_center_compression,35.479,35.479,0.0,roi,roi,same
BTC/USDT:USDT,2024-02-27 00:00:00+00:00,long_1d_center_compression,38.177,38.177,0.0,roi,roi,same
BTC/USDT:USDT,2024-04-09 00:00:00+00:00,long_1d_center_compression,-7.597,-7.597,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2024-04-25 11:00:00+00:00,short_compression_breakdown,-8.312,-8.312,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2024-06-21 09:00:00+00:00,short_compression_breakdown,2.055,2.055,0.0,stale_flat_120h,stale_flat_120h,same
BTC/USDT:USDT,2024-09-05 04:00:00+00:00,short_pullback_restart,19.394,19.394,0.0,partial_exit,partial_exit,same
BTC/USDT:USDT,2024-10-29 00:00:00+00:00,long_1d_center_compression,-0.387,-0.387,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2024-11-22 00:00:00+00:00,long_1d_center_compression,-8.598,-8.598,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2025-01-12 10:00:00+00:00,short_pullback_restart,-6.432,-6.432,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2025-02-09 14:00:00+00:00,short_pullback_restart,-8.172,-8.172,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2025-02-26 14:00:00+00:00,short_pullback_restart,27.937,27.937,0.0,partial_exit,partial_exit,same
BTC/USDT:USDT,2025-03-02 15:00:00+00:00,short_pullback_restart,-9.765,-9.765,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2025-03-09 10:00:00+00:00,short_pullback_restart,29.923,29.923,0.0,partial_exit,partial_exit,same
BTC/USDT:USDT,2025-03-13 14:00:00+00:00,short_pullback_restart,0.028,0.028,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2025-04-03 13:00:00+00:00,short_pullback_restart,-10.937,-10.937,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2025-04-08 15:00:00+00:00,short_pullback_restart,0.798,0.067,-0.731,trailing_stop_loss,trailing_stop_loss,worsened
BTC/USDT:USDT,2025-05-09 00:00:00+00:00,long_1d_center_compression,-0.451,-0.451,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2025-05-22 00:00:00+00:00,long_1d_center_compression,-0.258,-0.258,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2025-07-10 00:00:00+00:00,long_1d_center_compression,55.628,55.628,0.0,roi,roi,same
BTC/USDT:USDT,2025-08-11 00:00:00+00:00,long_1d_center_compression,-0.12,-0.12,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2025-08-21 17:00:00+00:00,short_pullback_restart,-11.02,-11.02,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2025-08-29 02:00:00+00:00,short_pullback_restart,0.517,0.517,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2025-09-25 18:00:00+00:00,short_compression_breakdown,-5.694,-5.694,0.0,stale_loss_72h,stale_loss_72h,same
BTC/USDT:USDT,2025-11-04 06:00:00+00:00,short_pullback_restart,0.077,0.077,0.0,trailing_stop_loss,trailing_stop_loss,same
BTC/USDT:USDT,2025-11-06 13:00:00+00:00,short_pullback_restart,0.067,0.057,-0.01,trailing_stop_loss,trailing_stop_loss,worsened
BTC/USDT:USDT,2026-01-29 15:15:00+00:00,short_compression_breakdown,76.733,76.733,0.0,roi,roi,same
BTC/USDT:USDT,2026-02-03 17:00:00+00:00,short_pullback_restart,0.001,0.0,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
BTC/USDT:USDT,2026-04-18 00:00:00+00:00,long_1d_center_compression,-19.22,-19.22,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2026-06-07 20:00:00+00:00,short_pullback_restart,-21.619,-21.619,0.0,stop_loss,stop_loss,same
BTC/USDT:USDT,2026-06-09 14:00:00+00:00,short_pullback_restart,0.732,0.732,0.0,trailing_stop_loss,trailing_stop_loss,same
DOGE/USDT:USDT,2023-09-04 22:00:00+00:00,short_pullback_restart,-7.56,-7.579,-0.018,stop_loss,stop_loss,worsened
DOGE/USDT:USDT,2023-11-07 00:00:00+00:00,long_1d_center_compression,-7.167,-7.183,-0.016,stop_loss,stop_loss,worsened
DOGE/USDT:USDT,2024-06-14 16:05:00+00:00,short_pullback_restart,-0.299,-0.301,-0.001,trailing_stop_loss,trailing_stop_loss,worsened
DOGE/USDT:USDT,2024-06-19 15:00:00+00:00,short_pullback_restart,-8.734,-8.777,-0.042,stop_loss,stop_loss,worsened
DOGE/USDT:USDT,2024-06-27 06:00:00+00:00,short_compression_breakdown,-8.345,-8.39,-0.045,stop_loss,stop_loss,worsened
DOGE/USDT:USDT,2024-07-10 01:00:00+00:00,short_pullback_restart,-8.802,-8.845,-0.043,stop_loss,stop_loss,worsened
DOGE/USDT:USDT,2024-08-03 16:00:00+00:00,short_pullback_restart,13.349,11.036,-2.313,partial_exit,partial_exit,worsened
DOGE/USDT:USDT,2024-09-03 14:00:00+00:00,short_pullback_restart,25.731,25.63,-0.101,partial_exit,partial_exit,worsened
DOGE/USDT:USDT,2024-09-05 04:00:00+00:00,short_pullback_restart,13.355,13.307,-0.049,partial_exit,partial_exit,worsened
DOGE/USDT:USDT,2024-10-29 00:00:00+00:00,long_1d_center_compression,45.351,45.302,-0.048,roi,roi,worsened
DOGE/USDT:USDT,2025-02-09 14:00:00+00:00,short_pullback_restart,0.018,0.018,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
DOGE/USDT:USDT,2025-02-18 06:00:00+00:00,short_compression_breakdown,0.003,0.003,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
DOGE/USDT:USDT,2025-02-23 16:00:00+00:00,short_pullback_restart,24.729,24.694,-0.036,partial_exit,partial_exit,worsened
DOGE/USDT:USDT,2025-03-09 03:00:00+00:00,short_compression_breakdown,32.136,32.022,-0.114,roi,roi,worsened
DOGE/USDT:USDT,2025-06-04 14:00:00+00:00,short_pullback_restart,21.921,21.84,-0.081,partial_exit,partial_exit,worsened
DOGE/USDT:USDT,2025-06-12 16:00:00+00:00,short_compression_breakdown,35.159,35.01,-0.149,roi,roi,worsened
DOGE/USDT:USDT,2025-09-01 00:00:00+00:00,short_pullback_restart,0.055,0.054,-0.001,trailing_stop_loss,trailing_stop_loss,worsened
DOGE/USDT:USDT,2025-11-06 06:00:00+00:00,short_pullback_restart,0.039,0.039,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
DOGE/USDT:USDT,2025-11-19 06:00:00+00:00,short_pullback_restart,17.157,17.125,-0.032,partial_exit,partial_exit,worsened
DOGE/USDT:USDT,2025-12-07 14:00:00+00:00,short_pullback_restart,0.01,0.01,-0.0,trailing_stop_loss,trailing_stop_loss,worsened
DOGE/USDT:USDT,2026-02-10 07:00:00+00:00,short_pullback_restart,24.303,24.245,-0.058,partial_exit,partial_exit,worsened
DOGE/USDT:USDT,2026-05-31 15:00:00+00:00,short_pullback_restart,-13.049,-13.02,0.029,trailing_stop_loss,trailing_stop_loss,improved
DOGE/USDT:USDT,2026-06-09 16:00:00+00:00,short_pullback_restart,-22.66,0.1,22.759,trailing_stop_loss,trailing_stop_loss,improved
ETH/USDT:USDT,2023-08-02 15:00:00+00:00,short_pullback_restart,-0.117,-0.117,0.0,stale_loss_72h,stale_loss_72h,same
