feature,direction,quantile,threshold,kept,removed,kept_delta_profit_abs,removed_positive_profit,removed_negative_profit,estimated_improvement,positive_profit_kill_pct,negative_loss_removed_pct
body_ratio,keep_le,0.4,0.7120000000000009,27,39,112.10837138999997,100.52375922000002,-47.57925308,-52.94450614,36.197633669209786,42.23439781365135
ema50_slope3_4h,keep_ge,0.2,-0.007625925395709832,53,13,108.98303661,60.906826970000004,-4.836986049999999,-56.06984092,21.93195944641281,4.293619168659342
ema20_distance,keep_ge,0.2,0.011526595074098261,53,13,107.91680495,82.91642363,-25.78035105,-57.13607258,29.857402379382968,22.884293710759618
atr_pct_rank_30d,keep_ge,0.2,0.09722222222222222,53,13,105.62467795,81.84740837999998,-22.4192088,-59.428199580000005,29.472460324822396,19.900728192064193
add_delay_h,keep_ge,0.6,0.5833333333333334,29,37,104.23442238999999,125.99114737,-65.17269223,-60.81845514,45.36819388222121,57.85146323336281
ema20_distance,keep_ge,0.3,0.013730006508317516,46,20,103.92134152,100.5777602,-39.446224189999995,-61.131536010000005,36.21707889993917,35.01499953952065
atr_pct_rank_30d,keep_le,0.7,0.48958333333333337,46,20,102.80030044,102.30225498000001,-40.04967789,-62.25257709000001,36.83805279501894,35.55066376243451
ret_12h,keep_ge,0.6,-0.01860765329645009,27,39,102.49681068000001,119.70014538999999,-57.14407854,-62.55606684999999,43.102864900781704,50.724750590239765
ema50_slope3_4h,keep_le,0.6,-0.0037108729024472042,40,26,102.03312679,112.90672360999999,-49.886972869999994,-63.01975074,40.65661940756753,44.28287796716316
close_position,keep_le,0.6,0.17424242424242053,40,26,102.01936240999999,113.53660436,-50.50308924,-63.033515120000004,40.88343337493905,44.8297823884312
ema20_slope3,keep_le,0.6,-0.002249190466610318,40,26,101.84713536999999,123.07280138,-59.86705922,-63.20574216,44.31732571050038,53.14184295368312
add_delay_h,keep_ge,0.7,0.8333333333333334,22,44,101.22922895000002,151.85676668,-88.0331181,-63.82364857999999,54.6821532852072,78.14384400612686
ema20_slope3,keep_ge,0.3,-0.00330309565249276,46,20,100.76983182999999,82.52454445000001,-18.24149875,-64.2830457,29.716290475985236,16.19232470146889
atr_pct_rank_30d,keep_ge,0.4,0.23472222222222222,40,26,99.50704710000002,105.03827107999997,-39.492440650000006,-65.54583043,37.823265736410356,35.05602423475698
ema20_slope3,keep_ge,0.2,-0.003509148462694456,53,13,96.52174747999999,74.12761666,-5.596486610000001,-68.53113005,26.692637973853632,4.967800596787198
distance_ema50_4h,keep_le,0.6,0.0484919573281914,40,26,95.94827535000002,109.12050337,-40.01590119,-69.10460217999999,39.29323811043037,35.52068139633403
distance_ema50_4h,keep_le,0.7,0.05845324118832462,46,20,94.38312232000001,100.23439618999998,-29.56464098,-70.66975521,36.09343684013547,26.243472260222777
atr_pct,keep_ge,0.2,0.007362546015912606,53,13,93.42727110999999,82.63229149,-11.006685069999996,-71.62560642,29.755089143216985,9.770239879014863
distance_ema50_4h,keep_le,0.8,0.06535334668745814,53,13,93.20902932000001,76.68085488,-4.837006669999999,-71.84384821,27.612034368048544,4.293637472294362
distance_ema50_4h,keep_ge,0.4,0.032918696279113854,40,26,91.62435108,120.84025761000001,-47.41173116,-73.42852645,43.513408286759045,42.085694608918594
ema50_slope3_4h,keep_ge,0.4,-0.005085436581050207,40,26,90.87716157000003,114.19161714999998,-40.01590119,-74.17571595999999,41.119297146897445,35.52068139633403
atr_pct_rank_30d,keep_le,0.8,0.6569444444444444,54,12,90.5646882,81.63733843,-7.1491491,-74.48818933000001,29.39681616712265,6.346043444835589
ema50_slope3_4h,keep_le,0.3,-0.006317972633402058,20,46,89.54276557,168.67624526999998,-93.16613330999999,-75.51011196000002,60.73868488760679,82.70023765102395
atr_pct,keep_ge,0.3,0.007905806377824004,46,20,88.65079722000002,106.18483647,-29.782756159999998,-76.40208031,38.236132846505036,26.437085288696068
