pair,open_date,add_date,add_delay_h,add_rate,add_stake,add_profit,stop_distance_from_add,candidate_profit_abs,baseline_profit_abs,delta_profit_abs,candidate_profit_ratio,baseline_profit_ratio,candidate_exit_reason,baseline_exit_reason,close_position,body_ratio,ret_1h,ret_3h,ret_6h,ret_12h,ret_24h,ema20_distance,ema20_slope3,atr_pct,atr_pct_rank_30d,ema50_slope3_4h,distance_ema50_4h
BNB/USDT:USDT,2024-08-03 16:00:00+00:00,2024-08-03T16:25:00+00:00,0.4166666666666667,527.5,73.886925,0.007058823529411765,0.06932701421800957,38.2257975,31.37897005,6.846827449999999,0.09998750306533119,0.0999930482952648,roi,roi,0.05450041288191308,0.8629232039636692,-0.019240692959823225,-0.01893331858488645,-0.014518518518518597,-0.01860765329645009,-0.04801431127012523,0.021756834859660915,-0.0032549982880678563,0.007703107550897733,0.49722222222222223,-0.006953825386371348,0.06530851647398861
NEAR/USDT:USDT,2024-08-19 00:00:00+00:00,2024-08-19T00:25:00+00:00,0.4166666666666667,3.869,46.451214,0.005654073502955486,0.0674592918066683,-11.21741455,-8.74217284,-2.4752417100000006,-0.04727853561587286,-0.04580470646209553,trailing_stop_loss,stop_loss,0.10101010101009911,0.7979797979798018,-0.019874213836478027,-0.030604628016919655,-0.021351419241396608,-0.030845771144278555,-0.02355889724310789,0.02348998878803151,-0.003509148462694456,0.011018627163391033,0.15555555555555556,-0.0019137884916086145,0.03578437010912411
BNB/USDT:USDT,2024-08-31 17:00:00+00:00,2024-09-01T01:15:00+00:00,8.25,528.88,79.37166599999999,0.006854073948885466,0.06876796248676449,24.07787972,20.19191601,3.8859637099999986,0.050263051809999584,0.05051198794461552,partial_exit,partial_exit,0.230971128608926,0.6902887139107698,-0.00491714055139536,-0.0063530734632682995,-0.004767714687939906,-0.012110823349667399,-0.01163202535185015,0.007169597826465978,-0.0012878719254246773,0.0045467159912379726,0.025,-0.002571470322964453,0.022360131506359734
ZEC/USDT:USDT,2024-09-03 14:00:00+00:00,2024-09-03T14:15:00+00:00,0.25,29.03,56.63680425,0.006502395619438663,0.06854977609369611,17.69243918,14.53491236,3.157526820000001,0.0625266860873088,0.06407389127053312,partial_exit,partial_exit,0.16393442622950485,0.6065573770491826,-0.012149848126898344,-0.018443997317236782,-0.028865295288653003,-0.021397525911066584,0.01631944444444433,0.014034598870009934,-0.0020813484705728413,0.012518912587241934,0.3972222222222222,-0.012346354396862269,0.10536059995543676
DOGE/USDT:USDT,2024-09-03 14:00:00+00:00,2024-09-03T14:15:00+00:00,0.25,0.09743,84.903960765,0.007032205462698698,0.06928050908344444,25.73111956,21.18996653,4.54115303,0.06066614044658647,0.062321304869191234,partial_exit,partial_exit,0.08620689655172652,0.7801724137930992,-0.018081918081918058,-0.010171198388721048,-0.0125577657223227,-0.015919102923508177,0.016758042826109376,0.0063721137866825294,0.0012609695207332905,0.007848494978416632,0.16944444444444445,-0.0014431588421743857,0.01110750305081781
XRP/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-05T16:00:00+00:00,12.0,0.5459,103.7728605,0.009615384615384564,0.0727239421139402,26.79419153,22.28327728,4.510914249999999,0.051687405492667635,0.05393917863050013,partial_exit,partial_exit,0.14545454545455097,0.6909090909090817,-0.006730944151355112,-0.00979325353645255,-0.00510204081632637,-0.011943539630835942,-0.027950863450240226,0.011526595074098261,-0.0018246649314602736,0.006554160125588671,0.1986111111111111,-0.0030821909297165107,0.0304726375414262
LINK/USDT:USDT,2024-10-13 15:00:00+00:00,2024-10-13T15:30:00+00:00,0.5,10.635,71.183724075,0.006631795254997173,0.0688293370944994,-13.1154013,-9.92884531,-3.1865559900000004,-0.03687287317176205,-0.035140969159513064,trailing_stop_loss,stop_loss,0.06976744186046752,0.9302325581395324,-0.014700477765527409,-0.014519389818048123,-0.022692062334821905,-0.026771939377438936,-0.03291550184867886,0.020265892687896598,-0.003613819901779891,0.007759631267650669,0.23472222222222222,-0.0006176735632484887,0.009297206321148367
TAO/USDT:USDT,2024-11-02 13:00:00+00:00,2024-11-02T13:20:00+00:00,0.3333333333333333,444.24,68.44716647999999,0.012734182278818628,0.07712047541869257,28.0781173,13.65998206,14.418135239999998,0.0820389036594326,0.050124447137281695,roi,partial_exit,0.18774966711052288,0.6364846870838853,-0.010499780797895597,-0.009261901103965853,-0.01767022827671738,-0.028306354399862177,-0.03838697995441276,0.020755985263643407,-0.00439851020606552,0.009283609768756303,0.015277777777777777,-0.010593209119619806,0.09023153022310257
NEAR/USDT:USDT,2024-12-30 14:00:00+00:00,2024-12-30T14:50:00+00:00,0.8333333333333334,5.018,50.20509,0.004957366646837271,0.06636110003985655,0.31958467,0.07569828,0.24388639,0.0011962592354702458,0.0003488424973586159,trailing_stop_loss,trailing_stop_loss,0.0434782608695633,0.8385093167701871,-0.026234567901234573,-0.023597678916827847,-0.027734976887519247,-0.03461464907248035,-0.04448230172250622,0.026759113673482608,-0.0034670932626322815,0.014687570749377434,0.2861111111111111,-0.0030080047093179463,0.026193869052976913
SUI/USDT:USDT,2025-01-26 21:00:00+00:00,2025-01-26T21:10:00+00:00,0.16666666666666666,4.0519,100.131970965,0.005107177056989313,0.06678348429132011,50.07258772,39.45668544,10.61590228,0.10000735924851031,0.1000059574594329,roi,roi,0.1876106194690145,0.6601769911504471,-0.00903987752424007,-0.015285424514633661,-0.01323621932923591,-0.017041893650870277,-0.0173971711525025,0.015276686283115537,-0.0025620543387199213,0.008943678994440388,0.009722222222222222,-0.007813969071755245,0.06535334668745814
