pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,entry_year,market_state_date,breadth_up_count,breadth_available_count,breadth_ratio_fixed13,breadth_rule_pass,breadth_state
BTC/USDT:USDT,490.6053,490.6053,0.009,2024-02-27 00:00:00+00:00,2024-02-28 13:20:00+00:00,54511.7,60123.8,0.0005,0.0005,2240,0.09999917560455704,49.08465561,roi,51241.0,-0.06,54566.3,-0.021214558493530933,54495.0,60487.0,False,long_1d_center_compression,1.0,False,1708992000000,1709126400000,"[{'amount': 0.009, 'safe_price': 54511.7, 'ft_order_side': 'buy', 'order_filled_timestamp': 1708992000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 490.8506026499999}, {'amount': 0.009, 'safe_price': 60123.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1709126400000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 541.3847571}]",-0.9083846357721397,2,2024,2024-02-26 20:00:00+00:00,9,11,0.6923076923076923,True,pass
NEAR/USDT:USDT,507.28,507.28,68.0,2024-03-26 00:00:00+00:00,2024-03-27 08:55:00+00:00,7.46,7.468,0.0005,0.0005,1975,-0.0021494230017935364,-1.09090448,trailing_stop_loss,7.013,-0.06,7.468,-0.025263020493408228,7.428,8.11,False,long_1d_center_compression,1.0,False,1711411200000,1711529700000,"[{'amount': 68.0, 'safe_price': 7.46, 'ft_order_side': 'buy', 'order_filled_timestamp': 1711411200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 507.53363999999993}, {'amount': 68.0, 'safe_price': 7.468, 'ft_order_side': 'sell', 'order_filled_timestamp': 1711529700000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 508.07791199999997}]",-1.1273524815276357,2,2024,2024-03-25 20:00:00+00:00,9,11,0.6923076923076923,True,pass
SUI/USDT:USDT,507.60654,507.60654,244.3,2024-03-28 00:00:00+00:00,2024-03-28 00:00:00+00:00,2.0778,2.0769,0.0005,0.0005,0,-0.001942550531998344,-0.98654438,trailing_stop_loss,1.9532,-0.06,2.0799,-0.040469736113674326,2.0769,2.1676,False,long_1d_center_compression,1.0,False,1711584000000,1711584000000,"[{'amount': 244.3, 'safe_price': 2.0778, 'ft_order_side': 'buy', 'order_filled_timestamp': 1711584000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 507.86034327}, {'amount': 244.3, 'safe_price': 2.0769, 'ft_order_side': 'sell', 'order_filled_timestamp': 1711584000000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 507.6403633350001}]",-0.2591777713028,3,2024,2024-03-27 20:00:00+00:00,6,11,0.46153846153846156,False,reject
BTC/USDT:USDT,501.7481,501.7481,0.007,2024-04-09 00:00:00+00:00,2024-04-09 07:45:00+00:00,71678.3,70244.9,0.0005,0.0005,465,-0.02118623433469545,-10.6354679,stop_loss,67377.7,-0.06,70244.9,-0.019998686841066315,70160.0,71820.6,False,long_1d_center_compression,1.0,False,1712620800000,1712648700000,"[{'amount': 0.007, 'safe_price': 71678.3, 'ft_order_side': 'buy', 'order_filled_timestamp': 1712620800000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 501.99897405}, {'amount': 0.007, 'safe_price': 70244.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1712648700000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 491.96015714999993}]",-0.10493669641385187,1,2024,2024-04-08 20:00:00+00:00,4,11,0.3076923076923077,False,reject
BNB/USDT:USDT,495.2194,495.2194,0.79,2024-06-04 00:00:00+00:00,2024-06-05 00:15:00+00:00,626.86,690.63,0.0005,0.0005,1455,0.09999536903576811,49.54440648,roi,589.25,-0.06,627.49,-0.020760529970817232,625.18,691.11,False,long_1d_center_compression,1.0,False,1717459200000,1717546500000,"[{'amount': 0.79, 'safe_price': 626.86, 'ft_order_side': 'buy', 'order_filled_timestamp': 1717459200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 495.4670097}, {'amount': 0.79, 'safe_price': 690.63, 'ft_order_side': 'sell', 'order_filled_timestamp': 1717546500000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 545.87049885}]",-0.31348497218863214,2,2024,2024-06-03 20:00:00+00:00,3,12,0.23076923076923078,False,reject
SOL/USDT:USDT,512.31765,512.31765,2.95,2024-06-06 00:00:00+00:00,2024-06-06 19:30:00+00:00,173.667,170.195,0.0005,0.0005,1170,-0.021541771662722253,-11.04174795,stop_loss,163.247,-0.06,170.195,-0.019994350606152844,169.5,174.49,False,long_1d_center_compression,1.0,False,1717632000000,1717702200000,"[{'amount': 2.95, 'safe_price': 173.667, 'ft_order_side': 'buy', 'order_filled_timestamp': 1717632000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 512.573808825}, {'amount': 2.95, 'safe_price': 170.195, 'ft_order_side': 'sell', 'order_filled_timestamp': 1717702200000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 502.32628762499996}]",-0.292151502433162,3,2024,2024-06-05 20:00:00+00:00,7,12,0.5384615384615384,True,pass
XRP/USDT:USDT,584.11966,584.11966,951.8,2024-09-29 00:00:00+00:00,2024-09-30 23:00:00+00:00,0.6137,0.6144,0.0005,0.0005,2820,-0.0004797904807274645,-0.28039518,trailing_stop_loss,0.5769,-0.06,0.6144,-0.024589234677675598,0.6075,0.6661,False,long_1d_center_compression,1.0,False,1727568000000,1727737200000,"[{'amount': 951.8, 'safe_price': 0.6137, 'ft_order_side': 'buy', 'order_filled_timestamp': 1727568000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 584.4117198299999}, {'amount': 951.8, 'safe_price': 0.6144, 'ft_order_side': 'sell', 'order_filled_timestamp': 1727737200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 585.0783129599998}]",-0.3622023912074,0,2024,2024-09-28 20:00:00+00:00,11,12,0.8461538461538461,True,pass
SOL/USDT:USDT,570.9022,570.9022,3.41,2024-10-21 00:00:00+00:00,2024-10-21 08:45:00+00:00,167.42,167.588,0.0005,0.0005,525,-0.00019769053091841255,-0.11291839,trailing_stop_loss,157.375,-0.06,167.588,-0.019956608187134628,167.19,171.93,False,long_1d_center_compression,1.0,False,1729468800000,1729500300000,"[{'amount': 3.41, 'safe_price': 167.42, 'ft_order_side': 'buy', 'order_filled_timestamp': 1729468800000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 571.1876510999999}, {'amount': 3.41, 'safe_price': 167.588, 'ft_order_side': 'sell', 'order_filled_timestamp': 1729500300000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 571.7608175400001}]",-0.11460975362925,0,2024,2024-10-20 20:00:00+00:00,9,12,0.6923076923076923,True,pass
BTC/USDT:USDT,559.5192,559.5192,0.008,2024-10-29 00:00:00+00:00,2024-10-31 20:45:00+00:00,69939.9,70009.9,0.0005,0.0005,4125,-0.000922490388994285,-0.51640916,trailing_stop_loss,65743.6,-0.06,70009.9,-0.02230452469730626,69733.0,73660.0,False,long_1d_center_compression,1.0,False,1730160000000,1730407500000,"[{'amount': 0.008, 'safe_price': 69939.9, 'ft_order_side': 'buy', 'order_filled_timestamp': 1730160000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 559.7989595999999}, {'amount': 0.008, 'safe_price': 70009.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1730407500000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 560.3592396}]",-0.516609955877912,3,2024,2024-10-28 20:00:00+00:00,5,12,0.38461538461538464,False,reject
DOGE/USDT:USDT,570.90717,570.90717,3537.0,2024-10-29 00:00:00+00:00,2024-10-29 16:20:00+00:00,0.16141,0.17778,0.0005,0.0005,980,0.10000899884082491,57.12440243,roi,0.15173,-0.06,0.16158,-0.024680610889774468,0.16048,0.17912,False,long_1d_center_compression,1.0,False,1730160000000,1730218800000,"[{'amount': 3537.0, 'safe_price': 0.16141, 'ft_order_side': 'buy', 'order_filled_timestamp': 1730160000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1d_center_compression', 'cost': 571.1926235849999}, {'amount': 3537.0, 'safe_price': 0.17778, 'ft_order_side': 'sell', 'order_filled_timestamp': 1730218800000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 629.1222639299999}]",-0.17643005199,1,2024,2024-10-28 20:00:00+00:00,5,12,0.38461538461538464,False,reject
