symbol,entry_tag,side,signals,first_signal,last_signal,avg_risk_pct,median_risk_pct,avg_forward_ret_6h,avg_forward_ret_24h,median_forward_ret_24h,avg_forward_ret_72h,avg_mfe_24h,avg_mae_24h
BNB,long_compression_breakout,long,13,2023-12-22 05:00:00+00:00,2025-09-13 09:00:00+00:00,0.024653648455732695,0.02216456816983949,-0.005058347383382024,-0.0059057082080023,0.0025765238221984177,-0.009552634569882517,0.020473168005558318,-0.028812584769243095
ADA,long_compression_breakout,long,12,2023-01-20 16:00:00+00:00,2026-01-17 15:00:00+00:00,0.03488219549915473,0.03415208927908181,0.006309405319853217,-0.006375769147680195,-0.016241788753157627,-0.020197330910346218,0.03346190123986146,-0.029634964751256394
XRP,long_compression_breakout,long,12,2023-02-02 18:00:00+00:00,2026-04-17 13:00:00+00:00,0.032101708819925835,0.029779441774145016,0.002931752964605396,0.008894790172748393,-0.0012923404442513053,-0.00045710566878006304,0.04546356089602527,-0.026824682337528338
BTC,short_compression_breakdown,short,11,2023-05-12 02:00:00+00:00,2026-03-27 08:00:00+00:00,0.02622048438263789,0.027348631995735683,0.0016137438319671577,0.0025074349372115963,-0.009845619807364203,0.012073333038270144,0.03223237001428953,-0.019238907245883678
NEAR,long_compression_breakout,long,11,2023-11-29 06:00:00+00:00,2026-04-24 11:00:00+00:00,0.03364444472937541,0.035647588821492084,-0.007820082341481188,-0.023193932919038433,-0.011971830985915477,-0.026492435380763058,0.01528580034927503,-0.042085294032187755
ETH,short_compression_breakdown,short,10,2022-12-16 22:00:00+00:00,2025-10-30 12:00:00+00:00,0.032697017867242585,0.03555750133411141,0.010255674594011988,0.04374326944202226,0.016390426465119623,0.039267085972294405,0.12211765629242839,-0.01696764364501936
SUI,long_pullback_restart,long,10,2025-01-02 07:00:00+00:00,2026-04-17 12:00:00+00:00,0.03879379780987212,0.038758933449175983,-0.00047528653554607114,-0.01443748225860988,-0.015037107875555844,0.0014655941174514298,0.029819027942886444,-0.030622118901872487
SUI,short_compression_breakdown,short,10,2024-07-30 14:00:00+00:00,2026-02-22 12:00:00+00:00,0.034384170026562466,0.03489583748816169,-0.005689310035840412,0.002721129627268204,0.00909285824545436,0.0007679157326321185,0.044849254225320004,-0.030860336576017767
ZEC,long_compression_breakout,long,10,2023-02-19 11:00:00+00:00,2025-09-21 01:00:00+00:00,0.03262245769131442,0.032012274016977885,-0.0009147099795497659,0.016647091403483593,0.002325606757073717,0.021791428345536278,0.04643477533072189,-0.04552644777956545
TAO,long_pullback_restart,long,9,2024-10-06 14:00:00+00:00,2026-04-09 14:00:00+00:00,0.039685141549431896,0.04539725152494803,0.005787777021822526,-0.02491801959079165,0.0010248436229987057,-0.041601008444040896,0.0530104357692929,-0.08373289102849882
DOGE,short_compression_breakdown,short,8,2024-06-27 05:00:00+00:00,2026-02-11 06:00:00+00:00,0.03742201394231989,0.03804416544911231,0.014989454435094626,0.04049295746307276,0.04102135822212072,0.05065753963015543,0.08310972236703887,-0.018362023796536273
TRX,long_compression_breakout,long,7,2023-02-02 15:00:00+00:00,2024-11-12 08:00:00+00:00,0.02440309211958535,0.025351569818964602,-0.019613233017975622,-0.004427920337259615,-0.005597885243352474,-0.002325067794037104,0.038685664615920254,-0.04475222541439224
ZEC,short_compression_breakdown,short,7,2022-12-22 12:00:00+00:00,2026-03-06 12:00:00+00:00,0.034742644138785035,0.035057499713445565,0.016544215980596442,0.03093993056288786,0.02323232323232327,0.06787682066652649,0.0603347977841538,-0.014916986041837348
TAO,short_compression_breakdown,short,5,2025-09-04 15:00:00+00:00,2026-02-22 12:00:00+00:00,0.034722067375876686,0.033011793553721726,-0.00024030277358113583,-0.0018350548046468297,-0.003123408589373655,-0.00960701697335844,0.03402505207195259,-0.024828683883599555
BNB,short_compression_breakdown,short,4,2022-12-15 01:00:00+00:00,2024-08-04 14:00:00+00:00,0.0442414161164504,0.04517129996169797,-0.0036871775433825194,0.03808264459404817,0.033384024253395816,0.026071149816795203,0.096410763601261,-0.021085190479798788
TRX,short_compression_breakdown,short,4,2022-11-17 09:00:00+00:00,2025-03-11 14:00:00+00:00,0.03280083827855135,0.03293604727854318,-0.0015637553110520175,-0.014841995041720013,-0.01924062858585307,-0.01652075046927684,0.021151035936480878,-0.02520786716539783
SUI,long_compression_breakout,long,2,2025-01-02 07:00:00+00:00,2025-01-02 09:00:00+00:00,0.037200846517880415,0.037200846517880415,-0.00231474028962253,-0.0186793474524915,-0.0186793474524915,0.17466599715290798,0.01620384567381139,-0.026769609073134693
TAO,long_compression_breakout,long,2,2025-07-20 07:00:00+00:00,2025-09-18 10:00:00+00:00,0.03429810352833394,0.03429810352833394,0.017023911106626044,-0.010950359602911852,-0.010950359602911852,-0.008757787361512337,0.024947446551767727,-0.038536194596890117
