year,entry_tag,side,signals,avg_risk_pct,avg_forward_ret_24h,median_forward_ret_24h,avg_forward_ret_72h,tp1_before_stop_24h_rate,tp2_before_stop_24h_rate,stop_before_tp1_24h_rate,avg_max_r_24h,avg_min_r_24h,tp1_before_stop_72h_rate,tp2_before_stop_72h_rate,stop_before_tp1_72h_rate,avg_max_r_72h,avg_min_r_72h
2024,long_compression_breakout,long,55,0.03025655450772304,-0.0002532339934934725,-0.004227998747259543,-0.009133120730282914,0.23636363636363636,0.07272727272727272,0.5454545454545454,0.9645456787419998,-1.0500550849537593,0.2727272727272727,0.12727272727272726,0.7090909090909091,1.648209942628144,-2.1968655844343687
2024,short_compression_breakdown,short,38,0.032798989152416656,0.007443375019923151,-0.00492421938546711,0.025482458254023475,0.47368421052631576,0.10526315789473684,0.2894736842105263,1.0436512228583374,-0.7944339083300322,0.631578947368421,0.42105263157894735,0.3157894736842105,1.9493094721060762,-0.99929471673903
2025,short_pullback_restart,short,241,0.031888223336697025,0.005732130560195815,0.0003723470274294982,0.007049006338287107,0.4315352697095436,0.2033195020746888,0.31950207468879666,1.2849420341425073,-1.0017756992648579,0.5518672199170125,0.3360995850622407,0.4107883817427386,2.2611712024054467,-1.623102068188554
2025,long_pullback_restart,long,152,0.0287417739755892,-0.0005771200490333283,-0.0021551992887392513,0.010719134131196741,0.375,0.10526315789473684,0.3684210526315789,1.0538430797388552,-0.9812773737838704,0.4934210526315789,0.32894736842105265,0.4868421052631579,2.263615981908867,-1.7365518220034006
2025,short_compression_breakdown,short,50,0.035295674274955786,0.018505842178314667,0.00865745024705511,0.02029343637254717,0.38,0.22,0.32,1.479241541102296,-0.9284221937605295,0.56,0.42,0.36,2.818119094027427,-1.3882575641530903
2025,long_compression_breakout,long,47,0.03248917291172492,-0.006482529050611416,-0.017056886775196456,0.014278900917011422,0.2553191489361702,0.10638297872340426,0.46808510638297873,1.011069093431852,-1.1160920398386422,0.3829787234042553,0.2978723404255319,0.6170212765957447,2.2439093460178525,-1.7220930794381437
2026,short_pullback_restart,short,101,0.03006287722300211,0.00919438278023684,0.006724380270891839,0.006908585227746541,0.5148514851485149,0.2376237623762376,0.1782178217821782,1.3250606181814635,-0.7936807240984102,0.6435643564356436,0.3465346534653465,0.297029702970297,2.286301584128922,-1.628840284808272
2026,long_pullback_restart,long,56,0.02690745433282667,-0.005634273291294067,-0.005487606008808543,0.0018144927804984268,0.35714285714285715,0.14285714285714285,0.2857142857142857,1.0126620437453462,-0.8461044661987599,0.42857142857142855,0.32142857142857145,0.5,1.8552867293383941,-1.8289000425565087
2026,short_compression_breakdown,short,26,0.03383814970999165,0.003788577813643501,0.011913570606610913,0.0042745486232075944,0.5384615384615384,0.15384615384615385,0.23076923076923078,1.2060455344425434,-0.8249839241072917,0.6153846153846154,0.34615384615384615,0.38461538461538464,2.3153190364999654,-1.5427848494731156
2026,long_compression_breakout,long,12,0.03221726164986404,-0.011406853492521442,-0.011971830985915477,-0.02927908672972042,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.5281598942616359,-0.8241183669919566,0.16666666666666666,0.08333333333333333,0.75,0.7090630166624977,-1.8667045125065609
