symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h,first_event_24h,bars_to_first_event_24h,hit_tp1_before_stop_24h,hit_tp2_before_stop_24h,hit_stop_before_tp1_24h,max_r_24h,min_r_24h,first_event_72h,bars_to_first_event_72h,hit_tp1_before_stop_72h,hit_tp2_before_stop_72h,hit_stop_before_tp1_72h,max_r_72h,min_r_72h,year,month
XRP,XRP/USDT:USDT,2023-03-31 20:00:00+00:00,long_pullback_restart,long,0.544,0.52361038592592,0.0374809082244118,True,False,0.02077205882352937,1.5445594491379657,0.5375000000000028,0.7250000000000028,-0.020036764705882337,-0.06562500000000016,-0.09852941176470598,0.0071691176470587425,-0.08676470588235297,stop,10.0,False,False,True,0.19127385078650552,-2.3149040402879564,stop,10.0,False,False,True,0.19127385078650552,-2.8200631846728297,2023,2023-03
XRP,XRP/USDT:USDT,2023-04-02 13:00:00+00:00,long_pullback_restart,long,0.5215,0.5007463249355651,0.039796117093834744,True,False,0.034515819750719115,4.964884809308194,0.558659217877098,0.7094972067039103,-0.004410354745925105,-0.01572387344199422,-0.02070949185043125,0.01399808245445855,-0.036241610738254826,none,,False,False,False,0.3517449308296224,-0.9106820811890078,stop,31.0,False,False,True,0.3517449308296224,-1.9273694839979079,2023,2023-04
ADA,ADA/USDT:USDT,2023-04-04 11:00:00+00:00,long_pullback_restart,long,0.3977,0.3830163542862729,0.03692141240565024,True,False,0.027910485290419913,1.5353331469709013,0.8000000000000018,0.8000000000000018,-0.015589640432486784,0.0017601206939903413,-0.04777470455116928,0.006789036962534523,-0.028161931103847127,none,,False,False,False,0.18387804041579864,-0.7627533528359102,stop,44.0,False,False,True,0.18387804041579864,-1.5255067056718203,2023,2023-04
ETH,ETH/USDT:USDT,2023-04-04 11:00:00+00:00,long_pullback_restart,long,1864.18,1797.7800662378622,0.03561884247344024,True,False,0.02045403340879093,4.512724703309647,0.6799749163879605,0.7113294314381278,0.00296108744863699,0.026676608482013586,-0.008411204926562887,0.03477132036605912,-0.008674055080517995,none,,False,False,False,0.9762057930991672,-0.24352433931523637,tp1,25.0,True,False,False,1.2171698888965552,-0.3641569897738036,2023,2023-04
BTC,BTC/USDT:USDT,2023-04-05 00:00:00+00:00,long_pullback_restart,long,28655.7,27897.749324513345,0.02645025860427964,True,False,0.015958430608918966,2.9044976165629404,0.7594053398058277,0.8645327669902925,-0.004735532546753407,-0.023496197964104848,-0.027394200804726432,0.0050356473581172345,-0.030733850507926874,stop,15.0,False,False,True,0.19038178164739916,-1.1619489611702387,stop,15.0,False,False,True,0.19038178164739916,-1.281745674777888,2023,2023-04
ETH,ETH/USDT:USDT,2023-04-05 00:00:00+00:00,long_compression_breakout,long,1912.97,1844.836184162946,0.0356167717408292,True,False,0.024563898022446774,2.887116697184364,0.7929849936720335,0.8909781233050085,-0.0004286528278018009,-0.008975572016288846,-0.030648677187828377,0.016743597651818876,-0.016084935989586824,none,,False,False,False,0.470104302929423,-0.4516112832075663,stop,55.0,False,False,True,0.470104302929423,-1.0709806738919774,2023,2023-04
ETH,ETH/USDT:USDT,2023-04-05 00:00:00+00:00,long_pullback_restart,long,1912.97,1844.836184162946,0.0356167717408292,True,False,0.024563898022446774,2.887116697184364,0.7929849936720335,0.8909781233050085,-0.0004286528278018009,-0.008975572016288846,-0.030648677187828377,0.016743597651818876,-0.016084935989586824,none,,False,False,False,0.470104302929423,-0.4516112832075663,stop,55.0,False,False,True,0.470104302929423,-1.0709806738919774,2023,2023-04
LINK,LINK/USDT:USDT,2023-04-05 00:00:00+00:00,long_pullback_restart,long,7.512,7.296295567548579,0.028714647557430795,True,False,0.022497337593184303,2.1200318088318717,0.7539267015706773,0.9633507853403112,0.011315228966986224,-0.033413205537806134,-0.0383386581469648,0.012247071352502692,-0.039936102236421744,stop,14.0,False,False,True,0.4265095480628119,-1.3907920045526385,stop,14.0,False,False,True,0.4265095480628119,-1.9100210195856244,2023,2023-04
SOL,SOL/USDT:USDT,2023-04-07 07:00:00+00:00,short_pullback_restart,short,20.271,20.811177164044995,0.02664778077277857,False,True,0.023580484435893542,1.4675523829745643,0.6775956284152945,0.2896174863388026,-0.007685529665165447,-0.016018639871850815,0.001581105785859016,0.003763307749443001,-0.021953102383479584,none,,False,False,False,0.1406945814423026,-0.8423162441611449,none,,False,False,False,0.8330600216978374,-0.8423162441611449,2023,2023-04
ETH,ETH/USDT:USDT,2023-04-08 05:00:00+00:00,long_pullback_restart,long,1877.7,1848.1178334243132,0.015754469071569938,True,False,0.011689833306705035,1.3137724389126806,0.976284584980241,0.976284584980241,-0.0059114874580604715,-0.015609522287905353,0.01883154923576713,0.0005911487458059028,-0.01688235607392019,stop,13.0,False,False,True,0.03752260664072495,-1.071591559019,stop,13.0,False,False,True,2.0383902526449704,-1.9400201757760387,2023,2023-04
ADA,ADA/USDT:USDT,2023-04-10 16:00:00+00:00,long_pullback_restart,long,0.3911,0.38436362978025684,0.01722416318011547,True,False,0.01176169777550511,1.99732422571894,0.5999999999999951,0.9333333333333284,0.010227563283047747,0.02275632830478136,0.05625159805676305,0.0570186653029916,-0.008949117872666834,tp1,8.0,True,True,False,3.3103881278143628,-0.5195676433789367,tp1,8.0,True,True,False,4.720643159842905,-0.5195676433789367,2023,2023-04
ZEC,ZEC/USDT:USDT,2023-04-12 21:00:00+00:00,long_pullback_restart,long,39.83,38.332569463458455,0.03759554447756825,True,False,0.03263871453678125,1.3216935549880628,0.839999999999994,0.9066666666666663,0.0047702736630681475,0.03540045192066299,0.07381370826010558,0.05749435099171474,-0.008285212151644461,tp1,11.0,True,False,False,1.5292862968381624,-0.22037750129108782,tp1,11.0,True,True,False,2.0969253153152105,-0.22037750129108782,2023,2023-04
