run_id,category,strategy,sample,timerange,trades,total_profit_abs,total_profit_pct,profit_factor,winrate,max_drawdown_abs,max_drawdown_pct,avg_profit_pct,best_trade_pct,worst_trade_pct,final_balance,zip_path,case,pairs,pair_count,risk_per_trade,max_position_value_pct,max_open_trades,cost_case,fee
risk_recent_0.01_0.25_3,risk_matrix,DualTrendRobustRisk0p01Cap0p25Strategy,recent,20250101-20260507,171,496.093985,49.6094,1.5829,33.9181,138.129725,9.9553,1.0761,10.0245,-4.9952,1496.093985,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.25_3,,,,0.01,0.25,3,,
risk_recent_0.01_0.25_5,risk_matrix,DualTrendRobustRisk0p01Cap0p25Strategy,recent,20250101-20260507,217,554.584169,55.4584,1.5035,32.7189,189.712177,10.9029,0.9709,10.0245,-4.9952,1554.584169,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.25_5,,,,0.01,0.25,5,,
risk_recent_0.01_0.35_2,risk_matrix,DualTrendRobustRisk0p01Cap0p35Strategy,recent,20250101-20260507,127,460.67289,46.0673,1.627,35.4331,143.338421,9.5203,1.1622,10.0245,-4.919,1460.67289,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.35_2,,,,0.01,0.35,2,,
risk_recent_0.01_0.35_3,risk_matrix,DualTrendRobustRisk0p01Cap0p35Strategy,recent,20250101-20260507,171,543.695001,54.3695,1.499,33.9181,168.434231,9.8704,1.0761,10.0245,-4.9952,1543.695001,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.35_3,,,,0.01,0.35,3,,
risk_recent_0.01_0.35_5,risk_matrix,DualTrendRobustRisk0p01Cap0p35Strategy,recent,20250101-20260507,199,622.176803,62.2177,1.5165,33.6683,182.971092,12.3621,1.1011,10.0245,-4.9952,1622.176802,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.35_5,,,,0.01,0.35,5,,
risk_recent_0.01_0.45_2,risk_matrix,DualTrendRobustRisk0p01Cap0p45Strategy,recent,20250101-20260507,127,460.621499,46.0621,1.5859,35.4331,156.307543,10.3652,1.1622,10.0245,-4.919,1460.621499,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.45_2,,,,0.01,0.45,2,,
risk_recent_0.01_0.45_3,risk_matrix,DualTrendRobustRisk0p01Cap0p45Strategy,recent,20250101-20260507,171,560.23994,56.024,1.4991,33.9181,171.8672,11.6335,1.0761,10.0245,-4.9952,1560.23994,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.45_3,,,,0.01,0.45,3,,
risk_recent_0.01_0.45_5,risk_matrix,DualTrendRobustRisk0p01Cap0p45Strategy,recent,20250101-20260507,191,552.111027,55.2111,1.4634,34.0314,185.356376,12.6442,1.104,10.0245,-4.9952,1552.111027,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\risk_recent_0.01_0.45_5,,,,0.01,0.45,5,,
fee_full_fee_1p5x,fee_pressure,DualTrendCompressionRestartShortV1Strategy,full,20221001-20260507,340,951.877273,95.1877,1.4889,31.1765,182.65093,9.6408,1.0152,10.0238,-5.0477,1951.877273,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\fee_full_fee_1p5x,,,,,,,fee_1p5x,0.00075
fee_full_fee_2x,fee_pressure,DualTrendCompressionRestartShortV1Strategy,full,20221001-20260507,341,869.136438,86.9136,1.4465,31.085,183.687907,9.982,0.9533,10.0226,-5.1003,1869.136438,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\fee_full_fee_2x,,,,,,,fee_2x,0.001
fee_recent_fee_1p5x,fee_pressure,DualTrendCompressionRestartShortV1Strategy,recent,20250101-20260507,171,373.715341,37.3715,1.4573,33.3333,126.852748,9.5293,1.0421,10.0137,-5.0477,1373.715341,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\fee_recent_fee_1p5x,,,,,,,fee_1p5x,0.00075
fee_recent_fee_2x,fee_pressure,DualTrendCompressionRestartShortV1Strategy,recent,20250101-20260507,172,344.890979,34.4891,1.4119,33.1395,130.602499,9.8439,0.9833,10.0226,-5.1003,1344.890979,D:\test\ft_userdata\user_data\strategies\research\dual_trend_robustness_runs\20260612_165506\results\fee_recent_fee_2x,,,,,,,fee_2x,0.001
