run_id,strategy,sample,pair,trades,total_profit_abs,total_profit_pct,profit_factor,winrate,max_drawdown_abs,max_drawdown_pct,avg_profit_pct,best_trade_pct,worst_trade_pct
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,DOGE/USDT:USDT,17,73.156869,7.3157,1.9892,35.2941,41.341688,3.7094,2.1586,10.0022,-4.5661
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,SUI/USDT:USDT,12,52.67352,5.2674,1.8912,41.6667,27.397898,2.5367,1.7364,10.0021,-4.6996
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,ZEC/USDT:USDT,6,47.312789,4.7313,3.2988,66.6667,11.037116,1.0429,3.9716,10.005,-3.6975
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,NEAR/USDT:USDT,15,42.833704,4.2834,1.4658,33.3333,38.684617,3.7244,0.7507,10.0245,-4.7363
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,BTC/USDT:USDT,18,40.083857,4.0084,1.5861,33.3333,38.018722,3.6235,0.5943,10.0,-3.4345
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,SOL/USDT:USDT,14,36.682313,3.6682,1.4927,35.7143,39.478832,3.7664,1.7934,10.0002,-4.5132
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,ADA/USDT:USDT,18,34.078412,3.4078,1.403,27.7778,63.288696,5.7673,1.4085,10.0033,-3.5787
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,TAO/USDT:USDT,6,3.204856,0.3205,1.1194,50.0,22.48123,2.2481,0.1383,9.9995,-4.9952
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,BNB/USDT:USDT,11,-21.387742,-2.1388,0.639,36.3636,33.72875,3.3729,-0.4755,10.0006,-3.3395
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,TRX/USDT:USDT,12,-35.433153,-3.5433,0.2124,8.3333,36.293742,3.6294,-0.8629,2.4872,-3.9111
pair_DualTrendCompressionRestartShortV1Strategy_recent,DualTrendCompressionRestartShortV1Strategy,recent,LINK/USDT:USDT,13,-38.695758,-3.8696,0.561,15.3846,68.27894,6.6559,-0.7092,9.9989,-4.6471
