symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h
SOL,SOL/USDT:USDT,2026-01-29 14:00:00+00:00,short_pullback_restart,short,120.3,124.8881370201626,0.0381391273496476,False,True,0.01961762261014131,3.897148118969335,0.9205776173285202,0.018050541516244488,0.02943693308232076,0.03457172342621262,0.16943715368912216,0.07651006711409392,-0.0006645622196378431
XRP,XRP/USDT:USDT,2026-01-29 14:00:00+00:00,short_compression_breakdown,short,1.8255,1.8978970137926734,0.039658731192918927,False,True,0.017200766913174403,5.387357108261199,0.9230769230769272,0.033771106941834994,0.013434741575528708,0.036803544044982095,0.12978091347939102,0.07111424045062487,-0.008688569101276133
XRP,XRP/USDT:USDT,2026-01-29 14:00:00+00:00,short_pullback_restart,short,1.8255,1.8978970137926734,0.039658731192918927,False,True,0.017200766913174403,5.387357108261199,0.9230769230769272,0.033771106941834994,0.013434741575528708,0.036803544044982095,0.12978091347939102,0.07111424045062487,-0.008688569101276133
BNB,BNB/USDT:USDT,2026-01-31 08:00:00+00:00,short_pullback_restart,short,836.32,863.8905675643376,0.032966529037136,False,True,0.01982494738855945,1.831315206118447,0.7671052631578903,0.23157894736842663,0.02974783293932237,0.0733886079523578,0.07252138451081747,0.11626913682412132,-0.006120241957526695
LINK,LINK/USDT:USDT,2026-01-31 08:00:00+00:00,short_pullback_restart,short,10.461,10.925181524789698,0.044372576693403866,False,True,0.033935570213172776,2.499411256225935,0.5608856088560842,0.37638376383763844,0.037797619047619024,0.05072318200080361,0.08235902741852064,0.16791336384950317,-0.010499432463110026
TRX,TRX/USDT:USDT,2026-02-01 16:00:00+00:00,short_pullback_restart,short,0.28343,0.28772844716932394,0.015165815789873784,False,True,0.012172317679850433,1.8094726400971568,0.4779411764705666,0.30882352941178154,-0.005229538115962384,-0.0020421816133233683,0.0011303027091944529,0.009402044232344586,-0.011612498256381665
ETH,ETH/USDT:USDT,2026-02-03 14:00:00+00:00,short_pullback_restart,short,2255.66,2361.4050854930197,0.0468798868149543,False,True,0.04195224457586698,2.2846406669423334,0.8937096774193598,0.02677419354838475,-0.018821799706820075,0.039182533942071496,0.1402588211505409,0.07238756299324889,-0.041763488914472124
SOL,SOL/USDT:USDT,2026-02-03 14:00:00+00:00,short_pullback_restart,short,100.79,105.32242795136627,0.044969024222306364,False,True,0.029566425240599305,2.7248888822283432,0.8854166666666671,0.031250000000001235,-0.0028690146418677287,0.08353042356482487,0.19845422116527955,0.0859821139963366,-0.01888445439501607
TAO,TAO/USDT:USDT,2026-02-03 14:00:00+00:00,short_pullback_restart,short,191.96,200.14432539160137,0.04263557715983206,False,True,0.031204417586997338,1.6431947264515545,0.8749999999999974,0.02403846153846019,-0.044737496889773465,0.02559170807287514,0.12152372049544291,0.041393153583247466,-0.05994123408423102
BTC,BTC/USDT:USDT,2026-02-03 16:00:00+00:00,short_pullback_restart,short,76458.2,79200.62059686295,0.03586823384362899,False,True,0.026792417294678662,3.6150484533484297,0.9894163894768673,0.006168732990624185,0.010382899996696171,0.038705812188981836,0.09388520086986385,0.04896473002859136,-0.006423443033039877
BNB,BNB/USDT:USDT,2026-02-03 17:00:00+00:00,short_pullback_restart,short,751.3,785.5427968360556,0.04557806047658142,False,True,0.027379209370424516,2.3145448512780553,0.9012082444918279,0.017768301350390838,-0.005111499549764309,0.049272366693667635,0.13527154039106648,0.0506075988309489,-0.03179246620359044
XRP,XRP/USDT:USDT,2026-02-03 17:00:00+00:00,short_compression_breakdown,short,1.5577,1.6291646786321785,0.045878332562225344,False,True,0.02991590164986838,2.2153994443316036,0.8656249999999941,0.02187500000000451,-0.01298948168799896,0.024196199618647052,0.04270700850123843,0.03556707884589816,-0.046928536465981385
XRP,XRP/USDT:USDT,2026-02-03 17:00:00+00:00,short_pullback_restart,short,1.5577,1.6291646786321785,0.045878332562225344,False,True,0.02991590164986838,2.2153994443316036,0.8656249999999941,0.02187500000000451,-0.01298948168799896,0.024196199618647052,0.04270700850123843,0.03556707884589816,-0.046928536465981385
NEAR,NEAR/USDT:USDT,2026-02-04 13:00:00+00:00,short_pullback_restart,short,1.16,1.20868722041999,0.041971741741370854,False,True,0.02844827586206909,1.5925737030733724,0.7916666666666713,0.12499999999999538,-0.016949152542372947,0.0507246376811592,0.0881801125703563,0.06813996316758741,-0.022746419545071728
TRX,TRX/USDT:USDT,2026-02-05 02:00:00+00:00,short_pullback_restart,short,0.28135,0.28517931846815886,0.013610515259139403,False,True,0.011267105029322929,1.518739414409238,0.49152542372882874,0.3644067796610006,0.0037459864430966494,0.041844102943899175,0.013764277735740293,0.05592043535372482,-0.003047376067467633
DOGE,DOGE/USDT:USDT,2026-02-09 06:00:00+00:00,short_pullback_restart,short,0.09539,0.09923552390754758,0.040313700676670325,False,True,0.0364818115106405,1.241370944965569,0.6274509803921571,0.372549019607843,0.013816558614093033,0.02262006861063459,0.030018356548968894,0.03247104665007039,-0.016192244224422447
BNB,BNB/USDT:USDT,2026-02-09 07:00:00+00:00,short_pullback_restart,short,631.85,654.5019544679997,0.03585020885969715,False,True,0.03100419403339405,1.29353399726267,0.6068642745709837,0.15600624024961077,0.010491132114698765,0.0003324678614400334,0.026914138048725,0.025780476321898727,-0.019064474562588307
SOL,SOL/USDT:USDT,2026-02-09 07:00:00+00:00,short_pullback_restart,short,85.43,89.3527467604685,0.04591767248587731,False,True,0.04014983027039689,1.2140699054076292,0.6762589928057535,0.2230215827338145,0.020303356025319408,0.009930251802813705,0.05834985133795856,0.03151412702245859,-0.03643131062485894
LINK,LINK/USDT:USDT,2026-02-09 08:00:00+00:00,short_pullback_restart,short,8.657,9.043518499597551,0.04464808820579317,False,True,0.035462631396557746,1.6035689888757232,0.45454545454545664,0.3636363636363584,0.003361149745016112,0.01085941148995806,0.02863593155893529,0.023528020808701866,-0.03960505879742615
ADA,ADA/USDT:USDT,2026-02-10 06:00:00+00:00,short_pullback_restart,short,0.262,0.27386061978083803,0.045269541148236725,False,True,0.03435114503816797,1.3592327961424695,0.7142857142857126,0.14285714285714934,-0.0007627765064834868,0.025841816758026548,0.003062787136294043,0.02946954813359537,-0.015407741450582435
DOGE,DOGE/USDT:USDT,2026-02-10 06:00:00+00:00,short_pullback_restart,short,0.09328,0.09719178055488738,0.04193589788687152,False,True,0.029695540308747947,1.8149327155645842,0.7512690355329926,0.20304568527918665,0.00322650032265015,0.032200951643244435,0.008977825851811838,0.03483470157532742,-0.009345794392523255
SOL,SOL/USDT:USDT,2026-02-10 18:00:00+00:00,short_compression_breakdown,short,82.89,86.20502969405362,0.03999311972558355,False,True,0.03426227530462062,1.6514927870978304,0.8722466960352401,0.101321585903085,-0.006353392471829311,0.039242728184553544,-0.02882249560632677,0.06378336755646807,-0.017192316812900232
SOL,SOL/USDT:USDT,2026-02-10 18:00:00+00:00,short_pullback_restart,short,82.89,86.20502969405362,0.03999311972558355,False,True,0.03426227530462062,1.6514927870978304,0.8722466960352401,0.101321585903085,-0.006353392471829311,0.039242728184553544,-0.02882249560632677,0.06378336755646807,-0.017192316812900232
SUI,SUI/USDT:USDT,2026-02-10 18:00:00+00:00,short_compression_breakdown,short,0.9186,0.9546427729925319,0.03923663508875669,False,True,0.033093838449814915,1.9330706116070484,0.7707509881422957,0.18577075098813947,-0.01596143545795392,0.031092154001571393,-0.058907898780862666,0.050909506921404946,-0.01984635083226638
SUI,SUI/USDT:USDT,2026-02-10 18:00:00+00:00,short_pullback_restart,short,0.9186,0.9546427729925319,0.03923663508875669,False,True,0.033093838449814915,1.9330706116070484,0.7707509881422957,0.18577075098813947,-0.01596143545795392,0.031092154001571393,-0.058907898780862666,0.050909506921404946,-0.01984635083226638
TAO,TAO/USDT:USDT,2026-02-10 18:00:00+00:00,short_compression_breakdown,short,153.63,159.74691914102743,0.03981591577834692,False,True,0.03098353186226661,2.179098827424846,0.7377450980392112,0.19852941176470584,0.0024141980947409714,0.03993772422662967,-0.06317458381608643,0.06873043478260876,-0.008774759661913767
TAO,TAO/USDT:USDT,2026-02-10 18:00:00+00:00,short_pullback_restart,short,153.63,159.74691914102743,0.03981591577834692,False,True,0.03098353186226661,2.179098827424846,0.7377450980392112,0.19852941176470584,0.0024141980947409714,0.03993772422662967,-0.06317458381608643,0.06873043478260876,-0.008774759661913767
BTC,BTC/USDT:USDT,2026-02-11 04:00:00+00:00,short_pullback_restart,short,67548.8,70092.43698299429,0.03765628675852547,False,True,0.029698529063432528,1.7613057786818407,0.6144628099173584,0.23636363636363936,0.01567978828977834,0.00834304872824121,-0.017666323461831612,0.027850605232925263,-0.018487062833927426
DOGE,DOGE/USDT:USDT,2026-02-11 04:00:00+00:00,short_pullback_restart,short,0.09185,0.09431035145409164,0.026786624432135423,False,True,0.022754491017964014,1.6824923763450512,0.6547619047619067,0.20833333333333506,0.024768492692178956,0.0004356823875395488,-0.0497620525553486,0.045770237959694704,-0.007456235141560352
