"open_time","open","high","low","close","volume","close_time"
"2025/12/6 7:00:00","351.32","354.75","348.3","353.45","95512.059","2025/12/6 7:59:59"
"2025/12/6 8:00:00","353.45","355.64","340.2","345.93","224775.199","2025/12/6 8:59:59"
"2025/12/6 9:00:00","345.93","350.71","345.04","345.69","127294.659","2025/12/6 9:59:59"
"2025/12/6 10:00:00","345.71","347.57","337.63","338.83","182592.991","2025/12/6 10:59:59"
"2025/12/6 11:00:00","338.86","343.54","336.6","341.64","156763.854","2025/12/6 11:59:59"
"2025/12/6 12:00:00","341.64","341.77","337.5","339.67","87823.19","2025/12/6 12:59:59"
"2025/12/6 13:00:00","339.62","340.46","335.71","337.74","124693.202","2025/12/6 13:59:59"
"2025/12/6 14:00:00","337.74","344.98","337.5","342.1","168518.036","2025/12/6 14:59:59"
"2025/12/6 15:00:00","342.09","342.48","327.5","330.53","276972.665","2025/12/6 15:59:59"
"2025/12/6 16:00:00","330.53","335.71","330.19","330.34","141835.638","2025/12/6 16:59:59"
"2025/12/6 17:00:00","330.35","333.37","328.42","332.91","102877.236","2025/12/6 17:59:59"
"2025/12/6 18:00:00","332.91","341.1","330.33","330.87","190659.534","2025/12/6 18:59:59"
"2025/12/6 19:00:00","330.86","333.48","329.08","330.74","112111.863","2025/12/6 19:59:59"
"2025/12/6 20:00:00","330.75","334.5","326.53","334.06","103479.367","2025/12/6 20:59:59"
"2025/12/6 21:00:00","334.06","334.99","331.5","332.71","49519.309","2025/12/6 21:59:59"
"2025/12/6 22:00:00","332.72","336","331.87","334.94","46537.636","2025/12/6 22:59:59"
"2025/12/6 23:00:00","334.92","344.98","333.81","341.4","148857.816","2025/12/6 23:59:59"
"2025/12/7 0:00:00","341.38","342.47","335.41","336.65","78585.892","2025/12/7 0:59:59"
"2025/12/7 1:00:00","336.61","339.3","332.79","333.78","71390.672","2025/12/7 1:59:59"
"2025/12/7 2:00:00","333.79","339.9","332.25","337.34","82985.822","2025/12/7 2:59:59"
"2025/12/7 3:00:00","337.33","343.23","336.24","339.26","88298.105","2025/12/7 3:59:59"
