pair,open_date,enter_tag,bucket,base_profit_abs,a1_profit_abs,delta_abs,base_profit_pct,a1_profit_pct,base_exit,a1_exit,base_stake,a1_stake,a1_partial_exits
XRP/USDT:USDT,2024-04-30 09:00:00+00:00,short_pullback_restart,loss_to_profit,-8.84738478,0.04336822,8.890753,-3.9819315252116594,0.01985420739916774,stop_loss,trailing_stop_loss,222.29942,218.54267,0
SUI/USDT:USDT,2024-05-05 02:00:00+00:00,short_compression_breakdown,loss_to_less_loss,-7.35181744,-7.2333989,0.11841853999999952,-3.0794884447804076,-3.0794884430546223,trailing_stop_loss,trailing_stop_loss,238.85445,235.00713,0
ADA/USDT:USDT,2024-05-08 00:00:00+00:00,short_compression_breakdown,loss_to_less_loss,-8.88940238,-8.75122514,0.1381772399999992,-3.481574550430184,-3.4815745500591433,stop_loss,stop_loss,255.4548,251.484,0
BTC/USDT:USDT,2024-05-08 23:00:00+00:00,short_compression_breakdown,same,-8.63036954,-8.63036954,0.0,-2.8205579528708737,-2.8205579528708737,trailing_stop_loss,trailing_stop_loss,306.134,306.134,0
ETH/USDT:USDT,2024-05-10 15:00:00+00:00,short_pullback_restart,loss_to_profit,-1.12300055,0.11183251,1.23483306,-0.5469551264477359,0.05525718415154928,stale_loss_72h,trailing_stop_loss,205.4213,202.48671,0
XRP/USDT:USDT,2024-05-10 15:00:00+00:00,short_pullback_restart,loss_to_profit,-3.14869908,0.15606778,3.30476686,-1.4229618668161088,0.0716801008306038,stale_loss_72h,trailing_stop_loss,221.38852,217.8371,0
LINK/USDT:USDT,2024-05-11 21:00:00+00:00,short_pullback_restart,loss_to_profit,-8.88160287,0.07631289,8.95791576,-2.264372304751257,0.01977234067419462,trailing_stop_loss,trailing_stop_loss,392.42866,386.15087,0
SUI/USDT:USDT,2024-06-02 10:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.93211647,-8.89121643,0.04090004000000036,-2.2477374723826804,-2.2477374749049353,stop_loss,stop_loss,397.58134,395.76082,0
ADA/USDT:USDT,2024-06-02 18:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.46014396,-8.419323,0.04082095999999957,-2.2944595893452346,-2.2944595893452346,trailing_stop_loss,trailing_stop_loss,368.905,367.125,0
BNB/USDT:USDT,2024-06-04 00:00:00+00:00,long_1d_center_compression,profit_to_less_profit,38.88295192,28.72211646,-10.160835459999998,9.999536903316386,7.386472716218635,roi,trailing_stop_loss,388.6532,194.3266,1
SOL/USDT:USDT,2024-06-06 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-8.7211094,-8.53396113,0.18714826999999978,-2.1541771668164786,-2.154177166913982,stop_loss,stop_loss,404.64411,395.96076,0
TAO/USDT:USDT,2024-06-10 05:00:00+00:00,short_pullback_restart,profit_to_less_profit,24.51051013,0.02549886,-24.48501127,10.00040515649309,0.01054175825882834,roi,trailing_stop_loss,245.21778,242.00532,0
ADA/USDT:USDT,2024-06-10 07:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.25181568,-8.14383118,0.1079845000000006,-2.055527417632919,-2.0555274180898317,stop_loss,stop_loss,401.646,396.39,0
LINK/USDT:USDT,2024-06-13 16:00:00+00:00,short_compression_breakdown,loss_to_profit,-0.28749618,0.1003877,0.38788387999999996,-0.12810360875935814,0.04628752826643059,stale_loss_72h,trailing_stop_loss,224.537,216.987,0
SOL/USDT:USDT,2024-06-13 16:00:00+00:00,short_compression_breakdown,loss_to_profit,-1.80861444,0.16676815,1.97538259,-0.9130436447890713,0.08742770359846302,stale_loss_72h,trailing_stop_loss,198.1854,190.8452,0
XRP/USDT:USDT,2024-06-13 16:00:00+00:00,short_compression_breakdown,loss_to_profit,-8.18655165,0.25088488,8.43743653,-2.009441414134321,0.06371437271863342,stop_loss,trailing_stop_loss,407.60815,393.96195,0
