pair,open_date,enter_tag,baseline_profit_abs,baseline_profit_ratio,variant_profit_abs,variant_profit_ratio,delta_profit_abs,bucket,baseline_exit_reason,variant_exit_reason,baseline_exit_orders,variant_exit_orders
ETH/USDT:USDT,2025-02-01 20:00:00+00:00,short_compression_breakdown,31.61692765,0.10000146060284557,44.4637441,0.1546982471985469,12.846816449999999,profit_to_more_profit,roi,trailing_stop_loss,1,2
ETH/USDT:USDT,2025-02-26 13:00:00+00:00,short_pullback_restart,37.67575454,0.09999875803631737,0.0012992,3.817792511805628e-06,-37.67445534,profit_to_less_profit,roi,trailing_stop_loss,1,1
ETH/USDT:USDT,2025-04-05 13:00:00+00:00,short_pullback_restart,63.7644778,0.10000228229456828,70.63941849,0.13197458615004698,6.874940689999995,profit_to_more_profit,roi,trailing_stop_loss,1,2
ETH/USDT:USDT,2025-06-11 00:00:00+00:00,long_1d_center_compression,-14.13900406,-0.021176824125637022,-11.69301602,-0.021176824133125823,2.4459880399999996,loss_to_more_loss,stop_loss,stop_loss,1,1
ETH/USDT:USDT,2025-07-10 00:00:00+00:00,long_1d_center_compression,67.28913052,0.10000094531242727,45.8063893,0.0795294881277423,-21.48274122,profit_to_less_profit,roi,trailing_stop_loss,1,1
ETH/USDT:USDT,2025-08-08 00:00:00+00:00,long_1d_center_compression,71.55867291,0.0999988695418427,82.96123854,0.1368760397797872,11.402565629999998,profit_to_more_profit,roi,trailing_stop_loss,1,1
ETH/USDT:USDT,2025-09-13 00:00:00+00:00,long_1d_center_compression,-15.03933484,-0.021272756378627265,-13.03409019,-0.02127275637101086,2.00524465,loss_to_less_loss,stop_loss,stop_loss,1,1
ETH/USDT:USDT,2025-10-21 05:00:00+00:00,short_compression_breakdown,-16.39774164,-0.04262147814961512,-14.10205781,-0.04262147814840618,2.2956838299999998,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
ETH/USDT:USDT,2025-10-29 16:00:00+00:00,short_compression_breakdown,68.70013447,0.100000727035886,0.02496023,4.2145590439339975e-05,-68.67517423999999,profit_to_less_profit,roi,trailing_stop_loss,1,1
ETH/USDT:USDT,2025-11-06 13:00:00+00:00,short_pullback_restart,-16.95865961,-0.03519462561546162,0.00073042,1.834311182042779e-06,16.95939003,loss_to_profit,stop_loss,trailing_stop_loss,1,1
ETH/USDT:USDT,2025-11-20 16:00:00+00:00,short_pullback_restart,41.93251972,0.09999836123194321,29.61507365,0.08498867863447476,-12.317446070000003,profit_to_less_profit,roi,trailing_stop_loss,1,2
ETH/USDT:USDT,2026-01-25 04:00:00+00:00,short_pullback_restart,-8.91197015,-0.010240577655891972,0.03148428,4.537579072642957e-05,8.943454430000001,loss_to_profit,stop_loss,trailing_stop_loss,1,1
ETH/USDT:USDT,2026-02-17 15:00:00+00:00,short_pullback_restart,-21.05268698,-0.03209269713868554,-15.9925456,-0.032092697140591035,5.060141380000001,loss_to_more_loss,trailing_stop_loss,trailing_stop_loss,1,1
LINK/USDT:USDT,2023-06-19 11:00:00+00:00,short_compression_breakdown,-6.9212246,-0.025567502156155036,-6.9212246,-0.025567502156155036,0.0,same,trailing_stop_loss,trailing_stop_loss,1,1
LINK/USDT:USDT,2023-08-21 11:00:00+00:00,short_pullback_restart,-7.53001595,-0.020948649252613596,0.05294352,0.0001414494597483029,7.5829594700000005,loss_to_profit,stop_loss,trailing_stop_loss,1,1
LINK/USDT:USDT,2024-04-27 17:00:00+00:00,short_compression_breakdown,-8.98920737,-0.033095407852351856,-8.98461636,-0.03309540787076968,0.004591010000000395,loss_to_more_loss,stop_loss,stop_loss,1,1
LINK/USDT:USDT,2024-04-28 23:00:00+00:00,short_pullback_restart,30.3751405,0.10002311686044602,23.50931594,0.07723827636304334,-6.86582456,profit_to_less_profit,roi,trailing_stop_loss,1,2
LINK/USDT:USDT,2024-05-11 21:00:00+00:00,short_pullback_restart,-8.88160287,-0.022643723047512568,0.07789669,0.0001977234000692006,8.95949956,loss_to_profit,trailing_stop_loss,trailing_stop_loss,1,1
LINK/USDT:USDT,2024-06-13 16:00:00+00:00,short_compression_breakdown,-0.28749618,-0.0012810360875935814,0.10332179,0.0004628752949163306,0.39081796999999996,loss_to_profit,stale_loss_72h,trailing_stop_loss,1,1
LINK/USDT:USDT,2024-07-11 04:00:00+00:00,short_pullback_restart,-8.53516682,-0.035016737539653266,-8.60581486,-0.03501673752323428,-0.07064804000000002,loss_to_less_loss,stop_loss,stop_loss,1,1
LINK/USDT:USDT,2024-07-25 19:00:00+00:00,short_compression_breakdown,-8.32603765,-0.044913188916102846,-8.39382086,-0.044913188915159025,-0.06778320999999998,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
LINK/USDT:USDT,2024-07-31 17:00:00+00:00,short_compression_breakdown,24.38058383,0.10003499070428604,-0.01424464,-5.798299149688762e-05,-24.39482847,profit_to_loss,roi,trailing_stop_loss,1,1
LINK/USDT:USDT,2024-10-09 21:00:00+00:00,short_compression_breakdown,-10.03738441,-0.039410126261955704,-9.29843586,-0.03941012624297409,0.7389485499999999,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
LINK/USDT:USDT,2024-10-13 15:00:00+00:00,short_pullback_restart,-9.89117898,-0.035140969169244064,-9.23201816,-0.035140969181101094,0.6591608199999985,loss_to_more_loss,stop_loss,stop_loss,1,1
LINK/USDT:USDT,2025-02-06 15:00:00+00:00,short_pullback_restart,-0.11791289,-0.00046804147589285115,0.00313499,1.3599637068524983e-05,0.12104788000000001,loss_to_profit,stale_loss_72h,trailing_stop_loss,1,1
LINK/USDT:USDT,2025-02-24 03:00:00+00:00,short_pullback_restart,38.46646766,0.09998937514681196,40.774522020000006,0.11853323434887476,2.308054360000007,profit_to_more_profit,roi,trailing_stop_loss,1,2
LINK/USDT:USDT,2025-03-02 14:00:00+00:00,short_pullback_restart,-13.76177849,-0.024920334191893635,-11.87740067,-0.0249203341723488,1.8843778199999992,loss_to_less_loss,stop_loss,stop_loss,1,1
LINK/USDT:USDT,2025-06-01 10:00:00+00:00,short_pullback_restart,-13.48735416,-0.03894757595905248,-11.83866339,-0.03894757595500502,1.64869077,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
LINK/USDT:USDT,2025-07-01 19:00:00+00:00,short_compression_breakdown,-14.94133715,-0.03452560029844012,-12.83536233,-0.034525600300714956,2.10597482,loss_to_more_loss,stop_loss,stop_loss,1,1
LINK/USDT:USDT,2026-02-19 14:00:00+00:00,short_compression_breakdown,-22.32085746,-0.04489717552739775,-16.91864487,-0.04489717552824425,5.402212589999998,loss_to_more_loss,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2023-07-05 11:00:00+00:00,short_compression_breakdown,-1.61958337,-0.010391134838934151,0.00634236,4.069214291639856e-05,1.62592573,loss_to_profit,stale_loss_72h,trailing_stop_loss,1,1
NEAR/USDT:USDT,2023-07-10 01:00:00+00:00,short_compression_breakdown,-7.31778422,-0.0397528692566336,-7.31778422,-0.0397528692566336,0.0,same,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2023-07-27 19:00:00+00:00,short_pullback_restart,-7.28130984,-0.027591380964883075,-7.28130984,-0.027591380964883075,0.0,same,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2023-07-31 20:00:00+00:00,short_compression_breakdown,-7.355584,-0.03379529588453301,0.124304,0.0005711158297738142,7.479888000000001,loss_to_profit,stop_loss,trailing_stop_loss,1,1
NEAR/USDT:USDT,2023-08-21 11:00:00+00:00,short_pullback_restart,-7.92990161,-0.034175318516627626,0.183819,0.0007587273425816599,8.11372061,loss_to_profit,stop_loss,trailing_stop_loss,1,1
NEAR/USDT:USDT,2023-12-03 00:00:00+00:00,long_1d_center_compression,-7.17264144,-0.020970125812572696,-7.42579349,-0.020970125810247084,-0.25315205000000063,loss_to_less_loss,stop_loss,stop_loss,1,1
NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,short_pullback_restart,23.68509285,0.09997022156876616,27.19247469,0.11197483486934152,3.5073818400000008,profit_to_more_profit,roi,trailing_stop_loss,1,2
NEAR/USDT:USDT,2024-03-26 00:00:00+00:00,long_1d_center_compression,-9.51303171,-0.023173964346123305,-0.8663065,-0.002149423004712518,8.64672521,loss_to_less_loss,stop_loss,trailing_stop_loss,1,1
