pair,side,entry_tag,open_date,close_date,open_rate,close_rate,profit_abs,profit_ratio,exit_reason,trade_duration,is_short,stake_amount,amount,max_rate,min_rate,fee_open,fee_close,initial_stop_loss_abs,stop_loss_abs,funding_fees
ADA/USDT:USDT,short,short_pullback_restart,2026-02-10 07:00:00+00:00,2026-02-13 08:00:00+00:00,0.262,0.2619,-0.23711638,-0.0009663576197330662,stale_loss_72h,4380,True,245.494,937.0,0.2694,0.2502,0.0005,0.0005,0.2777,0.2726,-0.085369230998019
DOGE/USDT:USDT,short,short_pullback_restart,2026-02-10 07:00:00+00:00,2026-02-13 09:00:00+00:00,0.09329,0.09384,-1.88407217,-0.007109770292234062,stale_loss_72h,4440,True,265.13018,2842.0,0.09454,0.08783,0.0005,0.0005,0.09888,0.09719,-0.0550604385746394
BNB/USDT:USDT,short,short_pullback_restart,2026-02-09 08:00:00+00:00,2026-02-14 09:00:00+00:00,631.85,627.23,1.9553254,0.006318677262188901,stale_flat_120h,7260,True,309.6065,0.49,644.13,587.03,0.0005,0.0005,669.76,654.49,0.0
ETH/USDT:USDT,short,short_pullback_restart,2026-02-17 15:00:00+00:00,2026-02-17 16:00:00+00:00,1947.55,2007.95,-10.68252069,-0.03209269712932519,trailing_stop_loss,60,True,333.03105,0.171,2009.89,1940.01,0.0005,0.0005,2064.4,2007.95,-0.015925442211
LINK/USDT:USDT,short,short_compression_breakdown,2026-02-19 14:00:00+00:00,2026-02-20 15:00:00+00:00,8.395,8.763,-11.29793275,-0.0448971755416234,stop_loss,1500,True,251.76605,29.99,8.839,8.338,0.0005,0.0005,8.898,8.763,-0.004328536352942162
ADA/USDT:USDT,short,short_compression_breakdown,2026-02-22 13:00:00+00:00,2026-02-25 13:00:00+00:00,0.2731,0.28,-10.73226181,-0.026494324979230814,trailing_stop_loss,4320,True,405.2804,1484.0,0.28,0.2534,0.0005,0.0005,0.2894,0.28,-0.08226160651880078
XRP/USDT:USDT,short,short_pullback_restart,2026-02-22 13:00:00+00:00,2026-02-25 14:00:00+00:00,1.4081,1.4126,-2.49031458,-0.004873171160538457,stale_loss_72h,4380,True,511.28111,363.1,1.4363,1.3115,0.0005,0.0005,1.4925,1.4341,-0.3442664977787597
TAO/USDT:USDT,short,short_compression_breakdown,2026-02-22 13:00:00+00:00,2026-02-25 14:00:00+00:00,175.05,179.76,-7.57620528,-0.028906466463096445,stale_loss_72h,4380,True,262.2249,1.498,181.62,163.01,0.0005,0.0005,185.55,181.06,-0.25487259179478605
ZEC/USDT:USDT,short,short_compression_breakdown,2026-03-06 13:00:00+00:00,2026-03-07 22:00:00+00:00,221.24,198.81,26.42575319,0.10000299822581649,roi,1980,True,264.3818,1.195,221.81,193.31,0.0005,0.0005,234.51,230.27,-0.12711693330591073
SOL/USDT:USDT,short,short_compression_breakdown,2026-03-07 20:00:00+00:00,2026-03-09 13:00:00+00:00,82.47,85.0,-11.36564162,-0.03236723236858308,stop_loss,2460,True,351.3222,4.26,85.71,80.18,0.0005,0.0005,87.41,85.0,-0.23113052082553456
BNB/USDT:USDT,short,short_pullback_restart,2026-03-22 00:00:00+00:00,2026-03-23 11:00:00+00:00,630.29,646.74,-11.32710287,-0.027242796977599328,stop_loss,2100,True,415.9914,0.66,650.68,620.0,0.0005,0.0005,668.1,646.74,-0.04868297324456439
XRP/USDT:USDT,short,short_pullback_restart,2026-03-22 00:00:00+00:00,2026-03-23 14:00:00+00:00,1.4081,1.4474,-11.32824335,-0.029016151902351184,stop_loss,2280,True,390.60694,277.4,1.4561,1.3608,0.0005,0.0005,1.4925,1.4474,-0.03036550085210143
SUI/USDT:USDT,short,short_pullback_restart,2026-03-22 00:00:00+00:00,2026-03-23 15:00:00+00:00,0.9323,0.969,-11.19071837,-0.04044913940264543,stop_loss,2340,True,276.79987,296.9,0.9709,0.8903,0.0005,0.0005,0.9882,0.969,-0.012240388077817067
XRP/USDT:USDT,short,short_compression_breakdown,2026-03-24 17:00:00+00:00,2026-03-25 11:00:00+00:00,1.39,1.4353,-11.01111199,-0.033683068912944675,stop_loss,1080,True,327.067,235.3,1.4372,1.3826,0.0005,0.0005,1.4734,1.4353,-0.019625440264282187
BTC/USDT:USDT,short,short_compression_breakdown,2026-03-27 09:00:00+00:00,2026-03-30 13:00:00+00:00,67876.7,67859.4,-0.39065342,-0.0009597030213662201,stale_loss_72h,4560,True,407.2602,0.006,68148.4,64918.2,0.0005,0.0005,71949.3,69313.6,-0.08724512249331164
