pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
NEAR/USDT:USDT,2025-08-21 12:00:00+00:00,2025-08-22 15:00:00+00:00,short,short_pullback_restart,-7.8677194,-0.038226207017253086,1620,2.481,2.574,True,205.923,4
NEAR/USDT:USDT,2025-08-29 08:00:00+00:00,2025-09-01 09:00:00+00:00,short,short_pullback_restart,-0.24372823,-0.0015634627300314086,4380,2.437,2.439,True,155.968,4
BTC/USDT:USDT,2025-08-29 02:00:00+00:00,2025-09-03 03:00:00+00:00,short,short_pullback_restart,0.23901839,0.0007153928920185169,7260,111425.0,111327.9,True,334.275,4
SUI/USDT:USDT,2025-08-29 08:00:00+00:00,2025-09-03 10:00:00+00:00,short,short_compression_breakdown,0.85422026,0.004965662281671451,7320,3.355,3.339,True,172.1115,4
TAO/USDT:USDT,2025-08-28 17:00:00+00:00,2025-09-03 16:00:00+00:00,short,short_pullback_restart,1.78526579,0.007787005835308652,8580,328.15,325.84,True,229.37685,4
TAO/USDT:USDT,2025-09-04 16:00:00+00:00,2025-09-05 12:00:00+00:00,short,short_compression_breakdown,-7.34844783,-0.0308831797543248,1200,313.24,322.66,True,238.0624,4
XRP/USDT:USDT,2025-09-04 20:00:00+00:00,2025-09-05 12:00:00+00:00,short,short_pullback_restart,-8.04976367,-0.02806808966340328,960,2.7831,2.8587,True,286.93761,4
ETH/USDT:USDT,2025-09-13 00:00:00+00:00,2025-09-13 16:00:00+00:00,long,long_1d_center_compression,-7.61992965,-0.02127275637229935,960,4710.82,4616.62,False,358.02232,4
SOL/USDT:USDT,2025-09-11 00:00:00+00:00,2025-09-14 02:00:00+00:00,long,long_1d_center_compression,35.8418551,0.09998197934836278,4440,223.94,246.64,False,358.304,4
SUI/USDT:USDT,2025-09-24 04:00:00+00:00,2025-09-24 14:00:00+00:00,short,short_pullback_restart,-8.06092198,-0.04699583041331283,600,3.275,3.4257,True,171.61,4
LINK/USDT:USDT,2025-09-24 04:00:00+00:00,2025-09-28 22:00:00+00:00,short,short_pullback_restart,-0.12736763,-0.0005996000027141762,6840,21.274,21.292,True,212.52726,4
TAO/USDT:USDT,2025-09-23 18:00:00+00:00,2025-09-28 23:00:00+00:00,short,short_pullback_restart,1.8555155,0.00902292764000655,7500,308.93,306.06,True,205.74738,4
