pair,entry_tag,matrix,period,btc_4h_regime,btc_1d_regime,range_market,false_breakdown,quick_reverse_1h_5h,duration_bucket,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
NEAR/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,2,-16.7279,-1.6728,0.0000,1.6728,0.0000,-2.2072,21.5000,2.6805,4.4312
NEAR/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,6,5.2030,0.5203,1.0834,3.3849,16.6667,-0.6626,29.6667,2.6650,4.7732
NEAR/USDT:USDT,short_pullback_restart,period,3y,,,,,,,15,63.5186,6.3519,1.5010,4.7224,33.3333,0.7409,35.5333,3.2505,5.0062
PAXG/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,5,73.3545,7.3355,2.5682,4.6776,40.0000,1.5537,280.0000,4.8228,7.4512
SOL/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,5,71.1381,7.1138,3.1998,3.1314,40.0000,2.7249,41.2000,1.9051,5.3058
SOL/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,9,-15.3607,-1.5361,0.7888,5.1563,22.2222,0.1243,37.2222,2.7671,5.1948
SOL/USDT:USDT,short_pullback_restart,period,3y,,,,,,,11,110.5135,11.0513,2.1223,7.2951,36.3636,1.7329,34.2727,2.9674,5.9925
SUI/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,1,-8.8656,-0.8866,0.0000,0.8866,0.0000,-2.1463,0.0000,3.2005,4.3219
SUI/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,7,30.9173,3.0917,1.9569,1.7543,42.8571,1.6884,51.5714,2.6615,5.8073
SUI/USDT:USDT,short_pullback_restart,period,3y,,,,,,,11,73.9526,7.3953,1.8816,2.0226,36.3636,1.7942,48.5455,2.3358,6.7911
TAO/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,4,19.9747,1.9975,1.4444,2.8980,25.0000,0.5132,36.5000,3.0867,4.5782
TAO/USDT:USDT,short_pullback_restart,period,3y,,,,,,,8,67.7736,6.7774,2.6517,1.9723,62.5000,2.3688,49.6250,2.8709,6.3321
XRP/USDT:USDT,long_1d_center_compression,period,3y,,,,,,,3,26.6345,2.6635,2.3210,1.0094,33.3333,1.9021,21.3333,1.9045,7.7271
XRP/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,10,11.3775,1.1377,1.1313,3.8767,30.0000,0.2514,49.2000,3.0010,4.9904
XRP/USDT:USDT,short_pullback_restart,period,3y,,,,,,,23,55.3674,5.5367,1.3804,8.3485,21.7391,0.0947,65.8261,1.9986,4.0839
ZEC/USDT:USDT,short_compression_breakdown,period,3y,,,,,,,3,105.2821,10.5282,inf,0.0000,100.0000,10.0042,48.3333,1.3742,11.2516
ZEC/USDT:USDT,short_pullback_restart,period,3y,,,,,,,10,117.0720,11.7072,3.6829,2.9615,50.0000,3.8808,37.4000,1.9292,9.0804
ADA/USDT:USDT,short_compression_breakdown,period,pressure,,,,,,,2,-23.4605,-2.3460,0.0000,2.3460,0.0000,-1.2780,65.0000,1.8074,3.9313
BNB/USDT:USDT,short_pullback_restart,period,pressure,,,,,,,2,-17.0805,-1.7080,0.2403,2.2483,50.0000,-1.0841,78.0000,2.3225,4.1408
BTC/USDT:USDT,long_1d_center_compression,period,pressure,,,,,,,1,-19.2202,-1.9220,0.0000,1.9220,0.0000,-2.0782,18.0000,2.1221,0.4536
BTC/USDT:USDT,short_compression_breakdown,period,pressure,,,,,,,1,-0.7813,-0.0781,0.0000,0.0781,0.0000,-0.0960,76.0000,0.4003,4.3586
NEAR/USDT:USDT,short_pullback_restart,period,pressure,,,,,,,1,-19.8261,-1.9826,0.0000,1.9826,0.0000,-4.0951,30.0000,4.4444,2.7350
SOL/USDT:USDT,short_compression_breakdown,period,pressure,,,,,,,2,-42.0452,-4.2045,0.0000,4.2045,0.0000,-3.6500,26.5000,4.9209,1.7291
SUI/USDT:USDT,short_pullback_restart,period,pressure,,,,,,,1,-22.1704,-2.2170,0.0000,2.2170,0.0000,-4.0449,39.0000,4.1403,4.5050
TAO/USDT:USDT,short_compression_breakdown,period,pressure,,,,,,,1,-15.4298,-1.5430,0.0000,1.5430,0.0000,-1.9684,12.0000,2.4996,0.1736
XRP/USDT:USDT,short_compression_breakdown,period,pressure,,,,,,,1,-21.8116,-2.1812,0.0000,2.1812,0.0000,-3.3683,18.0000,3.3957,0.5324
XRP/USDT:USDT,short_pullback_restart,period,pressure,,,,,,,4,0.2553,0.0255,1.0108,2.2440,25.0000,-0.0240,119.0000,1.5373,5.5380
ZEC/USDT:USDT,short_compression_breakdown,period,pressure,,,,,,,1,52.3429,5.2343,inf,0.0000,100.0000,10.0003,33.0000,0.2576,12.6243
ADA/USDT:USDT,short_compression_breakdown,period,strong,,,,,,,1,-21.2548,-2.1255,0.0000,2.1255,0.0000,-2.6494,72.0000,2.5265,7.2135
ADA/USDT:USDT,short_pullback_restart,period,strong,,,,,,,3,35.5628,3.5563,2.8769,1.8477,33.3333,2.1310,53.0000,2.4371,6.2672
BNB/USDT:USDT,short_pullback_restart,period,strong,,,,,,,2,63.2238,6.3224,inf,0.0000,100.0000,5.3162,65.0000,1.2790,8.7552
BTC/USDT:USDT,short_compression_breakdown,period,strong,,,,,,,1,86.9355,8.6936,inf,0.0000,100.0000,10.0000,50.0000,0.0401,10.3114
BTC/USDT:USDT,short_pullback_restart,period,strong,,,,,,,1,53.4943,5.3494,inf,0.0000,100.0000,10.0001,46.0000,0.6465,12.8073
DOGE/USDT:USDT,short_pullback_restart,period,strong,,,,,,,1,-3.7330,-0.3733,0.0000,0.3733,0.0000,-0.7110,74.0000,1.3399,5.8527
ETH/USDT:USDT,short_pullback_restart,period,strong,,,,,,,2,-29.9669,-2.9967,0.0000,2.9967,0.0000,-2.1167,30.5000,2.5541,2.8689
LINK/USDT:USDT,short_compression_breakdown,period,strong,,,,,,,1,-22.3811,-2.2381,0.0000,2.2381,0.0000,-4.4897,25.0000,5.2889,0.6790
LINK/USDT:USDT,short_pullback_restart,period,strong,,,,,,,1,44.2622,4.4262,inf,0.0000,100.0000,9.9959,8.0000,1.0611,10.5535
NEAR/USDT:USDT,short_compression_breakdown,period,strong,,,,,,,1,-18.6187,-1.8619,0.0000,1.8619,0.0000,-2.2745,24.0000,2.2667,2.2000
NEAR/USDT:USDT,short_pullback_restart,period,strong,,,,,,,2,94.6359,9.4636,inf,0.0000,100.0000,9.9993,124.0000,1.6243,10.8169
PAXG/USDT:USDT,long_1d_center_compression,period,strong,,,,,,,1,84.7870,8.4787,inf,0.0000,100.0000,10.0000,383.0000,1.9424,10.4774
SOL/USDT:USDT,short_pullback_restart,period,strong,,,,,,,1,46.8402,4.6840,inf,0.0000,100.0000,10.0002,26.0000,1.9349,10.7759
TAO/USDT:USDT,short_compression_breakdown,period,strong,,,,,,,1,-15.0108,-1.5011,0.0000,1.5011,0.0000,-2.8906,73.0000,3.7532,6.8780
TAO/USDT:USDT,short_pullback_restart,period,strong,,,,,,,2,28.3693,2.8369,2.3205,2.0464,50.0000,2.8248,14.0000,3.3479,7.2219
XRP/USDT:USDT,short_pullback_restart,period,strong,,,,,,,2,1.3473,0.1347,1.2731,0.4903,50.0000,0.1345,98.0000,1.9292,6.5300
ZEC/USDT:USDT,short_pullback_restart,period,strong,,,,,,,1,-19.3320,-1.9332,0.0000,1.9332,0.0000,-4.2614,9.0000,4.4692,0.9491
ADA/USDT:USDT,short_compression_breakdown,period,repair,,,,,,,1,6.0875,0.6088,inf,0.0000,100.0000,1.1459,15.0000,2.3091,3.1972
ADA/USDT:USDT,short_pullback_restart,period,repair,,,,,,,1,95.2662,9.5266,inf,0.0000,100.0000,9.9944,56.0000,1.5825,10.4790
BTC/USDT:USDT,short_pullback_restart,period,repair,,,,,,,2,-45.9455,-4.5946,0.0000,4.5946,0.0000,-2.6016,26.5000,3.5265,1.3401
DOGE/USDT:USDT,short_pullback_restart,period,repair,,,,,,,2,-36.0782,-3.6078,0.0000,3.6078,0.0000,-2.5044,31.0000,2.5159,1.8781
ETH/USDT:USDT,short_pullback_restart,period,repair,,,,,,,2,47.7374,4.7737,8.1078,0.6369,50.0000,4.5055,43.0000,1.9787,6.6083
LINK/USDT:USDT,short_pullback_restart,period,repair,,,,,,,2,23.7996,2.3800,2.0132,2.2428,50.0000,3.1493,13.5000,3.5602,5.3647
SOL/USDT:USDT,short_pullback_restart,period,repair,,,,,,,1,95.2829,9.5283,inf,0.0000,100.0000,9.9975,55.0000,1.4160,10.5591
XRP/USDT:USDT,short_pullback_restart,period,repair,,,,,,,1,54.5631,5.4563,inf,0.0000,100.0000,9.9994,46.0000,1.3795,10.2801
ADA/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,6,-0.3167,-0.0317,0.9863,2.2609,33.3333,0.9609,64.0000,2.3645,5.9379
ADA/USDT:USDT,short_pullback_restart,period,1y,,,,,,,7,102.3245,10.2325,6.3506,1.8061,57.1429,4.7890,50.0000,2.3285,7.9873
BNB/USDT:USDT,long_1d_center_compression,period,1y,,,,,,,3,24.7151,2.4715,3.1864,1.1304,33.3333,2.2442,65.0000,1.8171,6.0101
BNB/USDT:USDT,short_pullback_restart,period,1y,,,,,,,6,6.9467,0.6947,1.2497,1.6494,50.0000,0.3516,54.3333,2.4255,4.8050
BTC/USDT:USDT,long_1d_center_compression,period,1y,,,,,,,3,18.3695,1.8369,2.2240,1.4522,33.3333,2.1380,76.3333,1.5667,5.1117
BTC/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,2,43.0771,4.3077,111.2694,0.0374,50.0000,4.9520,63.0000,0.2202,7.3350
BTC/USDT:USDT,short_pullback_restart,period,1y,,,,,,,6,-3.5536,-0.3554,0.8712,2.1671,50.0000,0.6079,61.8333,2.0592,4.1631
DOGE/USDT:USDT,short_pullback_restart,period,1y,,,,,,,6,-18.9540,-1.8954,0.4993,2.8951,16.6667,-0.2182,36.8333,2.5385,5.1035
ETH/USDT:USDT,long_1d_center_compression,period,1y,,,,,,,3,62.4149,6.2415,9.1910,0.7121,66.6667,5.9576,53.6667,1.1259,7.3827
ETH/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,2,26.1512,2.6151,4.1896,0.8199,50.0000,2.8690,71.0000,3.1114,6.0671
ETH/USDT:USDT,short_pullback_restart,period,1y,,,,,,,7,13.8379,1.3838,1.3998,1.6047,28.5714,0.9056,31.0000,2.6105,5.4480
LINK/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,2,-18.8573,-1.8857,0.0000,1.8857,0.0000,-3.9711,22.5000,4.6837,0.8532
LINK/USDT:USDT,short_pullback_restart,period,1y,,,,,,,3,34.4202,3.4420,3.9027,1.1333,66.6667,5.4315,11.6667,2.7271,7.0943
NEAR/USDT:USDT,short_compression_breakdown,period,1y,,,,,,,3,16.4293,1.6429,1.9223,1.7223,33.3333,1.5102,22.6667,2.2624,4.6718
