group_type,group_value,window_h,trades,stop_trades,take_profit_trades,stopped_too_early_pct,took_profit_too_early_pct,hold_would_help_pct,hold_would_hurt_pct,avg_future_favorable_pct,avg_future_adverse_pct,avg_future_close_return_pct,period
pair,BNB/USDT:USDT,168,19,8,9,75.0,77.77777777777779,52.63157894736842,47.368421052631575,9.111950653125495,6.8278637108028715,1.2376681070121076,3y
pair,BNB/USDT:USDT,336,19,8,9,75.0,77.77777777777779,47.368421052631575,52.63157894736842,12.147627955438736,8.968172829341817,0.13301688125352013,3y
pair,BTC/USDT:USDT,6,37,19,12,0.0,33.33333333333333,54.054054054054056,45.94594594594595,1.1522554803309022,1.531872783800769,-0.20186205261065845,3y
pair,BTC/USDT:USDT,12,37,19,12,0.0,41.66666666666667,40.54054054054054,59.45945945945946,1.4976562083654794,1.958699712960023,-0.45180083875213045,3y
pair,BTC/USDT:USDT,24,37,19,12,15.789473684210526,41.66666666666667,48.64864864864865,51.35135135135135,2.0192841739190883,2.536443901638878,-0.42967252954787366,3y
pair,BTC/USDT:USDT,48,37,19,12,36.84210526315789,50.0,51.35135135135135,48.64864864864865,2.8889496929001734,3.094386727686527,-0.005276245589188765,3y
pair,BTC/USDT:USDT,72,37,19,12,57.89473684210527,50.0,59.45945945945946,40.54054054054054,3.6174509522118075,3.6632848886135063,0.05715771670158517,3y
pair,BTC/USDT:USDT,168,37,19,12,78.94736842105263,58.333333333333336,54.054054054054056,45.94594594594595,5.91463103813866,5.0190383039641455,0.9197712841498309,3y
pair,BTC/USDT:USDT,336,35,17,12,88.23529411764706,58.333333333333336,48.57142857142857,51.42857142857142,8.018915240903052,7.258522086855543,0.12735439454391267,3y
pair,DOGE/USDT:USDT,6,20,10,8,20.0,50.0,60.0,40.0,2.579445621525868,2.023000357907307,-0.009063817734329854,3y
pair,DOGE/USDT:USDT,12,20,10,8,30.0,62.5,50.0,50.0,4.6799822021521456,2.4821702054322063,1.5167853620592107,3y
pair,DOGE/USDT:USDT,24,20,10,8,40.0,62.5,50.0,50.0,5.422699681661684,3.512741222471507,0.10361682725938917,3y
pair,DOGE/USDT:USDT,48,20,10,8,60.0,62.5,50.0,50.0,6.606575766113092,5.240397792709351,-0.6992522341404782,3y
pair,DOGE/USDT:USDT,72,20,10,8,70.0,62.5,55.00000000000001,45.0,7.122858816577066,6.248109877719384,-0.0034890211120262643,3y
pair,DOGE/USDT:USDT,168,20,10,8,100.0,75.0,65.0,35.0,11.354040136968587,9.381046057799121,2.8479947436991626,3y
pair,DOGE/USDT:USDT,336,19,9,8,100.0,100.0,73.68421052631578,26.31578947368421,23.768764486073902,10.302231312121155,11.710055081294879,3y
pair,ETH/USDT:USDT,6,30,14,11,21.428571428571427,36.36363636363637,63.33333333333333,36.666666666666664,2.830165866674772,1.3015489214671803,0.7297264918527073,3y
pair,ETH/USDT:USDT,12,30,14,11,35.714285714285715,45.45454545454545,60.0,40.0,3.5860686427598663,1.6458946552499365,0.8246882746254138,3y
pair,ETH/USDT:USDT,24,30,14,11,42.857142857142854,54.54545454545454,40.0,60.0,4.126060603189021,2.266093316076771,-0.24155320814699244,3y
