pair,open_date,close_date,profit_ratio_final,max_profit_ratio,bars_in_trade,profitable_bars,same_tag_signal_bars,profitable_same_tag_signal_bars,first_profitable_same_tag_profit,max_profitable_same_tag_profit
DOGE/USDT:USDT,2024-08-03 16:00:00+00:00,2024-08-04 14:35:00+00:00,0.05254538518116827,0.05418852903926177,22,22,0,0,,
BNB/USDT:USDT,2024-08-03 16:00:00+00:00,2024-08-04 15:10:00+00:00,0.05460332346009517,0.05774687588086059,23,23,0,0,,
BNB/USDT:USDT,2024-08-07 15:00:00+00:00,2024-08-08 15:50:00+00:00,-0.046816289998442985,0.02002306321417342,24,8,0,0,,
NEAR/USDT:USDT,2024-08-19 00:00:00+00:00,2024-08-20 00:30:00+00:00,-0.04580470646209553,0.017192712342827748,24,14,0,0,,
ZEC/USDT:USDT,2024-08-31 16:00:00+00:00,2024-09-01 17:25:00+00:00,0.05194605257180543,0.053489086996618564,25,23,1,1,0.012603750384260795,0.012603750384260795
ADA/USDT:USDT,2024-08-30 12:00:00+00:00,2024-09-01 22:20:00+00:00,0.0503906967991736,0.05183708345200811,58,57,1,1,0.028197094844773625,0.028197094844773625
BNB/USDT:USDT,2024-08-31 17:00:00+00:00,2024-09-02 05:35:00+00:00,0.05051198794461552,0.0522634362224806,36,33,1,1,0.0057195364362599005,0.0057195364362599005
ETH/USDT:USDT,2024-09-03 09:00:00+00:00,2024-09-04 01:05:00+00:00,0.07348062220804323,0.07753541983510767,16,13,0,0,,
ZEC/USDT:USDT,2024-09-03 14:00:00+00:00,2024-09-04 01:05:00+00:00,0.06407389128616313,0.07003758114110013,11,11,0,0,,
DOGE/USDT:USDT,2024-09-03 14:00:00+00:00,2024-09-04 01:05:00+00:00,0.06232130485099709,0.06511343982093806,11,11,0,0,,
BTC/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-06 15:20:00+00:00,0.056631393117152436,0.05819547107825878,35,33,0,0,,
XRP/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-06 15:20:00+00:00,0.05393917862484407,0.055565610859728415,35,32,1,1,0.01176470588235285,0.01176470588235285
DOGE/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-06 17:40:00+00:00,0.05050054372158047,0.06005194805194813,37,5,0,0,,
XRP/USDT:USDT,2024-10-09 21:00:00+00:00,2024-10-10 12:50:00+00:00,-0.024559802552939033,0.003445635528330827,15,0,0,0,,
LINK/USDT:USDT,2024-10-13 15:00:00+00:00,2024-10-14 13:45:00+00:00,-0.03514096916077231,0.011562849682954172,22,8,0,0,,
TAO/USDT:USDT,2024-11-02 13:00:00+00:00,2024-11-03 02:40:00+00:00,0.0501244471213909,0.056466262017633266,13,13,0,0,,
XRP/USDT:USDT,2024-11-03 03:00:00+00:00,2024-11-04 10:00:00+00:00,-0.024463074781694807,0.017592962814874002,31,6,0,0,,
NEAR/USDT:USDT,2024-12-30 14:00:00+00:00,2024-12-31 08:20:00+00:00,0.0003488424973586159,0.025153495741731167,18,13,0,0,,
BTC/USDT:USDT,2025-01-12 10:00:00+00:00,2025-01-12 15:15:00+00:00,-0.013713093875017578,0.0008107897902281805,5,0,0,0,,
TAO/USDT:USDT,2025-01-15 10:00:00+00:00,2025-01-15 13:30:00+00:00,-0.04995236816475499,0.003959807949314514,3,0,0,0,,
NEAR/USDT:USDT,2025-01-15 10:00:00+00:00,2025-01-15 13:45:00+00:00,-0.0427088544272136,0.007761437908496784,3,1,0,0,,
SUI/USDT:USDT,2025-01-26 21:00:00+00:00,2025-01-27 00:00:00+00:00,0.05042109732887752,0.0534343657274577,3,3,0,0,,
NEAR/USDT:USDT,2025-01-26 22:00:00+00:00,2025-01-27 01:15:00+00:00,0.05206297393837469,0.054920375663536164,3,3,0,0,,
ZEC/USDT:USDT,2025-01-26 22:00:00+00:00,2025-01-27 04:30:00+00:00,0.05033540675201285,0.053800914833369615,6,6,0,0,,
BNB/USDT:USDT,2025-01-28 22:00:00+00:00,2025-01-29 04:05:00+00:00,-0.02697160292525803,0.0028441324639566657,6,0,0,0,,
ETH/USDT:USDT,2025-01-28 17:00:00+00:00,2025-01-29 06:35:00+00:00,9.840413203702896e-05,0.035374879739379715,13,13,0,0,,
SOL/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-07 02:25:00+00:00,9.814684311658662e-05,0.04109027564299626,11,11,0,0,,
LINK/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-07 09:20:00+00:00,1.3599642679208255e-05,0.0381719305584606,18,17,0,0,,
DOGE/USDT:USDT,2025-02-09 14:00:00+00:00,2025-02-09 23:45:00+00:00,7.035198788257052e-05,0.039078799550633925,9,3,0,0,,
BTC/USDT:USDT,2025-02-09 14:00:00+00:00,2025-02-10 05:45:00+00:00,-0.017062033967351755,0.012369111654866873,15,4,0,0,,
ETH/USDT:USDT,2025-02-09 22:00:00+00:00,2025-02-10 13:50:00+00:00,-0.04898326401921598,0.010095070077428207,15,0,0,0,,
SOL/USDT:USDT,2025-02-16 14:00:00+00:00,2025-02-17 08:05:00+00:00,0.05031888317461217,0.052791771620486996,18,18,0,0,,
DOGE/USDT:USDT,2025-02-23 16:00:00+00:00,2025-02-24 04:35:00+00:00,0.05196650335301211,0.059552009308897515,12,4,1,1,0.0056933881893363675,0.0056933881893363675
LINK/USDT:USDT,2025-02-24 03:00:00+00:00,2025-02-24 14:50:00+00:00,0.053653181521258086,0.05509849362688299,11,11,0,0,,
ETH/USDT:USDT,2025-02-26 13:00:00+00:00,2025-02-26 14:45:00+00:00,3.817792511805629e-06,0.026172520703635817,1,0,0,0,,
BTC/USDT:USDT,2025-02-26 14:00:00+00:00,2025-02-26 20:20:00+00:00,0.054932044507623866,0.05621342512908778,6,5,0,0,,
BNB/USDT:USDT,2025-02-27 15:00:00+00:00,2025-02-28 04:05:00+00:00,0.054662544876762524,0.05658217769225667,13,7,1,1,0.025512573817264936,0.025512573817264936
LINK/USDT:USDT,2025-03-02 14:00:00+00:00,2025-03-02 15:25:00+00:00,-0.0249203341930123,0.01389934953782959,1,0,0,0,,
BTC/USDT:USDT,2025-03-02 15:00:00+00:00,2025-03-02 15:25:00+00:00,-0.019138813239221838,0.0005442167275529801,0,0,0,0,,
BNB/USDT:USDT,2025-03-02 15:00:00+00:00,2025-03-02 15:25:00+00:00,-0.016036667923616122,0.0011771532786204473,0,0,0,0,,
ZEC/USDT:USDT,2025-03-09 03:00:00+00:00,2025-03-09 16:40:00+00:00,0.05698653254195218,0.060037523452157654,13,13,0,0,,
BTC/USDT:USDT,2025-03-09 10:00:00+00:00,2025-03-09 22:35:00+00:00,0.050470923865654285,0.05474969280826436,12,12,0,0,,
BTC/USDT:USDT,2025-03-13 14:00:00+00:00,2025-03-14 00:50:00+00:00,8.645001317012255e-05,0.02235517952294438,10,10,0,0,,
ADA/USDT:USDT,2025-03-23 19:00:00+00:00,2025-03-24 00:30:00+00:00,-0.03430321891854543,0.004035745171519205,5,0,0,0,,
SOL/USDT:USDT,2025-03-30 14:00:00+00:00,2025-03-30 18:45:00+00:00,-0.028364240613393626,0.004539191051309089,4,0,0,0,,
BTC/USDT:USDT,2025-04-03 13:00:00+00:00,2025-04-04 08:00:00+00:00,-0.02671648583181281,0.009035273090854558,19,3,0,0,,
ETH/USDT:USDT,2025-04-05 13:00:00+00:00,2025-04-06 17:30:00+00:00,0.05372444676254647,0.06592507679294841,28,20,1,1,0.01104594221608863,0.01104594221608863
SOL/USDT:USDT,2025-04-05 14:00:00+00:00,2025-04-06 17:45:00+00:00,0.05161426976713515,0.06231428813991004,27,8,1,1,0.01188555904575945,0.01188555904575945
BTC/USDT:USDT,2025-04-08 15:00:00+00:00,2025-04-09 17:00:00+00:00,0.00017096678307894548,0.049233558217449104,26,25,1,1,0.013346438824891182,0.013346438824891182
ZEC/USDT:USDT,2025-04-18 07:00:00+00:00,2025-04-18 17:35:00+00:00,-0.036974952996690374,0.010278514588859373,10,3,0,0,,
SUI/USDT:USDT,2025-04-19 17:00:00+00:00,2025-04-19 18:05:00+00:00,-0.020154341474630234,0.0007069469318503426,1,0,0,0,,
XRP/USDT:USDT,2025-05-30 17:00:00+00:00,2025-05-31 10:10:00+00:00,6.076581532274707e-05,0.03470383275261324,17,13,0,0,,
NEAR/USDT:USDT,2025-06-01 10:00:00+00:00,2025-06-01 16:10:00+00:00,-0.03658799217229157,0.0021150592216581613,6,0,0,0,,
NEAR/USDT:USDT,2025-06-02 10:00:00+00:00,2025-06-02 22:00:00+00:00,-0.04424089980686361,0.0033613445378151293,12,0,0,0,,
ADA/USDT:USDT,2025-06-02 09:00:00+00:00,2025-06-02 22:20:00+00:00,-0.02976585271278015,0.01250744490768309,13,4,0,0,,
LINK/USDT:USDT,2025-06-01 10:00:00+00:00,2025-06-03 00:15:00+00:00,-0.038947575969615046,0.006002049480310403,38,1,1,0,,
DOGE/USDT:USDT,2025-06-04 14:00:00+00:00,2025-06-05 12:45:00+00:00,0.00015984658888085519,0.025867014341590572,22,20,0,0,,
SUI/USDT:USDT,2025-06-04 11:00:00+00:00,2025-06-05 13:00:00+00:00,0.0001178788677087997,0.030033854085784323,26,24,0,0,,
XRP/USDT:USDT,2025-06-05 07:00:00+00:00,2025-06-05 20:45:00+00:00,0.05399237288045222,0.05683844711692343,13,5,0,0,,
SOL/USDT:USDT,2025-06-05 14:00:00+00:00,2025-06-05 20:45:00+00:00,0.05262084060719534,0.056967922268068696,6,5,0,0,,
SOL/USDT:USDT,2025-06-19 15:00:00+00:00,2025-06-19 22:35:00+00:00,-0.030930916497967736,0.0018170382276888036,7,0,0,0,,
NEAR/USDT:USDT,2025-06-21 14:00:00+00:00,2025-06-21 21:35:00+00:00,0.057908343787533845,0.0662739322533137,7,6,0,0,,
SOL/USDT:USDT,2025-06-21 18:00:00+00:00,2025-06-22 13:20:00+00:00,0.054767856717925154,0.05859431375378845,19,19,0,0,,
ETH/USDT:USDT,2025-06-22 14:00:00+00:00,2025-06-22 22:05:00+00:00,4.7635930159483074e-05,0.039974532720905946,8,7,0,0,,
BNB/USDT:USDT,2025-06-22 14:00:00+00:00,2025-06-22 22:55:00+00:00,6.738632884346614e-06,0.024750064918203064,8,8,0,0,,
NEAR/USDT:USDT,2025-08-21 12:00:00+00:00,2025-08-22 02:15:00+00:00,0.0004074185419997382,0.022974607013301066,14,14,0,0,,
BTC/USDT:USDT,2025-08-21 17:00:00+00:00,2025-08-22 14:00:00+00:00,-0.016356197854906048,0.0064521124905208395,21,3,0,0,,
TAO/USDT:USDT,2025-08-28 17:00:00+00:00,2025-08-29 12:30:00+00:00,0.0002557528198908292,0.03809233582203261,19,8,1,1,0.009050738991314857,0.009050738991314857
DOGE/USDT:USDT,2025-09-01 00:00:00+00:00,2025-09-01 07:30:00+00:00,0.00012953981453317373,0.025891937447326433,7,6,0,0,,
NEAR/USDT:USDT,2025-08-31 23:00:00+00:00,2025-09-01 07:50:00+00:00,9.099069599130951e-05,0.03617463617463607,8,7,0,0,,
BTC/USDT:USDT,2025-08-29 02:00:00+00:00,2025-09-02 14:00:00+00:00,0.0007738701390183536,0.037814673547229075,108,106,0,0,,
XRP/USDT:USDT,2025-09-04 20:00:00+00:00,2025-09-05 12:30:00+00:00,-0.028068089658353265,0.002371456289748899,16,1,0,0,,
SUI/USDT:USDT,2025-09-24 04:00:00+00:00,2025-09-24 14:45:00+00:00,-0.046995830427084676,0.012732824427480938,10,0,0,0,,
SUI/USDT:USDT,2025-09-25 01:00:00+00:00,2025-09-25 11:50:00+00:00,0.05527481240054528,0.06016883194635683,10,10,0,0,,
TAO/USDT:USDT,2025-09-23 18:00:00+00:00,2025-09-25 17:55:00+00:00,0.05073888429989903,0.05606448062667916,47,19,0,0,,
SOL/USDT:USDT,2025-10-19 09:00:00+00:00,2025-10-19 09:45:00+00:00,-0.022915059224527516,0.005541069100391189,0,0,0,0,,
XRP/USDT:USDT,2025-10-19 09:00:00+00:00,2025-10-19 09:50:00+00:00,-0.02079550841929629,0.006348661633493543,0,0,0,0,,
SOL/USDT:USDT,2025-10-20 17:00:00+00:00,2025-10-21 12:20:00+00:00,-7.751329599630371e-05,0.025502854398975622,19,12,0,0,,
NEAR/USDT:USDT,2025-11-02 15:00:00+00:00,2025-11-03 00:05:00+00:00,-0.03908160942510843,0.009429514380009437,9,2,0,0,,
ADA/USDT:USDT,2025-11-02 15:00:00+00:00,2025-11-03 15:25:00+00:00,0.05363827409334553,0.05635211737245757,24,19,0,0,,
