pair,enter_tag,is_short,open_date,close_date,hours_to_5pct,bars_to_5pct,node_time,node_close_profit,overall_mfe,future_mfe_after_5pct,future_close_min_profit_after_5pct,future_adverse_after_5pct,adverse_before_5pct,final_profit,exit_reason,category,node_ret_1h,node_ret_3h,node_ret_6h,node_vol_1h,node_close_vs_ema20,node_close_vs_ema50,node_trend_up,node_trend_down,node_body_ratio,node_close_position
DOGE/USDT:USDT,short_pullback_restart,True,2025-02-23 16:00:00+00:00,2025-02-24 22:00:00+00:00,11.5,138,2025-02-24T03:25:00+00:00,0.04400947512778962,0.12965964343598058,0.12965964343598058,0.02975522586543656,-0.028508498524706,0.013298424967792795,0.10000896920121245,roi,reach10plus,-0.029244208127611082,-0.05492789942894705,-0.04792649615098088,0.0023907884153311944,-0.021980480671049296,-0.03382194941842864,False,True,0.2467948717948708,0.689102564102563
SOL/USDT:USDT,short_compression_breakdown,True,2025-02-24 02:00:00+00:00,2025-02-24 22:00:00+00:00,8.583333333333334,103,2025-02-24T10:30:00+00:00,0.04849559686888458,0.11325831702544037,0.11325831702544037,0.022810665362035337,-0.019447162426614522,0.008317025440313021,0.10000002590970676,roi,reach10plus,-0.027136872381666954,-0.035399876007439546,-0.016933089025083725,0.0026298703276617253,-0.013849517681157386,-0.020670465359473367,False,True,0.36752136752137726,0.23931623931624285
LINK/USDT:USDT,short_pullback_restart,True,2025-02-24 03:00:00+00:00,2025-02-24 22:00:00+00:00,11.75,141,2025-02-24T14:40:00+00:00,0.05110081112398617,0.11129779837775208,0.11129779837775208,0.04571263035921213,-0.04339513325608356,5.79374275780805e-05,0.09998937514681196,roi,reach10plus,-0.0169267707082833,-0.014204887444324132,-0.01367058115025599,0.0031646349702318987,-0.010285335575195509,-0.013367094740452279,False,True,0.7017543859649207,0.22222222222222454
ETH/USDT:USDT,short_pullback_restart,True,2025-02-26 13:00:00+00:00,2025-02-28 01:30:00+00:00,5.5,66,2025-02-26T18:25:00+00:00,0.05170357821327838,0.10482988889528527,0.10482988889528527,0.021966002450718385,-0.020218426441441843,0.011990427395412655,0.09999875803631737,roi,reach10plus,-0.037888711817173015,-0.0510402264796892,-0.05046978318332673,0.0062824152537611306,-0.028428313122088045,-0.03682126674375075,False,True,0.9642997253825086,0.023538642604939538
BTC/USDT:USDT,short_pullback_restart,True,2025-02-26 14:00:00+00:00,2025-02-28 08:15:00+00:00,6.333333333333333,76,2025-02-26T20:15:00+00:00,0.055776247848536936,0.10088238668961554,0.10088238668961554,0.0019506597819850832,-0.0009638554216867469,0.01549053356282272,0.10000043549026377,roi,reach10plus,-0.029369301360006483,-0.05236410621376786,-0.04506542110302003,0.0037918362653677398,-0.021732407750498894,-0.03304858049888304,False,True,0.7226949732432605,0.0334239845600544
BNB/USDT:USDT,short_pullback_restart,True,2025-02-27 15:00:00+00:00,2025-03-02 15:05:00+00:00,13.0,156,2025-02-28T03:55:00+00:00,0.04981421272642838,0.07179351071594467,0.07179351071594467,-0.013370048437396233,0.014348749253533237,0.010732532678654226,-0.0026195212123168873,stale_loss_72h,giveback_below_0,-0.0130601836696016,-0.04747572169748582,-0.0538165480103735,0.0037786075108561037,-0.014546839973304082,-0.026600305191369356,False,True,0.10461538461539441,0.3630769230769077
DOGE/USDT:USDT,short_compression_breakdown,True,2025-03-09 03:00:00+00:00,2025-03-09 16:55:00+00:00,11.0,132,2025-03-09T13:55:00+00:00,0.05134551582495133,0.10305966612249198,0.10305966612249198,0.042708936752856946,-0.04181368160513983,0.010953710042656266,0.10001030470723543,roi,reach10plus,-0.022359709106697156,-0.023843069253278504,-0.05848533946584433,0.003461708540707512,-0.01771929680094475,-0.026012322594574866,False,True,0.9247311827956983,0.06989247311827483
ZEC/USDT:USDT,short_pullback_restart,True,2025-03-09 03:00:00+00:00,2025-03-10 18:35:00+00:00,13.583333333333334,163,2025-03-09T16:30:00+00:00,0.0503439649781113,0.10412757973733588,0.10412757973733588,0.004065040650406473,-0.00031269543464670306,0.002501563477173291,0.09998545623661301,roi,reach10plus,-0.016833926837164115,-0.031877590054191884,-0.03341820496499048,0.0032967254611102345,-0.01213180704334571,-0.01833321290061496,False,True,0.7500000000000037,0.20833333333333764
BTC/USDT:USDT,short_pullback_restart,True,2025-03-09 10:00:00+00:00,2025-03-11 00:35:00+00:00,12.5,150,2025-03-09T22:25:00+00:00,0.04922784098282639,0.10282008443534593,0.10282008443534593,0.02163494982632414,-0.017553479421368787,0.0006512114052021111,0.09999981347053855,roi,reach10plus,-0.008159402278046568,-0.01621291395735669,-0.02274469747040797,0.002076963444428296,-0.008537412314580273,-0.013288652757883379,False,True,0.5738353102974121,0.35705690218325276
XRP/USDT:USDT,short_compression_breakdown,True,2025-03-28 05:00:00+00:00,2025-03-31 09:40:00+00:00,11.833333333333334,142,2025-03-28T16:45:00+00:00,0.05303663309732161,0.10308280927041645,0.10308280927041645,0.023791723470688947,-0.022032631162320064,0.0011434100004398425,0.09997810313680568,roi,reach10plus,-0.01522912283911082,-0.024508471504937734,-0.029651660583119188,0.0027930213300700387,-0.012664022351744242,-0.017880519799808647,False,True,0.9209039548022437,0.01694915254238351
ETH/USDT:USDT,short_pullback_restart,True,2025-04-05 13:00:00+00:00,2025-04-06 18:45:00+00:00,28.5,342,2025-04-06T17:25:00+00:00,0.054623158082179504,0.10463873926011662,0.10463873926011662,0.054623158082179504,-0.0425755687129947,0.01076214218937817,0.10000228229456828,roi,reach10plus,-0.03146948827875573,-0.029959745339309563,-0.0492106043731565,0.004062748187660683,-0.021783258571896003,-0.030176367542299687,False,True,0.48307912297426037,0.4840324118207854
SOL/USDT:USDT,short_pullback_restart,True,2025-04-05 14:00:00+00:00,2025-04-06 20:35:00+00:00,27.75,333,2025-04-06T17:40:00+00:00,0.05255115035232203,0.10637575345954665,0.10637575345954665,0.049749554291535776,-0.04210883776211909,0.027931063757534527,0.09996890806030412,roi,reach10plus,-0.02532751091703067,-0.0286360866916181,-0.058545638603003325,0.0034990764444650744,-0.018851319481769213,-0.02725847369897927,False,True,0.44957983193277706,0.4831932773109217
ADA/USDT:USDT,short_compression_breakdown,True,2025-04-06 08:00:00+00:00,2025-04-06 20:35:00+00:00,10.083333333333334,121,2025-04-06T18:00:00+00:00,0.05000000000000006,0.10454545454545451,0.10454545454545451,0.049059561128526635,-0.0454545454545455,0.005485893416927817,0.1000191562364606,roi,reach10plus,-0.02540601382858987,-0.03656016531553019,-0.0492549019607843,0.002684055777730348,-0.017637762098827836,-0.025850302867219344,False,True,0.6944444444444727,0.19444444444442646
SUI/USDT:USDT,short_pullback_restart,True,2025-06-04 11:00:00+00:00,2025-06-05 20:40:00+00:00,31.25,375,2025-06-05T18:10:00+00:00,0.053203714631797995,0.10528931266888218,0.10528931266888218,0.0452216044973134,-0.04422772307979,0.008199521694567878,0.10001357321683929,roi,reach10plus,-0.012600006478152403,-0.02666113222005806,-0.04035761506012725,0.0029059631556210947,-0.01134563598704863,-0.018988967868143747,False,True,0.7339181286549694,0.1549707602339195
DOGE/USDT:USDT,short_pullback_restart,True,2025-06-04 14:00:00+00:00,2025-06-05 19:15:00+00:00,26.416666666666668,317,2025-06-05T16:20:00+00:00,0.04224250325945239,0.11603650586701429,0.11603650586701429,0.04224250325945239,-0.039113428943937455,0.009074315514993436,0.10000099039237711,roi,reach10plus,-0.03224956526321332,-0.04094208574860303,-0.02794685862488744,0.007192700448061332,-0.024459184974889414,-0.02855834351254294,False,True,0.0702479338842988,0.7727272727272754
XRP/USDT:USDT,short_pullback_restart,True,2025-06-05 07:00:00+00:00,2025-06-08 07:05:00+00:00,13.416666666666666,161,2025-06-05T20:20:00+00:00,0.03772463304220587,0.05912478851342091,0.05912478851342091,-0.014906945905162542,0.016324477570990828,0.01765055558095923,-0.012038300155491483,stale_loss_72h,giveback_below_0,-0.011415417860666022,-0.03072175394961074,-0.03754859364280816,0.00348839018679148,-0.013020864021521139,-0.022007829333385742,False,True,0.08306709265176254,0.9392971246006383
DOGE/USDT:USDT,short_compression_breakdown,True,2025-06-12 16:00:00+00:00,2025-06-17 15:25:00+00:00,8.25,99,2025-06-13T00:10:00+00:00,0.053441687745546494,0.10064043915827993,0.10064043915827993,0.02669393466444213,-0.02524083741456326,0.022711371831440726,0.10000685438518064,roi,reach10plus,-0.027319986727131984,-0.027535110029857313,-0.06645435244161357,0.005176765063353636,-0.02476978848571365,-0.03244356821316907,False,True,0.503205128205127,0.496794871794873
ADA/USDT:USDT,short_compression_breakdown,True,2025-06-12 20:00:00+00:00,2025-06-17 17:00:00+00:00,4.583333333333333,55,2025-06-13T00:30:00+00:00,0.05883233532934132,0.10179640718562882,0.10179640718562882,0.01781437125748506,-0.01601796407185635,0.004191616766466936,0.09995839759521374,roi,reach10plus,-0.051591491929401156,-0.051734539969834126,-0.05939557151406338,0.004815983902589586,-0.034489396972846476,-0.04387606090160301,False,True,0.5862068965517199,0.15517241379310626
NEAR/USDT:USDT,short_pullback_restart,True,2025-06-21 14:00:00+00:00,2025-06-22 13:25:00+00:00,7.5,90,2025-06-21T21:25:00+00:00,0.04467353951890033,0.10358370152184579,0.10358370152184579,0.01767304860088367,-0.014236622484045123,0.008345606283750567,0.10024518385849772,roi,reach10plus,-0.019153225806451624,-0.03328365623447593,-0.03996053280710421,0.0062936141414012626,-0.017914264329663587,-0.024817443600159472,False,True,0.16666666666666666,0.7916666666666621
SOL/USDT:USDT,short_pullback_restart,True,2025-06-21 18:00:00+00:00,2025-06-23 22:00:00+00:00,3.5833333333333335,43,2025-06-21T21:30:00+00:00,0.04192524173762449,0.09200461827103487,0.09200461827103487,-0.02835907057295409,0.03687400779333226,0.0072160484918458645,-0.03133205342184291,stop_loss,giveback_below_0,-0.03831667390989424,-0.04233987305250997,-0.04371938922500718,0.0077018593672062265,-0.03060673849747797,-0.03566237369761627,False,True,0.5147058823529398,0.4852941176470602
BTC/USDT:USDT,long_1d_center_compression,False,2025-07-10 00:00:00+00:00,2025-07-14 05:20:00+00:00,21.333333333333332,256,2025-07-10T21:15:00+00:00,0.047211415847870176,0.10445252599375171,0.10445252599375171,0.0367671524589073,-0.021190685594758212,0.0069028901131117665,0.10000002354941873,roi,reach10plus,0.026960313106851652,0.02603826617148841,0.04668336690458674,0.007154244490151289,0.024103464196084445,0.028082738977931454,True,False,0.7168213398245342,0.73368324965769
ETH/USDT:USDT,long_1d_center_compression,False,2025-07-10 00:00:00+00:00,2025-07-14 03:40:00+00:00,21.416666666666668,257,2025-07-10T21:20:00+00:00,0.04956479952595841,0.10269213676387161,0.10269213676387161,0.04956479952595841,-0.032438604034411275,0.00491745824134933,0.10000094531242727,roi,reach10plus,0.03049040057894503,0.03126231446210426,0.04918571598842769,0.005855673860478002,0.025923218579316565,0.030714008337715315,True,False,0.4319654427645766,0.6398488120950303
ETH/USDT:USDT,long_1d_center_compression,False,2025-08-08 00:00:00+00:00,2025-08-09 22:20:00+00:00,29.083333333333332,349,2025-08-09T05:00:00+00:00,0.04994626957322679,0.10665233855286042,0.10665233855286042,0.04994626957322679,-0.04242912700849451,0.008110735850987686,0.0999988695418427,roi,reach10plus,0.013852858773477195,0.01845757512583024,0.01878374855695819,0.0026436368526321767,0.009533704596078607,0.013870582441770196,True,False,0.7861553461163345,0.9548261293467557
TAO/USDT:USDT,short_pullback_restart,True,2025-08-28 17:00:00+00:00,2025-09-03 14:45:00+00:00,79.5,954,2025-09-01T00:25:00+00:00,0.04787444766113052,0.08121285997257345,0.08121285997257345,0.008928843516684291,-0.006917568185281066,0.030016760627761766,0.009598088244002134,stale_flat_120h,giveback_to_0_2,-0.014788887837795195,-0.03155415039365195,-0.03320233932605132,0.0016163889675479498,-0.010791627443376361,-0.019183624090586382,False,True,0.4675324675324602,0.5108225108225133
SUI/USDT:USDT,short_compression_breakdown,True,2025-08-29 08:00:00+00:00,2025-09-03 09:45:00+00:00,66.5,798,2025-09-01T02:25:00+00:00,0.04870342771982109,0.07421758569299557,0.07421758569299557,0.0032786885245902,0.0009836065573770071,0.01359165424739191,0.00985877951189106,stale_flat_120h,giveback_to_0_2,-0.013659682304221432,-0.021881703953417042,-0.03299500075746087,0.0024681077567452114,-0.01023116177583927,-0.015985203609374388,False,True,0.40784313725489063,0.5411764705882437
SOL/USDT:USDT,long_1d_center_compression,False,2025-09-11 00:00:00+00:00,2025-09-14 02:00:00+00:00,28.0,336,2025-09-12T03:55:00+00:00,0.049164954898633526,0.10350986871483436,0.10350986871483436,0.04711083325890869,-0.0451906760739484,0.010493882289899056,0.09998197934483176,roi,reach10plus,0.01023347809261721,0.008672133258918802,0.03684907325684028,0.0015924142141760993,0.006444179635096026,0.012137155231266128,True,False,0.44137931034482164,0.4689655172413681
PAXG/USDT:USDT,long_1d_center_compression,False,2025-09-23 00:00:00+00:00,2025-10-10 21:20:00+00:00,316.75,3801,2025-10-06T04:40:00+00:00,0.05004526091586789,0.15887113951011722,0.15887113951011722,0.007995207667731683,0.1781150159744409,0.009028221512247032,-0.023358357463671247,stop_loss,reach10plus,0.0023075613295415742,0.007049913695370114,0.011858123276249133,0.0004652991420443079,0.0022866315761163047,0.0042989856638480095,True,False,0.9070796460176827,0.9070796460176827
TAO/USDT:USDT,short_pullback_restart,True,2025-09-23 18:00:00+00:00,2025-09-28 22:50:00+00:00,42.5,510,2025-09-25T12:25:00+00:00,0.04913734502961838,0.06308872560126892,0.06308872560126892,0.009581458582850418,-0.008124817919917104,0.024957110024924675,0.009962590806595626,stale_flat_120h,giveback_to_0_2,-0.020898606759549354,-0.03190192136571868,-0.025575532408943058,0.004216630468030681,-0.016919250768049232,-0.02177063242444166,False,True,0.6309148264984252,0.27602523659306105
SUI/USDT:USDT,short_pullback_restart,True,2025-09-25 01:00:00+00:00,2025-10-01 08:35:00+00:00,10.666666666666666,128,2025-09-25T11:35:00+00:00,0.0435550499910195,0.08172184637490262,0.08172184637490262,0.0034125606178529704,-0.00200562773154521,0.0074836855654673885,0.008444272508445552,stale_flat_120h,giveback_to_0_2,-0.010590530455516611,-0.016589719913819634,-0.02514111365369942,0.002602683165799138,-0.007149796160148103,-0.011435119190146392,False,True,0.08664259927796931,0.8736462093862868
BNB/USDT:USDT,long_1d_center_compression,False,2025-10-03 00:00:00+00:00,2025-10-06 06:10:00+00:00,13.583333333333334,163,2025-10-03T13:30:00+00:00,0.04301913081739083,0.10425241312298908,0.10425241312298908,0.027765810195158135,-0.002630831140973949,0.00587582843680971,0.10000306788016874,roi,reach10plus,0.02596840510711962,0.026079428633264623,0.045674269854981686,0.005292995044149174,0.02257652707523672,0.0267908210954646,True,False,0.27961060032449125,0.44077879935099296
XRP/USDT:USDT,short_compression_breakdown,True,2025-10-09 17:00:00+00:00,2025-10-10 20:55:00+00:00,26.5,318,2025-10-10T19:25:00+00:00,0.05005762028233947,0.13389513108614245,0.13389513108614245,0.029602420051858352,-0.02899020455200239,0.02124747911264755,0.09999992458715819,roi,reach10plus,-0.031822352725270675,-0.03824698290006201,-0.06619937694704059,0.005029771235602393,-0.023626519922891775,-0.032692944073059116,False,True,0.7194570135746648,0.122171945701354
ETH/USDT:USDT,short_compression_breakdown,True,2025-10-29 16:00:00+00:00,2025-11-04 05:30:00+00:00,25.166666666666668,302,2025-10-30T17:05:00+00:00,0.04727066525240303,0.11087708816954968,0.11087708816954968,0.009543748085554466,-0.008412168405383995,0.01693065973373705,0.100000727035886,roi,reach10plus,-0.0064074640223666934,-0.004530990866601581,-0.029593091765142687,0.0023078552762377737,-0.004093261526731173,-0.008257476728397273,False,True,0.0660679923027704,0.8659397049390554
ADA/USDT:USDT,short_pullback_restart,True,2025-11-02 15:00:00+00:00,2025-11-03 15:30:00+00:00,13.166666666666666,158,2025-11-03T04:05:00+00:00,0.04701567189063022,0.12570856952317444,0.12570856952317444,0.026675558519506527,-0.024508169389796677,0.020340113371123687,0.10003342899919525,roi,reach10plus,-0.026732504682445146,-0.05144374377696648,-0.04844348260362907,0.002909350408629143,-0.017626768021833716,-0.031180415541151918,False,True,0.3518518518518568,0.5740740740740767
BTC/USDT:USDT,short_pullback_restart,True,2025-11-04 06:00:00+00:00,2025-11-09 14:20:00+00:00,15.666666666666666,188,2025-11-04T21:35:00+00:00,0.04735979601456542,0.050645950675999356,0.050645950675999356,-0.0029031059585673227,0.003199752698381335,0.009846943722561348,0.008983228907364978,stale_flat_120h,giveback_to_0_2,-0.012772235758081507,-0.010762560723830972,-0.047863449607270736,0.0028070601435511247,-0.00978957232428801,-0.015760500243124587,False,True,0.3522321428571494,0.7640625000000065
ADA/USDT:USDT,short_compression_breakdown,True,2025-11-11 20:00:00+00:00,2025-11-14 12:20:00+00:00,45.666666666666664,548,2025-11-13T17:35:00+00:00,0.04927948763565212,0.10122753958370406,0.10122753958370406,0.04927948763565212,-0.04216331613591897,0.03273438889877241,0.09998514766068056,roi,reach10plus,-0.021603808128890623,-0.04195051989960552,-0.053321523472099175,0.0029913391292783072,-0.01736968914656123,-0.03008626786850832,False,True,0.6724137931034476,0.3103448275862095
DOGE/USDT:USDT,short_pullback_restart,True,2025-11-19 06:00:00+00:00,2025-11-21 07:30:00+00:00,11.666666666666666,140,2025-11-19T17:35:00+00:00,0.04526564797647211,0.14378876030944301,0.14378876030944301,-0.017070519787737395,0.021290198836391532,0.021034460712230772,0.10002160737695698,roi,reach10plus,-0.024242028227914436,-0.046302209733043886,-0.06010825780463247,0.003531959115546634,-0.018500069093273175,-0.032256437784387804,False,True,0.5357142857143004,0.44897959183673297
SUI/USDT:USDT,short_pullback_restart,True,2025-11-19 06:00:00+00:00,2025-11-21 07:30:00+00:00,11.166666666666666,134,2025-11-19T17:05:00+00:00,0.050406704461424756,0.18979541533152577,0.18979541533152577,-0.017685481883164867,0.022861720483115546,0.0256963273354696,0.10002090611129862,roi,reach10plus,-0.02493039736775504,-0.04800148267127946,-0.06696536691692911,0.003340485919378114,-0.01964999231064568,-0.03640099393340823,False,True,0.41025641025642046,0.17948717948715906
ETH/USDT:USDT,short_pullback_restart,True,2025-11-20 16:00:00+00:00,2025-11-21 07:30:00+00:00,1.25,15,2025-11-20T17:10:00+00:00,0.046247783057823226,0.10555690941337337,0.10555690941337337,0.017996155043797327,-0.016818298742266105,0.0018920163004481762,0.09999836123194321,roi,reach10plus,-0.027478861087144035,-0.04137112220147021,-0.04137112220147021,0.0028241692501831295,-0.021690037657315808,-0.031189092410751407,False,True,0.5503875968992277,0.43446088794926274
NEAR/USDT:USDT,short_compression_breakdown,True,2025-11-29 15:00:00+00:00,2025-12-01 03:35:00+00:00,33.166666666666664,398,2025-12-01T00:05:00+00:00,0.06072004298764105,0.10370768404083829,0.10370768404083829,0.06072004298764105,-0.036539494895217656,0.011284255776464218,0.10004915534055409,roi,reach10plus,-0.04896626768226342,-0.057173678532901895,-0.06021505376344094,0.006847314549772789,-0.03906261967825719,-0.04799698990021506,False,True,0.8333333333333347,0.1666666666666653
TAO/USDT:USDT,short_compression_breakdown,True,2025-11-29 18:00:00+00:00,2025-12-01 11:40:00+00:00,30.166666666666668,362,2025-12-01T00:05:00+00:00,0.04349010659673733,0.10428089772843376,0.10428089772843376,0.042911146681197505,-0.022613493171678597,0.01883322548785897,0.10000055725455974,roi,reach10plus,-0.04857723577235762,-0.05666207637792631,-0.044563886243026096,0.00586644671519228,-0.03845881012218355,-0.045878570439246036,False,True,0.7003444316877084,0.2962112514351355
PAXG/USDT:USDT,long_1d_center_compression,False,2025-12-12 00:00:00+00:00,2025-12-29 09:00:00+00:00,265.0833333333333,3181,2025-12-23T01:00:00+00:00,0.05114523959080066,0.06851822879572946,0.06851822879572946,0.039262021571461456,-0.03857784336755782,0.0028441264585489096,0.04296294593228309,swing_exit_long_1d,giveback_to_2_5,0.003712465634608586,0.007687141833810918,0.011650223610580435,0.0005509116921618649,0.003231912814390725,0.005632424464652397,True,False,0.8806758183738037,0.8806758183738037
XRP/USDT:USDT,short_pullback_restart,True,2025-12-14 11:00:00+00:00,2025-12-18 19:50:00+00:00,30.083333333333332,361,2025-12-15T17:00:00+00:00,0.049219568144417296,0.10302697850695662,0.10302697850695662,0.011669076946092897,-0.009425023687228912,0.003989428015758244,0.10001010024163597,roi,reach10plus,-0.009146658351522619,-0.030903730812239516,-0.04272731837124066,0.002138928141788192,-0.007451620543089343,-0.01681448125551399,False,True,0.5164835164835149,0.20879120879121282
ADA/USDT:USDT,short_pullback_restart,True,2025-12-15 15:00:00+00:00,2025-12-18 17:20:00+00:00,49.416666666666664,593,2025-12-17T16:20:00+00:00,0.04996176395615602,0.10731582972215134,0.10731582972215134,0.03925567167983678,-0.03288299770583729,0.019627835839918534,0.10001386158790235,roi,reach10plus,-0.057171768277257784,-0.017659462308908913,-0.015323645970937938,0.005287470875854265,-0.03053366368473076,-0.03036666206144034,False,False,0.655737704918034,0.2950819672131098
ADA/USDT:USDT,short_compression_breakdown,True,2025-12-23 14:00:00+00:00,2025-12-27 20:10:00+00:00,56.833333333333336,682,2025-12-25T22:45:00+00:00,0.04539164129532252,0.0619983393301966,0.0619983393301966,-0.006089122612787101,0.02463326875172976,0.013285358427899172,-0.00644411774400377,stale_loss_72h,giveback_below_0,-0.03659217877094967,-0.03927576601671312,-0.028997747747747882,0.00660392139280229,-0.027583300890018703,-0.030995343863354896,False,True,0.5673758865248232,0.42553191489361736
PAXG/USDT:USDT,long_1d_center_compression,False,2026-01-07 00:00:00+00:00,2026-01-22 23:05:00+00:00,318.1666666666667,3818,2026-01-20T06:05:00+00:00,0.04942642716590024,0.10477382085360415,0.10477382085360415,0.04781585328248711,-0.04765834536826902,0.019424497139345787,0.09999960854511805,roi,reach10plus,0.004971203137381641,0.011278926834482395,0.01029190657622725,0.0008463318111907458,0.003339770125982966,0.006114847633688081,True,False,0.2379310344826505,0.0
NEAR/USDT:USDT,short_pullback_restart,True,2026-01-20 07:00:00+00:00,2026-01-29 14:50:00+00:00,34.583333333333336,415,2026-01-21T17:30:00+00:00,0.04932735426008966,0.10121716848174242,0.10121716848174242,-0.0064061499039077575,0.008327994875080156,0.004484304932735501,0.0997408076235427,roi,reach10plus,-0.028159790438768817,-0.040103492884864145,-0.030065359477124187,0.00750076325679294,-0.018363578099994005,-0.024829304944616437,False,True,0.6428571428571508,0.21428571428570636
