strategy_label,rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND pair_1h_range_position_24h <= 0.4,2,10,0.24390243902439024,0.7,0.23658536585365847,0.0746403868543826,0.055243053880348544,0.056009850452288436
Baseline,pair_1h_ret_6h <= -0.015 AND btc_1d_close_vs_ema50 <= -0.01,2,28,0.6829268292682927,0.4642857142857143,0.0008710801393728151,0.05764702179690907,0.055243053880348544,0.05522235634910863
Baseline,pair_1h_ret_6h <= -0.015 AND btc_1d_close_vs_ema50 <= 0.0,2,30,0.7317073170731707,0.4666666666666667,0.0032520325203251876,0.05713716330835905,0.055243053880348544,0.055222314615872486
Baseline,pair_1h_ret_6h <= -0.015 AND pair_1h_range_position_24h <= 0.3,2,26,0.6341463414634146,0.46153846153846156,-0.0018761726078799223,0.05820963597187671,0.055243053880348544,0.05520611061631206
Baseline,pair_4h_ema50_slope_3 <= -0.005 AND btc_1d_close_vs_ema50 <= -0.02,2,28,0.6829268292682927,0.4642857142857143,0.0008710801393728151,0.057583999053075936,0.055243053880348544,0.05517931642649088
Baseline,pair_1h_ret_6h <= -0.015 AND pair_1h_range_position_24h <= 0.2,2,21,0.5121951219512195,0.47619047619047616,0.012775842044134678,0.06009419425229563,0.055243053880348544,0.05517019705605385
Baseline,pair_4h_close_vs_ema50 <= -0.03 AND pair_1h_range_position_24h <= 0.2,2,24,0.5853658536585366,0.4583333333333333,-0.005081300813008172,0.058829649475848074,0.055243053880348544,0.05516857530293546
Baseline,pair_1h_ret_6h <= -0.005 AND pair_1h_range_position_24h <= 0.2,2,24,0.5853658536585366,0.4583333333333333,-0.005081300813008172,0.058829649475848074,0.055243053880348544,0.05516857530293546
Baseline,pair_1h_range_position_24h <= 0.3 AND btc_4h_trend_down == 1,2,26,0.6341463414634146,0.46153846153846156,-0.0018761726078799223,0.057957785132601414,0.055243053880348544,0.05504640032799114
Baseline,adverse_before_5pct <= 0.016 AND pair_4h_ema50_slope_3 <= -0.005,2,30,0.7317073170731707,0.5333333333333333,0.06991869918699184,0.056853711632038194,0.055243053880348544,0.05501491095027185
Baseline,pair_1h_range_position_24h <= 0.2 AND btc_4h_trend_down == 1,2,19,0.4634146341463415,0.47368421052631576,0.010269576379974277,0.0607400574912956,0.055243053880348544,0.05497709981303943
Baseline,pair_4h_ema50_slope_3 <= -0.0075,1,18,0.43902439024390244,0.5,0.036585365853658514,0.061262757746442,0.055243053880348544,0.054944625352096495
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND pair_4h_close_vs_ema50 <= -0.03,2,18,0.43902439024390244,0.5,0.036585365853658514,0.061262757746442,0.055243053880348544,0.054944625352096495
