pair,trades_base,profit_pct_base,profit_abs_base,avg_profit_pct_base,winrate_base,trades_guard,profit_pct_guard,profit_abs_guard,avg_profit_pct_guard,winrate_guard,period,level,trades_diff,profit_pct_diff,profit_abs_diff,avg_profit_pct_diff,winrate_diff,enter_tag
SUI/USDT:USDT,6,-0.015230915644234407,-6.754465429999998,-0.0025384859407057343,0.6666666666666666,6,-0.01523091563661492,-6.766292189999998,-0.00253848593943582,0.6666666666666666,1y,pair,0,7.619486638854589e-12,-0.011826759999999936,1.2699142952488085e-12,0.0,
TAO/USDT:USDT,10,0.2048941257530084,49.82648467,0.02048941257530084,0.7,10,0.20489412577180968,50.19349011,0.020489412577180968,0.7,1y,pair,0,1.880129385511964e-11,0.3670054399999998,1.880127997733183e-12,0.0,
XRP/USDT:USDT,14,0.1982110287841171,52.96739004,0.014157930627436935,0.35714285714285715,14,0.19821102875600738,53.321244899999996,0.014157930625429098,0.35714285714285715,1y,pair,0,-2.8109709004908723e-11,0.35385485999999844,-2.0078366053111196e-12,0.0,
ZEC/USDT:USDT,1,0.10000299821178907,24.28073389,0.10000299821178907,1.0,1,0.10000299821614207,24.4797563,0.10000299821614207,1.0,1y,pair,0,4.353004068313737e-12,0.19902240999999776,4.353004068313737e-12,0.0,
,15,0.4493634074783816,162.25767563,0.029957560498558775,0.4666666666666667,15,0.44936340750314596,162.67367893,0.029957560500209732,0.4666666666666667,1y,tag,0,2.4764357231532586e-11,0.41600329999999985,1.650957148768839e-12,0.0,long_1d_center_compression
,31,-0.024465396047052883,0.7059517899999959,-0.0007892063240984801,0.3548387096774194,30,0.018156082125812285,9.26524766,0.0006052027375270762,0.36666666666666664,1y,tag,-1,0.04262147817286517,8.559295870000003,0.0013944090616255563,0.011827956989247268,short_compression_breakdown
,68,0.8112712954973522,185.45900473,0.011930460227902239,0.6470588235294118,68,0.8112712955331245,187.45653181,0.011930460228428301,0.6470588235294118,1y,tag,0,3.5772274031842244e-11,1.9975270799999976,5.260618329838707e-13,0.0,short_pullback_restart
ADA/USDT:USDT,2,-0.024300147005629495,-8.10710915,-0.012150073502814747,0.0,2,-0.024300147005629495,-8.10710915,-0.012150073502814747,0.0,pressure,pair,0,0.0,0.0,0.0,0.0,
BNB/USDT:USDT,2,0.025292462147701512,10.254037660000002,0.012646231073850756,0.5,2,0.025292462147701512,10.254037660000002,0.012646231073850756,0.5,pressure,pair,0,0.0,0.0,0.0,0.0,
BTC/USDT:USDT,2,-0.020995877112659666,-6.46465584,-0.010497938556329833,0.0,2,-0.020995877112659666,-6.46465584,-0.010497938556329833,0.0,pressure,pair,0,0.0,0.0,0.0,0.0,
NEAR/USDT:USDT,2,0.001593716481390776,0.41825091000000003,0.000796858240695388,1.0,2,0.001593716481390776,0.41825091000000003,0.000796858240695388,1.0,pressure,pair,0,0.0,0.0,0.0,0.0,
SOL/USDT:USDT,1,-0.00038310709277941923,-0.09221081,-0.00038310709277941923,0.0,1,-0.00038310709277941923,-0.09221081,-0.00038310709277941923,0.0,pressure,pair,0,0.0,0.0,0.0,0.0,
SUI/USDT:USDT,1,2.8945840514145414e-05,0.00554559,2.8945840514145414e-05,1.0,1,2.8945840514145414e-05,0.00554559,2.8945840514145414e-05,1.0,pressure,pair,0,0.0,0.0,0.0,0.0,
TAO/USDT:USDT,1,-0.01968378706091052,-5.61260826,-0.01968378706091052,0.0,1,-0.01968378706091052,-5.61260826,-0.01968378706091052,0.0,pressure,pair,0,0.0,0.0,0.0,0.0,
XRP/USDT:USDT,3,-0.0042925190679748634,0.7649500500000004,-0.0014308396893249545,0.3333333333333333,3,-0.0042925190679748634,0.7649500500000004,-0.0014308396893249545,0.3333333333333333,pressure,pair,0,0.0,0.0,0.0,0.0,
ZEC/USDT:USDT,1,0.10000299823922978,18.15526642,0.10000299823922978,1.0,1,0.10000299823922978,18.15526642,0.10000299823922978,1.0,pressure,pair,0,0.0,0.0,0.0,0.0,
,1,-0.02078238930426648,-6.40672143,-0.02078238930426648,0.0,1,-0.02078238930426648,-6.40672143,-0.02078238930426648,0.0,pressure,tag,0,0.0,0.0,0.0,0.0,long_1d_center_compression
,7,0.021739400390253082,-3.4593434799999994,0.003105628627179012,0.14285714285714285,7,0.021739400390253082,-3.4593434799999994,0.003105628627179012,0.14285714285714285,pressure,tag,0,0.0,0.0,0.0,0.0,short_compression_breakdown
,7,0.05630567428289565,19.187531480000004,0.008043667754699379,0.7142857142857143,7,0.05630567428289565,19.187531480000004,0.008043667754699379,0.7142857142857143,pressure,tag,0,0.0,0.0,0.0,0.0,short_pullback_restart
