pair,open_date,close_date,bars,profit_positive_bars,profit_in_cap_bars,probe_signal_bars,profit_and_probe_bars,profit_and_tag_bars,profit_and_probe_first,profit_and_probe_max,final_profit,max_profit
XRP/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-06 15:20:00+00:00,35,32,28,0,0,1,,,0.05393917862484407,0.055565610859728415
DOGE/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-06 17:40:00+00:00,37,5,3,0,0,0,,,0.05050054372158047,0.06005194805194813
XRP/USDT:USDT,2024-10-09 21:00:00+00:00,2024-10-10 12:50:00+00:00,15,0,0,0,0,0,,,-0.024559802552939033,0.003445635528330827
LINK/USDT:USDT,2024-10-13 15:00:00+00:00,2024-10-14 13:45:00+00:00,22,8,8,0,0,0,,,-0.03514096916077231,0.011562849682954172
TAO/USDT:USDT,2024-11-02 13:00:00+00:00,2024-11-03 02:40:00+00:00,13,13,8,0,0,0,,,0.0501244471213909,0.056466262017633266
XRP/USDT:USDT,2024-11-03 03:00:00+00:00,2024-11-04 10:00:00+00:00,31,6,6,0,0,0,,,-0.024463074781694807,0.017592962814874002
NEAR/USDT:USDT,2024-12-30 14:00:00+00:00,2024-12-31 08:20:00+00:00,18,13,13,0,0,0,,,0.0003488424973586159,0.025153495741731167
BTC/USDT:USDT,2025-01-12 10:00:00+00:00,2025-01-12 15:15:00+00:00,5,0,0,0,0,0,,,-0.013713093875017578,0.0008107897902281805
TAO/USDT:USDT,2025-01-15 10:00:00+00:00,2025-01-15 13:30:00+00:00,3,0,0,0,0,0,,,-0.04995236816475499,0.003959807949314514
NEAR/USDT:USDT,2025-01-15 10:00:00+00:00,2025-01-15 13:45:00+00:00,3,1,1,0,0,0,,,-0.0427088544272136,0.007761437908496784
SUI/USDT:USDT,2025-01-26 21:00:00+00:00,2025-01-27 00:00:00+00:00,3,3,1,0,0,0,,,0.05042109732887752,0.0534343657274577
NEAR/USDT:USDT,2025-01-26 22:00:00+00:00,2025-01-27 01:15:00+00:00,3,3,1,0,0,0,,,0.05206297393837469,0.054920375663536164
ZEC/USDT:USDT,2025-01-26 22:00:00+00:00,2025-01-27 04:30:00+00:00,6,6,2,0,0,0,,,0.05033540675201285,0.053800914833369615
BNB/USDT:USDT,2025-01-28 22:00:00+00:00,2025-01-29 04:05:00+00:00,6,0,0,0,0,0,,,-0.02697160292525803,0.0028441324639566657
ETH/USDT:USDT,2025-01-28 17:00:00+00:00,2025-01-29 06:35:00+00:00,13,13,12,0,0,0,,,9.840413203702896e-05,0.035374879739379715
SOL/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-07 02:25:00+00:00,11,11,11,0,0,0,,,9.814684311658662e-05,0.04109027564299626
LINK/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-07 09:20:00+00:00,18,17,15,0,0,0,,,1.3599642679208255e-05,0.0381719305584606
DOGE/USDT:USDT,2025-02-09 14:00:00+00:00,2025-02-09 23:45:00+00:00,9,3,2,0,0,0,,,7.035198788257052e-05,0.039078799550633925
BTC/USDT:USDT,2025-02-09 14:00:00+00:00,2025-02-10 05:45:00+00:00,15,4,4,0,0,0,,,-0.017062033967351755,0.012369111654866873
ETH/USDT:USDT,2025-02-09 22:00:00+00:00,2025-02-10 13:50:00+00:00,15,0,0,0,0,0,,,-0.04898326401921598,0.010095070077428207
SOL/USDT:USDT,2025-02-16 14:00:00+00:00,2025-02-17 08:05:00+00:00,18,18,13,0,0,0,,,0.05031888317461217,0.052791771620486996
DOGE/USDT:USDT,2025-02-23 16:00:00+00:00,2025-02-24 04:35:00+00:00,12,4,2,0,0,1,,,0.05196650335301211,0.059552009308897515
LINK/USDT:USDT,2025-02-24 03:00:00+00:00,2025-02-24 14:50:00+00:00,11,11,3,0,0,0,,,0.053653181521258086,0.05509849362688299
ETH/USDT:USDT,2025-02-26 13:00:00+00:00,2025-02-26 14:45:00+00:00,1,0,0,0,0,0,,,3.817792511805629e-06,0.026172520703635817
BTC/USDT:USDT,2025-02-26 14:00:00+00:00,2025-02-26 20:20:00+00:00,6,5,2,0,0,0,,,0.054932044507623866,0.05621342512908778
BNB/USDT:USDT,2025-02-27 15:00:00+00:00,2025-02-28 04:05:00+00:00,13,7,4,0,0,1,,,0.054662544876762524,0.05658217769225667
LINK/USDT:USDT,2025-03-02 14:00:00+00:00,2025-03-02 15:25:00+00:00,1,0,0,0,0,0,,,-0.0249203341930123,0.01389934953782959
BTC/USDT:USDT,2025-03-02 15:00:00+00:00,2025-03-02 15:25:00+00:00,0,0,0,0,0,0,,,,
BNB/USDT:USDT,2025-03-02 15:00:00+00:00,2025-03-02 15:25:00+00:00,0,0,0,0,0,0,,,,
ZEC/USDT:USDT,2025-03-09 03:00:00+00:00,2025-03-09 16:40:00+00:00,13,13,9,0,0,0,,,0.05698653254195218,0.060037523452157654
BTC/USDT:USDT,2025-03-09 10:00:00+00:00,2025-03-09 22:35:00+00:00,12,12,6,0,0,0,,,0.050470923865654285,0.05474969280826436
BTC/USDT:USDT,2025-03-13 14:00:00+00:00,2025-03-14 00:50:00+00:00,10,10,10,0,0,0,,,8.645001317012255e-05,0.02235517952294438
ADA/USDT:USDT,2025-03-23 19:00:00+00:00,2025-03-24 00:30:00+00:00,5,0,0,0,0,0,,,-0.03430321891854543,0.004035745171519205
SOL/USDT:USDT,2025-03-30 14:00:00+00:00,2025-03-30 18:45:00+00:00,4,0,0,0,0,0,,,-0.028364240613393626,0.004539191051309089
BTC/USDT:USDT,2025-04-03 13:00:00+00:00,2025-04-04 08:00:00+00:00,19,3,3,0,0,0,,,-0.02671648583181281,0.009035273090854558
ETH/USDT:USDT,2025-04-05 13:00:00+00:00,2025-04-06 17:30:00+00:00,28,20,18,0,0,1,,,0.05372444676254647,0.06592507679294841
SOL/USDT:USDT,2025-04-05 14:00:00+00:00,2025-04-06 17:45:00+00:00,27,7,5,0,0,1,,,0.05161426976713515,0.06231428813991004
BTC/USDT:USDT,2025-04-08 15:00:00+00:00,2025-04-09 17:00:00+00:00,26,25,22,0,0,1,,,0.00017096678307894548,0.049233558217449104
ZEC/USDT:USDT,2025-04-18 07:00:00+00:00,2025-04-18 17:35:00+00:00,10,3,3,0,0,0,,,-0.036974952996690374,0.010278514588859373
SUI/USDT:USDT,2025-04-19 17:00:00+00:00,2025-04-19 18:05:00+00:00,1,0,0,0,0,0,,,-0.020154341474630234,0.0007069469318503426
XRP/USDT:USDT,2025-05-30 17:00:00+00:00,2025-05-31 10:10:00+00:00,17,13,13,0,0,0,,,6.076581532274707e-05,0.03470383275261324
NEAR/USDT:USDT,2025-06-01 10:00:00+00:00,2025-06-01 16:10:00+00:00,6,0,0,0,0,0,,,-0.03658799217229157,0.0021150592216581613
NEAR/USDT:USDT,2025-06-02 10:00:00+00:00,2025-06-02 22:00:00+00:00,12,0,0,0,0,0,,,-0.04424089980686361,0.0033613445378151293
ADA/USDT:USDT,2025-06-02 09:00:00+00:00,2025-06-02 22:20:00+00:00,13,4,4,0,0,0,,,-0.02976585271278015,0.01250744490768309
LINK/USDT:USDT,2025-06-01 10:00:00+00:00,2025-06-03 00:15:00+00:00,38,0,0,0,0,0,,,-0.038947575969615046,0.006002049480310403
DOGE/USDT:USDT,2025-06-04 14:00:00+00:00,2025-06-05 12:45:00+00:00,22,20,20,0,0,0,,,0.00015984658888085519,0.025867014341590572
SUI/USDT:USDT,2025-06-04 11:00:00+00:00,2025-06-05 13:00:00+00:00,26,24,24,0,0,0,,,0.0001178788677087997,0.030033854085784323
XRP/USDT:USDT,2025-06-05 07:00:00+00:00,2025-06-05 20:45:00+00:00,13,5,4,0,0,0,,,0.05399237288045222,0.05683844711692343
SOL/USDT:USDT,2025-06-05 14:00:00+00:00,2025-06-05 20:45:00+00:00,6,5,4,0,0,0,,,0.05262084060719534,0.056967922268068696
SOL/USDT:USDT,2025-06-19 15:00:00+00:00,2025-06-19 22:35:00+00:00,7,0,0,0,0,0,,,-0.030930916497967736,0.0018170382276888036
NEAR/USDT:USDT,2025-06-21 14:00:00+00:00,2025-06-21 21:35:00+00:00,7,5,4,0,0,0,,,0.057908343787533845,0.0662739322533137
SOL/USDT:USDT,2025-06-21 18:00:00+00:00,2025-06-22 13:20:00+00:00,19,19,12,0,0,0,,,0.054767856717925154,0.05859431375378845
ETH/USDT:USDT,2025-06-22 14:00:00+00:00,2025-06-22 22:05:00+00:00,8,7,7,0,0,0,,,4.7635930159483074e-05,0.039974532720905946
BNB/USDT:USDT,2025-06-22 14:00:00+00:00,2025-06-22 22:55:00+00:00,8,8,8,0,0,0,,,6.738632884346614e-06,0.024750064918203064
NEAR/USDT:USDT,2025-08-21 12:00:00+00:00,2025-08-22 02:15:00+00:00,14,14,14,0,0,0,,,0.0004074185419997382,0.022974607013301066
BTC/USDT:USDT,2025-08-21 17:00:00+00:00,2025-08-22 14:00:00+00:00,21,3,3,0,0,0,,,-0.016356197854906048,0.0064521124905208395
TAO/USDT:USDT,2025-08-28 17:00:00+00:00,2025-08-29 12:30:00+00:00,19,8,8,0,0,1,,,0.0002557528198908292,0.03809233582203261
DOGE/USDT:USDT,2025-09-01 00:00:00+00:00,2025-09-01 07:30:00+00:00,7,6,6,0,0,0,,,0.00012953981453317373,0.025891937447326433
NEAR/USDT:USDT,2025-08-31 23:00:00+00:00,2025-09-01 07:50:00+00:00,8,7,6,0,0,0,,,9.099069599130951e-05,0.03617463617463607
BTC/USDT:USDT,2025-08-29 02:00:00+00:00,2025-09-02 14:00:00+00:00,108,106,97,0,0,0,,,0.0007738701390183536,0.037814673547229075
XRP/USDT:USDT,2025-09-04 20:00:00+00:00,2025-09-05 12:30:00+00:00,16,1,1,0,0,0,,,-0.028068089658353265,0.002371456289748899
SUI/USDT:USDT,2025-09-24 04:00:00+00:00,2025-09-24 14:45:00+00:00,10,0,0,0,0,0,,,-0.046995830427084676,0.012732824427480938
SUI/USDT:USDT,2025-09-25 01:00:00+00:00,2025-09-25 11:50:00+00:00,10,10,6,0,0,0,,,0.05527481240054528,0.06016883194635683
TAO/USDT:USDT,2025-09-23 18:00:00+00:00,2025-09-25 17:55:00+00:00,47,19,15,0,0,0,,,0.05073888429989903,0.05606448062667916
SOL/USDT:USDT,2025-10-19 09:00:00+00:00,2025-10-19 09:45:00+00:00,0,0,0,0,0,0,,,,
XRP/USDT:USDT,2025-10-19 09:00:00+00:00,2025-10-19 09:50:00+00:00,0,0,0,0,0,0,,,,
SOL/USDT:USDT,2025-10-20 17:00:00+00:00,2025-10-21 12:20:00+00:00,19,12,12,0,0,0,,,-7.751329599630371e-05,0.025502854398975622
NEAR/USDT:USDT,2025-11-02 15:00:00+00:00,2025-11-03 00:05:00+00:00,9,0,0,0,0,0,,,-0.03908160942510843,0.009429514380009437
ADA/USDT:USDT,2025-11-02 15:00:00+00:00,2025-11-03 15:25:00+00:00,24,19,6,0,0,0,,,0.05363827409334553,0.05635211737245757
BTC/USDT:USDT,2025-11-04 06:00:00+00:00,2025-11-05 18:15:00+00:00,36,32,27,0,0,0,,,0.00024716650806928646,0.050645950675999356
ETH/USDT:USDT,2025-11-06 13:00:00+00:00,2025-11-06 18:45:00+00:00,5,5,5,0,0,1,,,1.8343260028897461e-06,0.030729894739357475
DOGE/USDT:USDT,2025-11-06 06:00:00+00:00,2025-11-07 02:45:00+00:00,20,19,18,0,0,1,,,8.855776323092041e-05,0.04165394246625538
BTC/USDT:USDT,2025-11-06 13:00:00+00:00,2025-11-07 05:05:00+00:00,16,16,16,0,0,1,,,9.266404663365438e-05,0.022132125482039893
SUI/USDT:USDT,2025-11-19 06:00:00+00:00,2025-11-19 17:40:00+00:00,11,3,1,0,0,0,,,0.05216337670620399,0.05564456494947008
DOGE/USDT:USDT,2025-11-19 06:00:00+00:00,2025-11-19 18:20:00+00:00,12,4,2,0,0,0,,,0.05123457316674248,0.054408285915222745
ETH/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-20 19:05:00+00:00,3,3,0,0,0,0,,,0.05191730743012723,0.05635771631263277
XRP/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-20 19:05:00+00:00,3,3,0,0,0,0,,,0.052205831413812145,0.05334100829855623
BNB/USDT:USDT,2025-11-20 17:00:00+00:00,2025-11-21 07:35:00+00:00,14,12,10,0,0,0,,,0.06339500092994486,0.0915285032932092
BNB/USDT:USDT,2025-11-25 15:00:00+00:00,2025-11-25 23:10:00+00:00,8,0,0,0,0,0,,,-0.03015297005961308,0.0056275822766776
NEAR/USDT:USDT,2025-11-28 02:00:00+00:00,2025-11-28 15:30:00+00:00,13,0,0,0,0,0,,,-0.04095474260219937,0.006922257720979713
DOGE/USDT:USDT,2025-12-07 14:00:00+00:00,2025-12-07 15:50:00+00:00,1,0,0,0,0,0,,,1.3611263262429391e-05,0.024676170489905176
XRP/USDT:USDT,2025-12-14 11:00:00+00:00,2025-12-15 01:35:00+00:00,14,14,14,0,0,0,,,-0.0001757477408023341,0.02957163516680802
XRP/USDT:USDT,2025-12-15 14:00:00+00:00,2025-12-16 02:10:00+00:00,12,12,2,0,0,0,,,0.05026199048920332,0.0533903917672831
ADA/USDT:USDT,2025-12-15 15:00:00+00:00,2025-12-17 14:55:00+00:00,47,46,37,0,0,0,,,0.00013025784072341075,0.041804741269436584
TAO/USDT:USDT,2025-12-17 06:00:00+00:00,2025-12-17 14:55:00+00:00,8,7,5,0,0,0,,,8.267081749262289e-05,0.037441189261851096
BNB/USDT:USDT,2025-12-17 16:00:00+00:00,2025-12-18 14:00:00+00:00,22,22,22,0,0,0,,,7.356016590511494e-06,0.02827372241409586
ADA/USDT:USDT,2025-12-21 02:00:00+00:00,2025-12-22 00:10:00+00:00,22,18,17,0,0,0,,,0.0001360086893015782,0.03327922077922072
SOL/USDT:USDT,2025-12-21 02:00:00+00:00,2025-12-22 00:10:00+00:00,22,4,4,0,0,0,,,-0.014726264841607316,0.014073244842475652
XRP/USDT:USDT,2025-12-28 19:00:00+00:00,2025-12-29 01:40:00+00:00,6,0,0,0,0,0,,,-0.014136308438363615,0.0016703486179212794
ADA/USDT:USDT,2026-01-20 09:00:00+00:00,2026-01-21 02:05:00+00:00,17,16,16,0,0,0,,,0.00021225516623639084,0.03938973647711509
NEAR/USDT:USDT,2026-01-20 07:00:00+00:00,2026-01-21 15:15:00+00:00,32,32,27,0,0,0,,,0.0004411501178264742,0.047405509288917264
XRP/USDT:USDT,2026-01-22 14:00:00+00:00,2026-01-23 16:00:00+00:00,26,24,24,0,0,0,,,0.00012561644908651998,0.022238349489399168
ADA/USDT:USDT,2026-01-22 15:00:00+00:00,2026-01-23 17:25:00+00:00,26,1,1,0,0,1,,,-0.029056808474935223,0.015926236378876732
ZEC/USDT:USDT,2026-01-23 08:00:00+00:00,2026-01-23 17:30:00+00:00,9,0,0,0,0,0,,,-0.04261419823949669,0.00949110906400925
TAO/USDT:USDT,2026-01-25 05:00:00+00:00,2026-01-25 19:30:00+00:00,14,12,9,0,0,2,,,0.052942908364337446,0.05573714819374282
ETH/USDT:USDT,2026-01-25 04:00:00+00:00,2026-01-25 20:35:00+00:00,16,13,10,0,0,1,,,0.05145890303078291,0.05350598666004878
NEAR/USDT:USDT,2026-01-25 09:00:00+00:00,2026-01-25 20:35:00+00:00,11,6,4,0,0,1,,,0.05017649439376454,0.052489905787348634
SOL/USDT:USDT,2026-01-27 14:00:00+00:00,2026-01-27 16:00:00+00:00,2,0,0,0,0,0,,,-0.018535842348017306,8.121497604150821e-05
TAO/USDT:USDT,2026-01-29 02:00:00+00:00,2026-01-29 15:05:00+00:00,13,13,9,0,0,0,,,0.0526199797106946,0.05922599957237543
ADA/USDT:USDT,2026-01-29 03:00:00+00:00,2026-01-29 15:15:00+00:00,12,10,8,0,0,0,,,0.052956673651375887,0.05650684931506845
XRP/USDT:USDT,2026-01-29 03:00:00+00:00,2026-01-30 01:45:00+00:00,22,16,5,0,0,0,,,0.06808286504175223,0.09031224979983989
BNB/USDT:USDT,2026-01-31 09:00:00+00:00,2026-01-31 17:00:00+00:00,8,6,3,0,0,0,,,0.05048998977266544,0.05530113711094903
LINK/USDT:USDT,2026-01-31 09:00:00+00:00,2026-01-31 17:10:00+00:00,8,6,2,0,0,0,,,0.056516667683084366,0.058598604339929215
TAO/USDT:USDT,2026-02-03 15:00:00+00:00,2026-02-03 19:15:00+00:00,4,2,1,0,0,0,,,9.368386267067913e-05,0.039797885086211314
