strategy,strategy_short,window,pair,trades,profit_abs,profit_pct,winrate_pct,avg_profit_pct
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,TAO/USDT:USDT,1,-5.55901565,-0.5559015650000001,0.0,-1.97
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,BTC/USDT:USDT,2,-6.46465584,-0.646465584,0.0,-1.05
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,SOL/USDT:USDT,2,-7.10204792,-0.710204792,0.0,-2.05
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,pressure,ADA/USDT:USDT,2,-8.0270212,-0.80270212,0.0,-1.22
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,ETH/USDT:USDT,2,18.466430380000002,1.8466430380000003,50.0,4.99
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,LINK/USDT:USDT,2,8.25995154,0.8259951539999999,50.0,3.15
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,DOGE/USDT:USDT,1,0.0346137,0.0034613699999999996,100.0,0.02
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,XRP/USDT:USDT,2,0.01619829,0.001619829,100.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,ZEC/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,ADA/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,BNB/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,TAO/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,SUI/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,PAXG/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,NEAR/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,BTC/USDT:USDT,2,-7.2040080600000005,-0.720400806,50.0,-1.47
DualTrendRawBreakevenGuardStructureExitResearchStrategy,guard_breakeven_structure,repair,SOL/USDT:USDT,1,-7.62152472,-0.762152472,0.0,-3.56
DualTrendRawBreakevenStrategy,raw_breakeven,1y,ETH/USDT:USDT,13,92.72234724999998,9.272234724999999,61.53846153846154,2.34
DualTrendRawBreakevenStrategy,raw_breakeven,1y,ADA/USDT:USDT,13,80.65532341000001,8.065532341,61.53846153846154,1.98
DualTrendRawBreakevenStrategy,raw_breakeven,1y,BNB/USDT:USDT,11,65.20463179000001,6.520463179000001,63.63636363636363,2.2
DualTrendRawBreakevenStrategy,raw_breakeven,1y,PAXG/USDT:USDT,4,59.01281718,5.901281718,50.0,3.51
DualTrendRawBreakevenStrategy,raw_breakeven,1y,XRP/USDT:USDT,18,52.50981750999999,5.250981750999999,38.88888888888889,1.1
DualTrendRawBreakevenStrategy,raw_breakeven,1y,TAO/USDT:USDT,10,44.66975225,4.466975225,60.0,1.59
DualTrendRawBreakevenStrategy,raw_breakeven,1y,ZEC/USDT:USDT,2,14.437076050000002,1.4437076050000002,50.0,2.87
DualTrendRawBreakevenStrategy,raw_breakeven,1y,NEAR/USDT:USDT,15,13.981363940000008,1.398136394000001,66.66666666666666,0.21
DualTrendRawBreakevenStrategy,raw_breakeven,1y,BTC/USDT:USDT,11,9.245890889999997,0.9245890889999997,54.54545454545454,0.31
DualTrendRawBreakevenStrategy,raw_breakeven,1y,LINK/USDT:USDT,6,5.847878129999998,0.5847878129999997,33.33333333333333,0.9
DualTrendRawBreakevenStrategy,raw_breakeven,1y,SOL/USDT:USDT,13,-5.318017529999997,-0.5318017529999998,23.076923076923077,-0.49
DualTrendRawBreakevenStrategy,raw_breakeven,1y,DOGE/USDT:USDT,7,-6.08136203,-0.608136203,71.42857142857143,-0.22
DualTrendRawBreakevenStrategy,raw_breakeven,1y,SUI/USDT:USDT,6,-15.35266441,-1.5352664409999999,66.66666666666666,-1.12
DualTrendRawBreakevenStrategy,raw_breakeven,3y,ETH/USDT:USDT,32,264.39309949999995,26.439309949999995,53.125,1.94
DualTrendRawBreakevenStrategy,raw_breakeven,3y,ADA/USDT:USDT,35,221.90284848000002,22.190284848,51.42857142857142,1.41
DualTrendRawBreakevenStrategy,raw_breakeven,3y,BNB/USDT:USDT,22,171.37416885,17.137416884999997,54.54545454545454,2.07
DualTrendRawBreakevenStrategy,raw_breakeven,3y,XRP/USDT:USDT,39,146.43981318000002,14.643981318000002,48.717948717948715,0.9
DualTrendRawBreakevenStrategy,raw_breakeven,3y,ZEC/USDT:USDT,14,144.90760548,14.490760548,78.57142857142857,3.02
DualTrendRawBreakevenStrategy,raw_breakeven,3y,DOGE/USDT:USDT,23,137.41038687000002,13.741038687000001,65.21739130434783,1.88
DualTrendRawBreakevenStrategy,raw_breakeven,3y,BTC/USDT:USDT,37,116.57225302,11.657225302,43.24324324324324,0.82
DualTrendRawBreakevenStrategy,raw_breakeven,3y,PAXG/USDT:USDT,5,88.50862011000001,8.850862011,40.0,2.39
DualTrendRawBreakevenStrategy,raw_breakeven,3y,TAO/USDT:USDT,14,82.09971881000001,8.209971881000001,57.14285714285714,1.25
DualTrendRawBreakevenStrategy,raw_breakeven,3y,SOL/USDT:USDT,30,52.2898995,5.22898995,33.33333333333333,0.54
DualTrendRawBreakevenStrategy,raw_breakeven,3y,LINK/USDT:USDT,23,-7.752006780000013,-0.7752006780000013,34.78260869565217,-0.18
DualTrendRawBreakevenStrategy,raw_breakeven,3y,NEAR/USDT:USDT,33,-9.601996250000003,-0.9601996250000003,54.54545454545454,-0.28
DualTrendRawBreakevenStrategy,raw_breakeven,3y,SUI/USDT:USDT,19,-27.83858458,-2.783858458,42.10526315789473,-0.4
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,ZEC/USDT:USDT,1,18.15526642,1.815526642,100.0,10.0
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,XRP/USDT:USDT,5,0.6728919000000003,0.06728919000000003,20.0,-0.09
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,NEAR/USDT:USDT,2,0.41825091000000003,0.04182509100000001,100.0,0.08
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,SUI/USDT:USDT,1,0.00554559,0.000554559,100.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,ETH/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,DOGE/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,PAXG/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,LINK/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,TAO/USDT:USDT,1,-5.51516714,-0.551516714,0.0,-1.97
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,BTC/USDT:USDT,2,-6.46465584,-0.646465584,0.0,-1.05
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,SOL/USDT:USDT,2,-7.06866774,-0.7068667740000001,0.0,-2.05
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,BNB/USDT:USDT,2,-7.70293634,-0.770293634,50.0,-1.36
DualTrendRawBreakevenStrategy,raw_breakeven,pressure,ADA/USDT:USDT,2,-7.96409495,-0.796409495,0.0,-1.22
DualTrendRawBreakevenStrategy,raw_breakeven,repair,ETH/USDT:USDT,2,18.466430380000002,1.8466430380000003,50.0,4.99
DualTrendRawBreakevenStrategy,raw_breakeven,repair,LINK/USDT:USDT,2,8.25995154,0.8259951539999999,50.0,3.15
DualTrendRawBreakevenStrategy,raw_breakeven,repair,ADA/USDT:USDT,1,2.06205769,0.206205769,100.0,1.15
DualTrendRawBreakevenStrategy,raw_breakeven,repair,DOGE/USDT:USDT,1,0.0346137,0.0034613699999999996,100.0,0.02
DualTrendRawBreakevenStrategy,raw_breakeven,repair,XRP/USDT:USDT,2,0.01619829,0.001619829,100.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,repair,ZEC/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,repair,BNB/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,repair,TAO/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,repair,SUI/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,repair,PAXG/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,repair,NEAR/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStrategy,raw_breakeven,repair,BTC/USDT:USDT,2,-7.2040080600000005,-0.720400806,50.0,-1.47
DualTrendRawBreakevenStrategy,raw_breakeven,repair,SOL/USDT:USDT,1,-7.62152472,-0.762152472,0.0,-3.56
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,ETH/USDT:USDT,14,78.79145805,7.879145805,57.14285714285714,1.92
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,ADA/USDT:USDT,13,66.90071012,6.690071012,61.53846153846154,1.68
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,BNB/USDT:USDT,11,66.00521149,6.6005211489999995,63.63636363636363,2.17
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,TAO/USDT:USDT,10,46.55105526999999,4.655105526999999,60.0,1.77
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,XRP/USDT:USDT,20,45.835546320000006,4.583554632,40.0,0.86
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,PAXG/USDT:USDT,6,36.05714879999999,3.6057148799999994,66.66666666666666,1.5
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,ZEC/USDT:USDT,1,22.48953221,2.248953221,100.0,10.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,NEAR/USDT:USDT,15,14.467304160000003,1.4467304160000003,66.66666666666666,0.21
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,LINK/USDT:USDT,6,5.072218440000002,0.5072218440000003,33.33333333333333,0.9
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,BTC/USDT:USDT,11,3.339806480000001,0.3339806480000001,54.54545454545454,0.1
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,SOL/USDT:USDT,14,-5.712700099999999,-0.5712700099999999,21.428571428571427,-0.39
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,DOGE/USDT:USDT,8,-14.144696289999999,-1.4144696289999998,62.5,-0.56
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,1y,SUI/USDT:USDT,8,-22.901555459999997,-2.290155546,50.0,-1.26
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,ETH/USDT:USDT,33,202.36040785,20.236040785,51.515151515151516,1.6
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,BNB/USDT:USDT,22,162.77265316999998,16.277265316999998,59.09090909090909,2.16
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,ADA/USDT:USDT,35,154.36567291,15.436567291,51.42857142857142,1.04
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,ZEC/USDT:USDT,13,148.08969562,14.808969562,84.61538461538461,3.58
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,XRP/USDT:USDT,42,101.09129528000004,10.109129528000004,50.0,0.58
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,DOGE/USDT:USDT,26,87.72954168000001,8.772954168,61.53846153846154,1.24
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,TAO/USDT:USDT,15,67.80083165,6.780083165000001,53.333333333333336,0.99
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,BTC/USDT:USDT,39,52.713579450000005,5.271357945000001,46.15384615384615,0.48
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,PAXG/USDT:USDT,7,42.84079372,4.284079372,57.14285714285714,0.99
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,SOL/USDT:USDT,31,41.57236466999999,4.157236467,35.483870967741936,0.51
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,NEAR/USDT:USDT,33,2.169310059999995,0.21693100599999954,54.54545454545454,-0.15
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,LINK/USDT:USDT,25,-24.236091640000012,-2.423609164000001,32.0,-0.37
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,3y,SUI/USDT:USDT,21,-35.181943600000004,-3.5181943600000003,38.095238095238095,-0.53
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,ZEC/USDT:USDT,1,18.15526642,1.815526642,100.0,10.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,XRP/USDT:USDT,7,7.0931481299999986,0.7093148129999999,28.57142857142857,0.22
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,BNB/USDT:USDT,2,5.31702893,0.5317028930000001,50.0,0.51
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,NEAR/USDT:USDT,2,0.42298124,0.042298124,100.0,0.08
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,SUI/USDT:USDT,1,0.00554559,0.000554559,100.0,0.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,DOGE/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,PAXG/USDT:USDT,0,0.0,0.0,0.0,0.0
DualTrendRawBreakevenStructureExitResearchStrategy,raw_breakeven_structure,pressure,LINK/USDT:USDT,0,0.0,0.0,0.0,0.0
