group_type,group_value,extreme_event_count,final_signal_count,sample_status,pf_proxy_72h,avg_return_6h_pct,avg_return_24h_pct,avg_return_72h_pct,avg_mfe_24h_pct,avg_mae_24h_pct,avg_mfe_72h_pct,avg_mae_72h_pct,first_to_1r_pct,first_to_2r_pct,first_to_stop_pct,avg_max_r,avg_min_r,avg_lower_wick_pct,avg_upper_wick_pct,avg_volume_ratio,low_sweep_reclaim_pct,high_sweep_reject_pct,combination
combination,A_72h_medium,565,9,insufficient,0.06681580295060266,-0.9595682894082574,-1.9606173062183905,-3.4643375118961104,2.0936962903201692,5.203385583946133,3.1714002323083403,8.931215623966622,11.11111111111111,0.0,55.55555555555556,0.6758801930192545,-1.3566927823323107,7.819967267828937,14.217006882689962,5.032919691235413,0.0,11.11111111111111,A_72h_medium
side,long,205,1,insufficient,0.0,1.7141667981297681,-1.3315252962954327,-0.7149354376378314,3.022532214050999,3.859980062363852,3.022532214050999,3.859980062363852,0.0,0.0,100.0,1.0205469362239652,-1.3033081362105028,5.198991031390176,21.230381165919372,3.7157687584242507,0.0,0.0,A_72h_medium
side,short,360,8,insufficient,0.06827678389100422,-1.2937851753505105,-2.0392538074587603,-3.8080127711783955,1.9775917998538157,5.371311274143918,3.190008734590508,9.565120069166968,12.5,0.0,50.0,0.6327968501186656,-1.3633658630975367,8.147589297383783,13.340335097286285,5.197563557836808,0.0,12.5,A_72h_medium
pair,BTC/USDT:USDT,58,1,insufficient,inf,-0.007850496637373805,-1.3826006164555316,0.41973269259647505,0.5106962067908335,2.7374213954044846,1.449465002729199,2.7374213954044846,0.0,0.0,100.0,0.5531137465384152,-1.044596041308814,18.318896374719355,4.3150465190890905,4.254952652254201,0.0,0.0,A_72h_medium
pair,ETH/USDT:USDT,64,2,insufficient,0.21156563657969718,0.28796272486616425,-2.7340273472596546,-0.2818398333302996,2.950923104361979,4.846112988916392,2.950923104361979,6.416734065128324,0.0,0.0,100.0,0.9733620257563629,-2.0948866068584726,11.086083310002104,19.79288766624427,2.788922571158877,0.0,0.0,A_72h_medium
pair,PAXG/USDT:USDT,34,2,insufficient,2.3670160818668906,-0.03026876683433488,0.08682578583175116,0.47975886836887915,0.7524138362652273,0.4513802713344366,1.881303380580221,1.1520613305850342,50.0,0.0,0.0,1.0316189908390612,-0.6991137378339495,5.091103965701797,1.7761445414176444,4.8758249729487915,0.0,0.0,A_72h_medium
pair,TAO/USDT:USDT,18,2,insufficient,0.0,-1.5420791703473602,-2.708675434398894,-10.258588396185447,1.1172451374181374,8.155537177121634,1.7471240068663212,19.92509522175131,0.0,0.0,50.0,0.12365212091339792,-1.8223337828832578,9.544295576311068,7.545380235723769,4.511177390829534,0.0,0.0,A_72h_medium
pair,ZEC/USDT:USDT,54,2,insufficient,0.0,-3.0297468417029405,-2.775600573928194,-5.738715788683868,4.345703125000003,8.593493992682895,6.967218052214411,11.327868992682887,0.0,0.0,50.0,0.6362708578086155,-0.9664853722653115,0.30892166585557135,32.704595269174604,8.344737349495052,0.0,50.0,A_72h_medium
year,2023,-,1,insufficient,inf,-0.007850496637373805,-1.3826006164555316,0.41973269259647505,0.5106962067908335,2.7374213954044846,1.449465002729199,2.7374213954044846,0.0,0.0,100.0,0.5531137465384152,-1.044596041308814,18.318896374719355,4.3150465190890905,4.254952652254201,0.0,0.0,A_72h_medium
year,2024,-,1,insufficient,inf,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,5.832245915468932,2.8793139946729585,8.973488067892797,0.0,0.0,100.0,0.9261771152887605,-2.886465077506442,16.973175588614033,18.355394166569162,1.862076383893503,0.0,0.0,A_72h_medium
year,2025,-,4,insufficient,0.1364133578114152,-1.5300078042686378,-1.3443873940482214,-2.6294784601574945,2.549058480632615,4.522437132008665,4.424260716397316,6.239965161633961,25.0,0.0,25.0,0.8339449243238384,-0.8327995550496304,2.7000128157786842,17.240369905296124,6.6102811612219226,0.0,25.0,A_72h_medium
year,2026,-,3,insufficient,0.0,-0.45666384752165073,-2.249625388364407,-7.077370743336242,1.7523408296290912,6.723684805535707,2.1722600759278805,14.570056835288824,0.0,0.0,66.66666666666666,0.4226170593502537,-1.6493252339923394,8.095860728004103,12.107047212455639,4.246041180027773,0.0,0.0,A_72h_medium
combination,A_72h_strong,565,1,insufficient,inf,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,5.832245915468932,2.8793139946729585,8.973488067892797,0.0,0.0,100.0,0.9261771152887605,-2.886465077506442,16.973175588614033,18.355394166569162,1.862076383893503,0.0,0.0,A_72h_strong
side,short,360,1,insufficient,inf,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,5.832245915468932,2.8793139946729585,8.973488067892797,0.0,0.0,100.0,0.9261771152887605,-2.886465077506442,16.973175588614033,18.355394166569162,1.862076383893503,0.0,0.0,A_72h_strong
pair,ETH/USDT:USDT,64,1,insufficient,inf,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,5.832245915468932,2.8793139946729585,8.973488067892797,0.0,0.0,100.0,0.9261771152887605,-2.886465077506442,16.973175588614033,18.355394166569162,1.862076383893503,0.0,0.0,A_72h_strong
year,2024,-,1,insufficient,inf,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,5.832245915468932,2.8793139946729585,8.973488067892797,0.0,0.0,100.0,0.9261771152887605,-2.886465077506442,16.973175588614033,18.355394166569162,1.862076383893503,0.0,0.0,A_72h_strong
