variant,pair,open_date,enter_tag,baseline_profit_abs,baseline_profit_ratio,variant_profit_abs,variant_profit_ratio,delta_profit_abs,bucket,baseline_exit_reason,variant_exit_reason,baseline_partials,variant_partials,baseline_exit_orders,variant_exit_orders
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2023-08-06 14:00:00+00:00,short_pullback_restart,0.24869029,0.000857083255307107,0.24869029,0.000857083255307107,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2023-08-21 11:00:00+00:00,short_pullback_restart,0.176915,0.0007587273425816599,0.176915,0.0007587273425816599,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2023-08-22 18:00:00+00:00,short_pullback_restart,-7.943466,-0.03373076183868501,-7.943466,-0.03373076183868501,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2023-12-03 00:00:00+00:00,long_1d_center_compression,-7.13044943,-0.020970125808074808,-7.13044943,-0.020970125808074808,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,short_pullback_restart,17.5641723,0.07507341079811214,17.5641723,0.07507341079811214,0.0,same,trailing_stop_loss,trailing_stop_loss,1,1,2,2
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2024-03-26 00:00:00+00:00,long_1d_center_compression,-0.83422107,-0.0021494229942154103,-0.83422107,-0.0021494229942154103,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2024-08-19 00:00:00+00:00,short_pullback_restart,-8.38534946,-0.045804706468784276,-8.38534946,-0.045804706468784276,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2024-11-02 13:00:00+00:00,short_compression_breakdown,0.04522736,0.00017478594987985636,0.04522736,0.00017478594987985636,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2024-12-30 14:00:00+00:00,short_pullback_restart,0.06513573,0.000348842501095098,0.06513573,0.000348842501095098,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-01-15 10:00:00+00:00,short_pullback_restart,-9.195912,-0.04270885442721361,-9.195912,-0.04270885442721361,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-01-26 22:00:00+00:00,short_pullback_restart,20.59220651,0.07789463486185572,20.59220651,0.07789463486185572,0.0,same,trailing_stop_loss,trailing_stop_loss,1,1,2,2
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-05-06 11:00:00+00:00,short_compression_breakdown,-11.1780932,-0.03486457810777417,-11.57447948,-0.03486457809666538,-0.39638628000000153,loss_to_less_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-06-01 10:00:00+00:00,short_pullback_restart,-9.94183814,-0.03658799214953611,-10.28764121,-0.03658799216468989,-0.34580307000000055,loss_to_more_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-06-02 10:00:00+00:00,short_pullback_restart,-10.62931018,-0.044240899799263135,-11.05027296,-0.04424089980164152,-0.42096278,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-06-21 14:00:00+00:00,short_pullback_restart,21.72130528,0.07513179200869423,22.433002939999998,0.07495424795209128,0.7116976599999987,profit_to_less_profit,trailing_stop_loss,trailing_stop_loss,1,1,2,2
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-08-21 12:00:00+00:00,short_pullback_restart,0.1283081,0.00040741854199973827,0.1323493,0.00040741854199973827,0.004041199999999995,other,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-08-22 12:00:00+00:00,short_compression_breakdown,-12.1001775,-0.03465805131706575,-12.517425,-0.03465805131706575,-0.4172475000000002,other,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-08-31 23:00:00+00:00,short_pullback_restart,0.05008762,9.099070593136403e-05,0.0518374,9.099069566011898e-05,0.0017497799999999994,profit_to_less_profit,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-11-02 15:00:00+00:00,short_pullback_restart,-12.01334389,-0.03908160941255228,-12.42759713,-0.03908160942014304,-0.41425324000000074,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-11-28 02:00:00+00:00,short_pullback_restart,-12.45367712,-0.04095474261276367,-12.99179897,-0.04095474261003942,-0.5381218499999996,loss_to_less_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-11-29 15:00:00+00:00,short_compression_breakdown,36.53103479,0.0752475380819902,37.93252846,0.07525118267983934,1.4014936700000007,profit_to_more_profit,trailing_stop_loss,trailing_stop_loss,1,1,2,2
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-12-14 18:00:00+00:00,short_compression_breakdown,-11.91427183,-0.03199821743861666,-12.37251305,-0.0319982174276749,-0.45824121999999967,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2025-12-31 11:00:00+00:00,short_compression_breakdown,0.2457286,0.00043475070868767714,0.2548538,0.00043475070868767714,0.009125200000000028,other,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2026-01-20 07:00:00+00:00,short_pullback_restart,0.13765821,0.0004411501394515323,0.14247624,0.0004411501166936791,0.004818030000000001,profit_to_less_profit,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,NEAR/USDT:USDT,2026-04-02 02:00:00+00:00,short_pullback_restart,0.25147507,0.0007652792847133791,0.25952943,0.0007652792797813583,0.008054359999999983,profit_to_less_profit,trailing_stop_loss,trailing_stop_loss,0,0,1,1
