strategy_label,strategy_name,pair,open_date,close_date,final_profit,profit_abs,exit_reason,hours_to_5pct,adverse_before_5pct,overall_mfe,future_mfe_after_5pct,future_close_min_after_5pct,node_time,node_close_profit,target_reach10,pair_1h_body_ratio,pair_1h_close_position,pair_1h_ret_1h,pair_1h_ret_3h,pair_1h_ret_6h,pair_1h_ret_12h,pair_1h_ret_24h,pair_1h_atr_pct,pair_1h_close_vs_ema20,pair_1h_close_vs_ema50,pair_1h_close_vs_ema200,pair_1h_range_width_24h,pair_1h_range_position_24h,pair_1h_center_slope_3,pair_1h_close_vs_center,pair_4h_ema50_slope_3,pair_4h_ema50_slope_6,pair_4h_close_vs_ema50,pair_4h_close_vs_ema200,pair_4h_trend_down,pair_4h_trend_up,pair_1d_ema50_slope_3,pair_1d_close_vs_ema50,pair_1d_center_slope_3,pair_1d_close_vs_center,btc_1h_ret_6h,btc_1h_ret_24h,btc_4h_ema50_slope_3,btc_4h_close_vs_ema50,btc_4h_trend_down,btc_4h_trend_up,btc_1d_ema50_slope_3,btc_1d_close_vs_ema50,btc_1d_center_slope_3,btc_1d_close_vs_center
Guard,DualTrendGuardStrategy,XRP/USDT:USDT,2023-01-01 00:00:00+00:00,2023-01-02 01:05:00+00:00,0.10011863182688589,34.52367753,roi,25.166666666666668,0.0023605783416937825,0.12422543523163167,0.12422543523163167,0.05281794039539679,2023-01-02T01:05:00+00:00,0.05281794039539679,1,0.2889447236180907,0.7035175879396977,-0.03448275862068961,-0.04018912529550833,-0.04160519327235168,-0.039621525724423456,-0.04132231404958686,0.01268912737508796,-0.03593998438016244,-0.041983281060301914,-0.06199316884613759,0.13208128078817732,0.652680652680652,-0.012738226492361004,-0.02841758899192348,-0.003948505245855753,-0.007584537698554453,-0.05091526426899673,-0.10022096908305622,1,0,-0.011561630091512688,-0.07566989545868874,-0.04175443876015639,0.0242796576901938,-0.0023861027590819095,0.00036857115235866544,-0.00020923817116681823,0.00037000983867074844,0,0,-0.0039030076843438867,-0.027246182227741556,-0.005148550810140651,0.005086342380678399
Guard,DualTrendGuardStrategy,DOGE/USDT:USDT,2023-03-01 20:00:00+00:00,2023-03-03 01:30:00+00:00,0.09996622759663354,33.12603586,roi,29.416666666666668,0.014049790485580504,0.11449346807986205,0.11449346807986205,0.03413852600443688,2023-03-03T01:20:00+00:00,0.03413852600443688,1,0.7887323943661977,0.2089201877934277,-0.08352003983071932,-0.0850006213495712,-0.08907583817889397,-0.08180571143534099,-0.0930032027593003,0.013794842940571567,-0.07880032105408796,-0.08737906728756972,-0.10364319858405047,0.12793698220833896,0.18895966029724037,-0.013930274135875997,-0.07292689682959375,-0.005032710796056259,-0.007811038231493138,-0.08478605716673582,-0.11230444204362844,1,0,-0.006706219420550671,-0.08707805748306285,-0.011916388316687176,-0.0429163517363389,-0.05623577159520132,-0.058090950865428814,-0.002292013707670067,-0.05002455194737265,1,0,0.004341536691051486,-0.0009759898821941615,-0.0019025849069984613,-0.03960977108266639
Guard,DualTrendGuardStrategy,BNB/USDT:USDT,2023-03-02 03:00:00+00:00,2023-03-10 09:40:00+00:00,0.09999902585756017,34.28931257,roi,105.16666666666667,0.007910968087959285,0.1033118798605524,0.1033118798605524,0.01759855189058729,2023-03-06T12:05:00+00:00,0.050080450522928394,1,0.4624999999999636,0.9749999999999875,0.0025711468019158357,-0.0009476344236980516,-0.004372158097236789,-0.014130848889966519,-0.022962861261756062,0.005372512609470255,-0.006775816083590347,-0.013504347207271672,-0.0365433027949007,0.03105568241700345,0.17647058823529374,-0.002701717319971042,0.0005975815523058259,-0.004127192517780537,-0.00761989381275191,-0.02497639060506962,-0.049831188994136855,1,0,-0.005197467530231239,-0.043960993146274,-0.02985883220171137,-0.012571577660903999,-0.0003527116381447648,-0.0008969170150957551,-0.0023221471207042423,-0.013443077664606284,0,0,0.00010239113872277856,0.0013494219702196997,-0.027166381441774634,-0.010391644031844893
Guard,DualTrendGuardStrategy,SOL/USDT:USDT,2023-05-24 04:00:00+00:00,2023-05-25 12:05:00+00:00,0.00029754945622638136,0.07405754,trailing_stop_loss,9.916666666666666,0.0021487772434258465,0.05197994474572794,0.05197994474572794,0.0013813567993451869,2023-05-24T13:50:00+00:00,0.0311572700296735,0,0.36373276776246105,0.6097560975609763,-0.017687284693300498,-0.016878505634745022,-0.01571354971664085,-0.03680362994706332,-0.03651217913157501,0.011190040004486493,-0.0246308008644891,-0.03195847312390698,-0.0525585688403285,0.08453284480502478,0.35603715170278627,-0.0051103415913987815,-0.013392319212297332,-0.005086410760844444,-0.0074408796493498006,-0.048287194942354894,-0.08978063114633228,1,0,-0.009533884890193177,-0.09316766099485074,-0.029669332407258775,-0.027551278804760493,-0.008708305518260517,-0.02929878295103161,-0.0020342036391963942,-0.025464706355777578,1,0,-0.0031618824146982657,-0.04188023754767445,-0.0028860935146721722,-0.021197262575110565
Guard,DualTrendGuardStrategy,LINK/USDT:USDT,2023-05-23 19:00:00+00:00,2023-05-28 00:50:00+00:00,0.0013074665167600887,0.48789688,trailing_stop_loss,30.5,0.006785934608266439,0.05151141270820476,0.05151141270820476,0.001696483652066644,2023-05-25T01:25:00+00:00,0.0441085749537322,0,0.18439716312056595,0.6595744680851061,-0.003988513082322842,-0.01327643432906589,-0.012027219496755781,-0.002715654952076596,-0.037168414558914176,0.009519232969497252,-0.012684870221196465,-0.023159789585087354,-0.03859407866158959,0.056062790325164126,0.2657142857142859,-0.003217571103046657,-0.008911278800258104,-0.0036253234439160087,-0.0074936764662949015,-0.033164156369775544,-0.07297558368186241,1,0,-0.00894777792662673,-0.08346072082110245,-0.013783908517511878,-0.021172824741839125,-0.0047977257484298486,-0.03723051287344792,-0.0031552652653569105,-0.02743038702013345,1,0,-0.003580116513212495,-0.035110575122237364,-0.005635331234037033,-0.010560038767255198
Guard,DualTrendGuardStrategy,ADA/USDT:USDT,2023-06-09 07:00:00+00:00,2023-06-09 19:55:00+00:00,0.050197680697989314,12.16042901,partial_exit,12.25,0.024683544303797385,0.05759493670886074,0.05759493670886074,0.04651898734177212,2023-06-09T19:10:00+00:00,0.04810126582278478,0,0.5434782608695665,0.3478260869565202,-0.007952286282306154,-0.02886798572818694,-0.059673366834170904,-0.045584953777494386,-0.0730650154798762,0.014481343639660282,-0.04515642243038709,-0.06885492418620431,-0.13428129510624753,0.09318637274549092,0.05734767025089575,-0.02999282367343492,-0.022782165937724308,-0.013096031091544419,-0.02406943283214152,-0.13224670387583948,-0.17917392595806536,1,0,-0.018582211455552996,-0.19748907842026475,-0.09194169816807196,-0.11498048634043834,-0.008227206130959064,-0.004761312357923986,-0.0008500795059508165,-0.009884154365776832,1,0,-0.0035854610718493514,-0.02676354656948554,-0.012432531155353255,0.00032452095994695007
Guard,DualTrendGuardStrategy,LINK/USDT:USDT,2023-06-07 10:00:00+00:00,2023-06-10 04:20:00+00:00,0.10002029884327579,26.68816824,roi,65.41666666666667,0.007547169811320798,0.18326497128794095,0.18326497128794095,0.049384741591468446,2023-06-10T03:20:00+00:00,0.05118949958982763,1,0.6767676767676832,0.24242424242423535,-0.011478499229056083,-0.026817338505650268,-0.036406145624582664,-0.036406145624582664,-0.03366270306481334,0.010472889329041855,-0.028902715828143966,-0.035051286128266024,-0.0636614313935635,0.05788561525129977,0.07185628742514719,-0.012828242229367515,-0.021137990703355758,-0.005348301875143893,-0.00965024409396171,-0.062449051948449075,-0.10793904334386317,1,0,-0.015721377216680252,-0.20119962807819036,-0.056058097933464945,-0.11258570361822007,-0.005687164391171118,-0.00592757702261093,-0.0011952933667967818,-0.01237950595391768,1,0,-0.00416804412878043,-0.04847274869796847,-0.010931683590571395,-0.022570011694372005
Guard,DualTrendGuardStrategy,BNB/USDT:USDT,2023-06-09 03:00:00+00:00,2023-06-10 04:20:00+00:00,0.09999155102646802,21.69879078,roi,25.416666666666668,0.024374202035052247,0.11335938406778363,0.11335938406778363,0.11123147754091393,2023-06-10T04:20:00+00:00,0.11123147754091393,1,0.48235765838011235,0.5148356054530876,-0.04810693988633641,-0.0776390289304274,-0.08939852214862742,-0.09339025691850256,-0.08684634876756503,0.01857491230599205,-0.07484214222690677,-0.08921657371596425,-0.14817780122265445,0.1672132526067944,0.3228564244405333,-0.03155386399178883,-0.05711091553483505,-0.013199545623907436,-0.022330085652786037,-0.15299606176517122,-0.21737509946898304,1,0,-0.020200881695855218,-0.21054419287952786,-0.09229282770449088,-0.08807089471472773,-0.027461405999818722,-0.027395294384229052,-0.00227077839950612,-0.036304161909681665,1,0,-0.00416804412878043,-0.04847274869796847,-0.010931683590571395,-0.022570011694372005
Guard,DualTrendGuardStrategy,ZEC/USDT:USDT,2023-06-10 02:00:00+00:00,2023-06-10 04:20:00+00:00,0.09991394706904214,23.04259111,roi,2.4166666666666665,0.002476123098691202,0.18960028298549697,0.18960028298549697,0.18712415988680578,2023-06-10T04:20:00+00:00,0.18712415988680578,1,0.5486725663716819,0.37020648967551606,-0.13478260869565228,-0.15528829147506196,-0.1768355739400208,-0.1776859504132231,-0.17711922811853897,0.03442809284517827,-0.1541939986951243,-0.1689549190327515,-0.2065738090126663,0.32830820770519265,0.32015306122448955,-0.047190335123125204,-0.1299278583400133,-0.013132670781997481,-0.018778692991219453,-0.20231734260724465,-0.2633967849807327,1,0,-0.022109192632557662,-0.2764401476221139,-0.07448269847153477,-0.15329705279525052,-0.027461405999818722,-0.027395294384229052,-0.00227077839950612,-0.036304161909681665,1,0,-0.00416804412878043,-0.04847274869796847,-0.010931683590571395,-0.022570011694372005
Guard,DualTrendGuardStrategy,ADA/USDT:USDT,2023-08-15 19:00:00+00:00,2023-08-17 21:40:00+00:00,0.09993906770365449,37.31028627,roi,17.5,0.0,0.19226750261233028,0.19226750261233028,0.031347962382445166,2023-08-16T12:25:00+00:00,0.04632532218739127,1,0.538461538461545,0.4423076923076878,-0.010082823190493473,-0.0075812274368233235,-0.014342058085335285,-0.023445825932504438,-0.04878892733564011,0.006833653796185609,-0.020588382589572407,-0.03426287436863906,-0.05536012558039094,0.06184066933430344,0.13529411764705687,-0.004901609162422438,-0.009202748810610895,-0.0058589615388437415,-0.010416765774184185,-0.057891616557049996,-0.08441325498911056,1,0,-0.008126606513687695,-0.08898927275198676,-0.03134682799954791,-0.038268462957341765,-0.0010177925211097838,-0.0068749595440315,-0.0008423240612071202,-0.008228355269488619,1,0,-0.0009269204784374561,-0.020367857350391594,-0.007190302649686342,-0.01852943937713214
Guard,DualTrendGuardStrategy,ETH/USDT:USDT,2023-08-17 15:00:00+00:00,2023-08-17 21:40:00+00:00,0.09999793598891515,32.35148408,roi,6.75,0.0005510323422248314,0.16071026944356975,0.16071026944356975,0.1573422248211956,2023-08-17T21:40:00+00:00,0.1573422248211956,1,0.43368659775829765,0.5487374067774432,-0.057878468604292466,-0.06705095688263774,-0.06894012609876199,-0.0970016849481683,-0.1064835261902658,0.01946579506697645,-0.07749212616710599,-0.09520165915071632,-0.11363187073729253,0.1990571400326231,0.3905391563460285,-0.0224460459086403,-0.05305271648802745,-0.007176421116051974,-0.009921028045279232,-0.07706847365929792,-0.09077341551186568,1,0,-0.005383125815320424,-0.09068688599373986,-0.02710061024442989,-0.06503104883011135,-0.05984764101443718,-0.09245263449038854,-0.006850052616334849,-0.08323813076786402,1,0,-0.004645810432314551,-0.08887930845300807,-0.023925819327997755,-0.0729694923048515
Guard,DualTrendGuardStrategy,SOL/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-29 14:25:00+00:00,-0.0012217794303574598,-0.27974833,trailing_stop_loss,27.166666666666668,0.004757194668173853,0.05774574914040802,0.05774574914040802,0.0006594131223212707,2023-08-25T18:05:00+00:00,0.047524845744430326,0,0.35180055401662025,0.9141274238227173,0.0062623274161734965,0.0036887664764901906,-0.012532662343946566,-0.009513177692569097,-0.024288787951231128,0.011655664372869223,-0.009570073789552214,-0.021306405538851325,-0.05292505897784172,0.04900279315921007,0.3299999999999983,-0.010900259067357698,0.0021968739564031114,-0.006554219570041445,-0.011757303942428358,-0.05979038537396031,-0.10930858705683288,1,0,-0.008209317160633459,-0.09285099317442547,-0.018515501131172063,-0.022647966822995302,-0.002165132552097271,0.0011380544651338198,-0.0027054608389333766,-0.022232565346389288,1,0,-0.009612256811290184,-0.08158604825294935,0.0017626643826604838,-0.001460851131680596
Guard,DualTrendGuardStrategy,ZEC/USDT:USDT,2023-12-31 21:00:00+00:00,2024-01-01 18:10:00+00:00,0.0008446218354726583,0.16886296,trailing_stop_loss,1.9166666666666667,0.011163125675189007,0.08282319049333817,0.08282319049333817,0.002520705797623345,2023-12-31T22:50:00+00:00,0.03312927619733519,0,0.41379310344827663,0.5210727969348657,-0.038695807954138406,-0.05361552028218708,-0.05826605826605824,-0.06548241030999657,-0.06352530541012213,0.01693200575049249,-0.049796561501847525,-0.0648755088327474,-0.10034141861063195,0.1263510995154678,0.4011799410029496,-0.01970998169787419,-0.036693953755565056,-0.008019150928086012,-0.014273793677291891,-0.09562275309675217,-0.10469274953040553,1,0,-0.007258888195656483,-0.09572424487463649,-0.04135750693593143,-0.09375420648808719,-0.007863007271874167,0.003026048682388316,-0.0006076684733720548,-0.00878454133719786,1,0,0.00582014994813006,0.04826845330964091,-0.011378520075240317,-0.005569942646088677
Guard,DualTrendGuardStrategy,ADA/USDT:USDT,2024-01-18 11:00:00+00:00,2024-01-19 03:30:00+00:00,0.05003367226475853,14.98948936,partial_exit,16.5,0.014731537119596703,0.05563093622795116,0.05563093622795116,0.05059119984493121,2024-01-19T03:25:00+00:00,0.05097887187439435,0,0.29870129870129525,0.9740259740259696,0.0048750761730651515,-0.010204081632653184,-0.014934289127837563,-0.0490196078431373,-0.0510262804527144,0.0166912125675012,-0.023573294861874428,-0.04343358379051154,-0.0735772021562282,0.07843137254901962,0.19329896907216368,-0.009973969400764893,-0.004561003420752607,-0.008202235228242427,-0.012185492053826947,-0.07249089575952983,-0.09253304569745469,1,0,-0.0036225949790515796,-0.042404801739650555,-0.037103368205229526,-0.030259495375774437,-0.0017241924383581964,-0.03625393247875286,-0.005817261391205822,-0.04773503568017545,1,0,-0.0006211775050981956,-0.010713735783536849,-0.013291277119585332,-0.013760852555485537
Guard,DualTrendGuardStrategy,NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,2024-01-22 15:20:00+00:00,0.09997022154325579,26.94179311,roi,17.916666666666668,0.009112386095173855,0.1015862301721229,0.1015862301721229,0.04927438407019909,2024-01-22T09:50:00+00:00,0.049611879851501936,1,0.5230769230769206,0.23076923076923286,-0.011938202247190999,-0.036631290653885595,-0.025960539979231423,-0.051567239635995965,-0.060434056761268784,0.018072900802111883,-0.032584039497884354,-0.044941271839902375,-0.09851658863230073,0.07604832977967305,0.07009345794392582,-0.002219807154253517,-0.021807142360547704,-0.010352767908531492,-0.01797937950813163,-0.10155673951141575,-0.12611619503945404,1,0,-0.007549750592677885,-0.12321583042354323,-0.0763338064623863,-0.10171521547535656,-0.011024378877464769,-0.02397577749405344,-0.0036098457298228376,-0.03321122698255785,1,0,-0.0032107901958556844,-0.0574387646986847,-0.02195729963074411,-0.04233118667801117
Guard,DualTrendGuardStrategy,BTC/USDT:USDT,2024-01-22 02:00:00+00:00,2024-01-26 11:30:00+00:00,0.001259581248833682,0.46867628,trailing_stop_loss,31.083333333333332,0.0016076820609275237,0.06814879641426465,0.06814879641426465,0.004798870512693436,2024-01-23T09:00:00+00:00,0.04873089819867093,0,0.8404201253599798,0.10486193460952253,-0.012574536184102092,-0.026362148452629297,-0.025889935275161813,-0.022328776747360446,-0.04370800139402242,0.009226897010648879,-0.026350782078498614,-0.04022021104901485,-0.06786231125977238,0.06033953983754439,0.026328101739611882,-0.007975393316647539,-0.019012247335450372,-0.0065735858945254735,-0.012365068402770327,-0.06810477207683141,-0.08830914666435974,1,0,-0.004764570493310786,-0.04788694933976789,-0.02797231054216598,-0.024564000404292186,-0.025889935275161813,-0.04370800139402242,-0.0065735858945254735,-0.06810477207683141,1,0,-0.004764570493310786,-0.04788694933976789,-0.02797231054216598,-0.024564000404292186
Guard,DualTrendGuardStrategy,XRP/USDT:USDT,2024-01-22 00:00:00+00:00,2024-01-31 14:05:00+00:00,0.1000613986214958,38.35226436,roi,19.75,0.006221408966148343,0.11436413540713633,0.11436413540713633,0.013174748398902076,2024-01-22T19:40:00+00:00,0.04592863677950597,1,0.4316939890710396,0.4754098360655704,-0.014989694584972901,-0.0032233598786500783,-0.01295531355613977,-0.021589428624604556,-0.0460896389040103,0.0114812902524525,-0.0167912577355932,-0.028942286918072102,-0.055238692419662505,0.06581700589689932,0.25144508670520055,-0.0009318138890636041,-0.006125458464098066,-0.00627070010639604,-0.010279199585534523,-0.05450800656063337,-0.09938223565456061,1,0,-0.010158467974238375,-0.10522121093533443,-0.03218967987967347,-0.031559368078415195,-0.027585432039060276,-0.04574892380851936,-0.004859826440635586,-0.05350512684519915,1,0,-0.0032107901958556844,-0.0574387646986847,-0.02195729963074411,-0.04233118667801117
