pair,entry_tag,matrix,quick_reverse_1h_5h,false_breakdown,range_market,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
SUI/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,4,53.7026,5.3703,4.7013,0.8337,50.0000,3.9691,92.5000,1.2641,8.6423
SUI/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,7,20.2500,2.0250,1.2919,3.1302,28.5714,0.5514,23.4286,2.9482,5.7332
TAO/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,1,-15.4298,-1.5430,0.0000,1.5430,0.0000,-1.9684,12.0000,2.4996,0.1736
TAO/USDT:USDT,short_compression_breakdown,quick_reverse_3y,True,,,3,35.4045,3.5405,2.1996,1.4504,33.3333,1.3404,44.6667,3.2825,6.0465
TAO/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,4,105.2821,10.5282,inf,0.0000,100.0000,7.7258,59.5000,1.0068,9.4041
TAO/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,4,-37.5085,-3.7509,0.0859,3.7509,25.0000,-2.9881,39.7500,4.7351,3.2601
XRP/USDT:USDT,long_1d_center_compression,quick_reverse_3y,False,,,3,26.6345,2.6635,2.3210,1.0094,33.3333,1.9021,21.3333,1.9045,7.7271
XRP/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,2,27.0337,2.7034,4.6576,0.7391,50.0000,3.9493,68.0000,1.1942,6.8130
XRP/USDT:USDT,short_compression_breakdown,quick_reverse_3y,True,,,8,-15.6562,-1.5656,0.8024,3.9790,25.0000,-0.6730,44.5000,3.4527,4.5347
XRP/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,12,86.8962,8.6896,2.4616,2.5077,33.3333,0.7950,94.0000,1.8465,5.5196
XRP/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,11,-31.5288,-3.1529,0.6338,8.6092,9.0909,-0.6691,35.0909,2.1645,2.5177
ZEC/USDT:USDT,short_compression_breakdown,quick_reverse_3y,False,,,2,75.5986,7.5599,inf,0.0000,100.0000,9.9981,48.5000,1.3837,11.6904
ZEC/USDT:USDT,short_compression_breakdown,quick_reverse_3y,True,,,1,29.6836,2.9684,inf,0.0000,100.0000,10.0164,48.0000,1.3551,10.3738
ZEC/USDT:USDT,short_pullback_restart,quick_reverse_3y,False,,,7,152.3953,15.2395,19.3325,0.8313,71.4286,6.7347,40.2857,1.2881,12.3298
ZEC/USDT:USDT,short_pullback_restart,quick_reverse_3y,True,,,3,-35.3233,-3.5323,0.0000,3.5323,0.0000,-2.7780,30.6667,3.4248,1.4986
ADA/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,2,40.1753,4.0175,6.6183,0.7151,50.0000,3.9563,2.0000,2.1997,5.7971
ADA/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,9,67.6330,6.7633,2.1596,4.0420,44.4444,2.3762,57.4444,2.0853,6.4825
ADA/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,4,-21.9412,-2.1941,0.0000,2.1941,0.0000,-1.7663,59.5000,3.0602,3.6457
ADA/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,9,259.5830,25.9583,7.3513,3.2517,66.6667,5.8413,50.4444,1.7821,9.0774
ADA/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,8,-59.4879,-5.9488,0.0000,5.9488,0.0000,-2.1439,26.0000,2.7408,3.0685
BNB/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,7,101.2182,10.1218,3.1837,4.3096,42.8571,3.2119,61.5714,1.5731,6.7267
BNB/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,1,17.7242,1.7724,inf,0.0000,100.0000,10.0009,24.0000,1.1967,13.3831
BNB/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,6,111.8031,11.1803,5.5879,1.4306,66.6667,3.7683,60.5000,2.1465,7.2706
BNB/USDT:USDT,short_pullback_restart,false_breakdown_3y,,True,,5,-54.5287,-5.4529,0.0901,5.9931,20.0000,-1.9547,48.6000,3.0578,3.2616
BTC/USDT:USDT,long_1d_center_compression,false_breakdown_3y,,False,,13,86.4999,8.6500,1.9943,4.1237,30.7692,1.7871,89.4615,1.6093,5.1468
BTC/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,False,,4,117.7653,11.7765,151.7286,0.0699,75.0000,5.0070,91.5000,0.5602,9.1447
BTC/USDT:USDT,short_compression_breakdown,false_breakdown_3y,,True,,3,-23.5912,-2.3591,0.0000,2.3591,0.0000,-2.7441,10.0000,3.2633,0.8348
BTC/USDT:USDT,short_pullback_restart,false_breakdown_3y,,False,,11,96.5425,9.6543,2.5434,3.4667,45.4545,1.7043,65.3636,1.7490,6.1662
