enter_tag,rule,terms,blocked_share,bad_capture,loser_capture,winner_kill,quality_score,sample_size
short_compression_breakdown,prev_3h_return <= -0.006 AND atr_percentile_1h >= 0.25,2,0.2839506172839506,0.2923076923076923,0.33962264150943394,0.17857142857142858,0.14945054945054945,81
short_compression_breakdown,prev_3h_return <= -0.004 AND atr_percentile_1h >= 0.4,2,0.2716049382716049,0.2923076923076923,0.32075471698113206,0.17857142857142858,0.14945054945054945,81
short_compression_breakdown,prev_6h_return <= -0.01,1,0.4074074074074074,0.46153846153846156,0.41509433962264153,0.39285714285714285,0.14725274725274728,81
short_compression_breakdown,prev_3h_return <= -0.006,1,0.41975308641975306,0.4307692307692308,0.4528301886792453,0.35714285714285715,0.14505494505494504,81
short_compression_breakdown,close_not_low_enough == True,1,0.19753086419753085,0.2,0.2641509433962264,0.07142857142857142,0.14285714285714288,81
short_compression_breakdown,prev_3h_return <= -0.008 AND atr_percentile_1h >= 0.4,2,0.18518518518518517,0.2,0.24528301886792453,0.07142857142857142,0.14285714285714288,81
short_compression_breakdown,prev_3h_return <= -0.006 AND pullback_depth >= 0.02,2,0.3950617283950617,0.4,0.4339622641509434,0.32142857142857145,0.14285714285714285,81
short_compression_breakdown,prev_3h_return <= -0.008 AND compression_width >= 0.02,2,0.32098765432098764,0.3384615384615385,0.3584905660377358,0.25,0.13846153846153847,81
short_compression_breakdown,prev_3h_return <= -0.008 AND pullback_depth >= 0.02,2,0.3333333333333333,0.3384615384615385,0.37735849056603776,0.25,0.13846153846153847,81
short_compression_breakdown,prev_6h_return <= -0.008 AND atr_percentile_1h >= 0.35,2,0.24691358024691357,0.3076923076923077,0.2641509433962264,0.21428571428571427,0.13626373626373628,81
short_compression_breakdown,compression_width >= 0.0225 AND pullback_depth >= 0.025,2,0.49382716049382713,0.5076923076923077,0.5094339622641509,0.4642857142857143,0.13626373626373622,81
short_compression_breakdown,compression_width >= 0.025,1,0.4567901234567901,0.47692307692307695,0.4716981132075472,0.42857142857142855,0.1340659340659341,81
short_compression_breakdown,compression_width >= 0.025 AND pullback_depth >= 0.02,2,0.4567901234567901,0.47692307692307695,0.4716981132075472,0.42857142857142855,0.1340659340659341,81
short_compression_breakdown,compression_width >= 0.025 AND pullback_depth >= 0.0225,2,0.4567901234567901,0.47692307692307695,0.4716981132075472,0.42857142857142855,0.1340659340659341,81
short_compression_breakdown,compression_width >= 0.025 AND pullback_depth >= 0.025,2,0.4567901234567901,0.47692307692307695,0.4716981132075472,0.42857142857142855,0.1340659340659341,81
short_compression_breakdown,prev_3h_return <= -0.004 AND atr_percentile_1h >= 0.45,2,0.2345679012345679,0.27692307692307694,0.2641509433962264,0.17857142857142858,0.13406593406593406,81
short_compression_breakdown,atr_percentile_1h >= 0.35 AND pullback_depth >= 0.02,2,0.4444444444444444,0.4461538461538462,0.4716981132075472,0.39285714285714285,0.1318681318681319,81
short_compression_breakdown,prev_3h_return <= -0.006 AND atr_percentile_1h >= 0.35,2,0.2345679012345679,0.24615384615384617,0.2830188679245283,0.14285714285714285,0.1318681318681319,81
short_compression_breakdown,prev_6h_return <= -0.008 AND atr_percentile_1h >= 0.4,2,0.19753086419753085,0.24615384615384617,0.22641509433962265,0.14285714285714285,0.1318681318681319,81
short_compression_breakdown,prev_3h_return <= -0.006 AND atr_percentile_1h >= 0.4,2,0.20987654320987653,0.2153846153846154,0.2641509433962264,0.10714285714285714,0.12967032967032968,81
short_compression_breakdown,prev_6h_return <= -0.01 AND compression_width >= 0.02,2,0.37037037037037035,0.4153846153846154,0.37735849056603776,0.35714285714285715,0.12967032967032965,81
short_compression_breakdown,atr_percentile_1h >= 0.25 AND pullback_depth >= 0.025,2,0.4074074074074074,0.4153846153846154,0.4339622641509434,0.35714285714285715,0.12967032967032965,81
short_compression_breakdown,prev_3h_return <= -0.006 AND compression_width >= 0.02,2,0.37037037037037035,0.38461538461538464,0.39622641509433965,0.32142857142857145,0.12747252747252746,81
short_compression_breakdown,atr_percentile_1h >= 0.4 AND pullback_depth >= 0.02,2,0.38271604938271603,0.38461538461538464,0.41509433962264153,0.32142857142857145,0.12747252747252746,81
short_compression_breakdown,prev_3h_return <= -0.006 AND pullback_depth >= 0.0225,2,0.3333333333333333,0.35384615384615387,0.3584905660377358,0.2857142857142857,0.1252747252747253,81
short_compression_breakdown,atr_percentile_1h >= 0.45 AND pullback_depth >= 0.02,2,0.3333333333333333,0.35384615384615387,0.3584905660377358,0.2857142857142857,0.1252747252747253,81
short_compression_breakdown,prev_3h_return <= -0.004 AND pullback_depth >= 0.0225,2,0.4444444444444444,0.49230769230769234,0.4339622641509434,0.4642857142857143,0.1208791208791209,81
short_compression_breakdown,prev_3h_return <= -0.008 AND pullback_depth >= 0.0225,2,0.2716049382716049,0.2923076923076923,0.3018867924528302,0.21428571428571427,0.1208791208791209,81
short_compression_breakdown,prev_3h_return <= -0.006 AND pullback_depth >= 0.025,2,0.2839506172839506,0.2923076923076923,0.32075471698113206,0.21428571428571427,0.1208791208791209,81
short_compression_breakdown,atr_percentile_1h >= 0.35 AND compression_width >= 0.02,2,0.43209876543209874,0.46153846153846156,0.4339622641509434,0.42857142857142855,0.1186813186813187,81
short_compression_breakdown,prev_3h_return <= -0.008 AND prev_6h_return <= -0.008,2,0.2345679012345679,0.26153846153846155,0.2641509433962264,0.17857142857142858,0.11868131868131868,81
short_compression_breakdown,prev_6h_return <= -0.01 AND atr_percentile_1h >= 0.35,2,0.20987654320987653,0.26153846153846155,0.22641509433962265,0.17857142857142858,0.11868131868131868,81
short_compression_breakdown,prev_3h_return <= -0.008 AND pullback_depth >= 0.025,2,0.2222222222222222,0.23076923076923078,0.2641509433962264,0.14285714285714285,0.1164835164835165,81
short_compression_breakdown,prev_6h_return <= -0.008 AND atr_percentile_1h >= 0.45,2,0.18518518518518517,0.23076923076923078,0.20754716981132076,0.14285714285714285,0.1164835164835165,81
short_compression_breakdown,prev_3h_return <= -0.006 AND atr_percentile_1h >= 0.45,2,0.1728395061728395,0.2,0.20754716981132076,0.10714285714285714,0.1142857142857143,81
short_compression_breakdown,atr_percentile_1h >= 0.4 AND compression_width >= 0.02,2,0.38271604938271603,0.4,0.39622641509433965,0.35714285714285715,0.11428571428571427,81
short_compression_breakdown,atr_percentile_1h >= 0.3 AND pullback_depth >= 0.025,2,0.35802469135802467,0.36923076923076925,0.37735849056603776,0.32142857142857145,0.11208791208791208,81
short_compression_breakdown,atr_percentile_1h >= 0.45 AND compression_width >= 0.02,2,0.345679012345679,0.36923076923076925,0.3584905660377358,0.32142857142857145,0.11208791208791208,81
short_compression_breakdown,prev_3h_return <= -0.006 AND prev_6h_return <= -0.008,2,0.2962962962962963,0.3384615384615385,0.3018867924528302,0.2857142857142857,0.10989010989010992,81
short_compression_breakdown,atr_percentile_1h >= 0.25 AND compression_width >= 0.025,2,0.32098765432098764,0.3384615384615385,0.33962264150943394,0.2857142857142857,0.10989010989010992,81
short_compression_breakdown,atr_percentile_1h >= 0.25 AND pullback_depth >= 0.0225,2,0.4691358024691358,0.47692307692307695,0.4716981132075472,0.4642857142857143,0.10549450549450551,81
short_compression_breakdown,prev_3h_return <= -0.008 AND compression_width >= 0.0225,2,0.25925925925925924,0.27692307692307694,0.2830188679245283,0.21428571428571427,0.10549450549450551,81
short_compression_breakdown,prev_3h_return <= -0.004 AND prev_6h_return <= -0.008,2,0.35802469135802467,0.4153846153846154,0.33962264150943394,0.39285714285714285,0.10109890109890113,81
short_compression_breakdown,prev_3h_return <= -0.004 AND compression_width >= 0.0225,2,0.38271604938271603,0.4153846153846154,0.37735849056603776,0.39285714285714285,0.10109890109890113,81
short_compression_breakdown,prev_3h_return <= -0.004 AND pullback_depth >= 0.025,2,0.38271604938271603,0.4153846153846154,0.37735849056603776,0.39285714285714285,0.10109890109890113,81
short_compression_breakdown,prev_6h_return <= -0.008 AND pullback_depth >= 0.0225,2,0.37037037037037035,0.4153846153846154,0.3584905660377358,0.39285714285714285,0.10109890109890113,81
short_compression_breakdown,prev_3h_return <= -0.008 AND compression_width >= 0.025,2,0.20987654320987653,0.2153846153846154,0.24528301886792453,0.14285714285714285,0.10109890109890111,81
short_compression_breakdown,prev_6h_return <= -0.012 AND atr_percentile_1h >= 0.3,2,0.1728395061728395,0.2153846153846154,0.18867924528301888,0.14285714285714285,0.10109890109890111,81
short_compression_breakdown,prev_6h_return <= -0.01 AND atr_percentile_1h >= 0.4,2,0.1728395061728395,0.2153846153846154,0.18867924528301888,0.14285714285714285,0.10109890109890111,81
short_compression_breakdown,prev_3h_return <= -0.006 AND compression_width >= 0.0225,2,0.30864197530864196,0.3230769230769231,0.32075471698113206,0.2857142857142857,0.09450549450549453,81
short_compression_breakdown,atr_percentile_1h >= 0.35,1,0.5308641975308642,0.5230769230769231,0.5283018867924528,0.5357142857142857,0.0945054945054945,81
short_compression_breakdown,atr_percentile_1h >= 0.3 AND compression_width >= 0.025,2,0.2716049382716049,0.2923076923076923,0.2830188679245283,0.25,0.09230769230769231,81
short_compression_breakdown,prev_3h_return <= -0.006 AND compression_width >= 0.025,2,0.25925925925925924,0.26153846153846155,0.2830188679245283,0.21428571428571427,0.09010989010989012,81
short_compression_breakdown,atr_percentile_1h >= 0.4 AND pullback_depth >= 0.025,2,0.25925925925925924,0.26153846153846155,0.2830188679245283,0.21428571428571427,0.09010989010989012,81
