pair,open_date,close_date,profit_pct,profit_abs,exit_reason,mfe_pct,mae_pct,touched_5pct,hours_to_5pct,reached_10pct,hours_open_to_close,post5_extra_mfe_pct,post5_retrace_to_be,post5_retrace_to_lock1,post5_retrace_to_lock2,post5_retrace_to_lock3,post5_retrace_to_lock4,sim_be,sim_lock1,sim_lock2,sim_lock3,sim_lock4
NEAR/USDT:USDT,2022-12-25 10:00:00+00:00,2022-12-26 00:45:00+00:00,-1.9041158280846464,-7.16849472,stop_loss,1.670463173880032,1.898253606681863,False,,False,,,,,,,,,,,,
LINK/USDT:USDT,2022-12-29 20:00:00+00:00,2023-01-01 20:05:00+00:00,-0.04415534922145256,-0.1493145,stale_loss_72h,4.048510790083829,0.5885500267522645,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2023-01-01 00:00:00+00:00,2023-01-02 01:05:00+00:00,10.011863183648257,37.47752067,roi,12.422543523163167,0.23605783416937826,True,25.083333333333332,True,25.083333333333332,7.422543523163171,False,True,True,True,True,reach10_first,ambiguous_same_bar,ambiguous_same_bar,ambiguous_same_bar,ambiguous_same_bar
DOGE/USDT:USDT,2023-02-24 16:00:00+00:00,2023-02-28 00:40:00+00:00,-0.24806868314425898,-0.51160155,stale_loss_72h,4.318042813455664,1.088685015290522,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2023-03-02 15:00:00+00:00,2023-03-02 19:30:00+00:00,-1.5864386035113247,-5.60006947,stop_loss,0.29364655632674586,1.494927923117991,False,,False,,,,,,,,,,,,
DOGE/USDT:USDT,2023-03-01 20:00:00+00:00,2023-03-03 01:30:00+00:00,9.996622760575203,36.75806329,roi,11.449346807986204,1.4049790485580504,True,29.333333333333332,True,29.5,6.449346807986197,False,False,False,True,True,reach10_first,reach10_first,reach10_first,stop_first,stop_first
SOL/USDT:USDT,2023-03-04 16:00:00+00:00,2023-03-05 00:40:00+00:00,-2.201476199096578,-8.70788687,stop_loss,3.699284009546533,2.5918854415274426,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2023-03-05 20:00:00+00:00,2023-03-06 19:10:00+00:00,-1.534134158302694,-5.93580968,trailing_stop_loss,2.446982055464929,1.522566612289286,False,,False,,,,,,,,,,,,
DOGE/USDT:USDT,2023-03-04 19:00:00+00:00,2023-03-09 20:05:00+00:00,10.001643011278237,35.60598517,roi,10.086264100862635,0.9024552090245521,True,98.75,True,121.08333333333333,5.086264100862626,False,False,False,False,False,reach10_first,reach10_first,reach10_first,reach10_first,reach10_first
LINK/USDT:USDT,2023-03-08 14:00:00+00:00,2023-03-09 20:55:00+00:00,9.999276778159434,21.53757329,roi,10.152740341419586,1.1979634621144066,True,28.5,True,30.916666666666668,5.152740341419588,False,False,False,False,True,reach10_first,reach10_first,reach10_first,reach10_first,stop_first
BNB/USDT:USDT,2023-03-02 03:00:00+00:00,2023-03-10 09:40:00+00:00,9.999902584516,37.86732779,roi,10.331187986055241,0.7910968087959285,True,105.08333333333333,True,198.66666666666666,5.331187986055241,False,False,True,True,True,reach10_first,reach10_first,stop_first,stop_first,stop_first
SOL/USDT:USDT,2023-04-07 08:00:00+00:00,2023-04-10 08:15:00+00:00,-0.08417324776339807,-0.284308,stale_loss_72h,2.2247434885556285,2.2395422257300743,False,,False,,,,,,,,,,,,
ZEC/USDT:USDT,2023-04-25 08:00:00+00:00,2023-04-25 21:15:00+00:00,-2.9060968842877264,-9.18581675,stop_loss,1.383891502906172,2.82313866592858,False,,False,,,,,,,,,,,,
DOGE/USDT:USDT,2023-05-03 12:00:00+00:00,2023-05-03 21:20:00+00:00,-1.5776569552950794,-6.52548651,trailing_stop_loss,0.8239989700012896,1.7123728595339227,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2023-05-11 09:00:00+00:00,2023-05-12 04:55:00+00:00,-2.6736085522581803,-7.55922505,trailing_stop_loss,2.4899217453165776,4.007588332938101,False,,False,,,,,,,,,,,,
BNB/USDT:USDT,2023-05-11 15:00:00+00:00,2023-05-14 15:05:00+00:00,-1.2724771074181633,-5.14495243,stale_loss_72h,2.525906735751299,1.4702072538859985,False,,False,,,,,,,,,,,,
DOGE/USDT:USDT,2023-05-08 00:00:00+00:00,2023-05-18 00:05:00+00:00,2.358941637519097,9.56065391,stale_low_profit_240h,10.015690376569037,0.8368200836819923,True,1.75,True,240.08333333333334,5.015690376569027,False,False,True,True,True,reach10_first,reach10_first,stop_first,stop_first,stop_first
LINK/USDT:USDT,2023-05-21 11:00:00+00:00,2023-05-22 09:50:00+00:00,-1.330767544228348,-5.37272422,stop_loss,2.1191028615622516,1.2838360402165536,False,,False,,,,,,,,,,,,
ZEC/USDT:USDT,2023-05-24 04:00:00+00:00,2023-05-26 18:55:00+00:00,-2.8775910413305725,-9.0869643,trailing_stop_loss,4.912836767036452,4.278922345483353,False,,False,,,,,,,,,,,,
DOGE/USDT:USDT,2023-05-24 04:00:00+00:00,2023-05-27 04:05:00+00:00,-0.0013987233505263629,-0.00250992,stale_loss_72h,4.2356241234221725,0.2524544179523136,False,,False,,,,,,,,,,,,
SOL/USDT:USDT,2023-05-24 04:00:00+00:00,2023-05-27 06:50:00+00:00,-0.2434638899824774,-0.67492831,stale_loss_72h,5.197994474572794,0.5167297656809531,True,9.833333333333334,False,74.83333333333333,0.1979944745727956,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
LINK/USDT:USDT,2023-05-23 19:00:00+00:00,2023-05-28 01:05:00+00:00,-0.84184791216609,-3.50099494,stale_loss_72h,5.151141270820476,0.9253547193090624,True,30.416666666666668,False,102.08333333333333,0.15114127082047138,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
BTC/USDT:USDT,2023-06-05 16:00:00+00:00,2023-06-06 19:20:00+00:00,-3.572917071448893,-8.35384228,trailing_stop_loss,2.578880343491637,3.741550252193952,False,,False,,,,,,,,,,,,
ADA/USDT:USDT,2023-06-09 07:00:00+00:00,2023-06-10 01:45:00+00:00,10.00243029893488,26.53717576,roi,10.284810126582288,2.4683544303797387,True,12.166666666666666,True,18.75,5.2848101265822764,False,False,False,False,False,reach10_first,reach10_first,reach10_first,reach10_first,reach10_first
LINK/USDT:USDT,2023-06-07 10:00:00+00:00,2023-06-10 04:20:00+00:00,10.002029885491075,29.20465534,roi,18.326497128794095,0.7547169811320799,True,65.33333333333333,True,66.33333333333333,13.32649712879409,False,False,False,False,False,reach10_first,reach10_first,reach10_first,reach10_first,reach10_first
BNB/USDT:USDT,2023-06-09 03:00:00+00:00,2023-06-10 04:20:00+00:00,9.999155101444673,23.76534228,roi,11.335938406778363,2.4374202035052246,True,25.333333333333332,True,25.333333333333332,6.335938406778357,False,False,False,False,False,reach10_first,reach10_first,reach10_first,reach10_first,reach10_first
ZEC/USDT:USDT,2023-06-10 02:00:00+00:00,2023-06-10 04:20:00+00:00,9.99139470886319,25.50155912,roi,18.960028298549698,0.24761230986912022,True,2.3333333333333335,True,2.3333333333333335,13.960028298549688,False,False,False,True,True,reach10_first,reach10_first,reach10_first,ambiguous_same_bar,ambiguous_same_bar
LINK/USDT:USDT,2023-06-11 14:00:00+00:00,2023-06-11 18:15:00+00:00,-2.412969808301013,-9.4716771,trailing_stop_loss,0.2349716075974242,2.369297043273929,False,,False,,,,,,,,,,,,
BNB/USDT:USDT,2023-06-11 14:00:00+00:00,2023-06-11 19:20:00+00:00,-1.832258103775412,-8.0526524,trailing_stop_loss,0.17529607935354083,1.8299200478857587,False,,False,,,,,,,,,,,,
LINK/USDT:USDT,2023-06-16 12:00:00+00:00,2023-06-16 17:55:00+00:00,-2.611212114902921,-9.15276126,trailing_stop_loss,1.3302486986697502,2.54482359745517,False,,False,,,,,,,,,,,,
ADA/USDT:USDT,2023-06-16 12:00:00+00:00,2023-06-16 18:05:00+00:00,-3.1830631949781676,-9.48829383,stop_loss,1.9058732010890767,4.045118630882933,False,,False,,,,,,,,,,,,
ZEC/USDT:USDT,2023-06-13 16:00:00+00:00,2023-06-16 18:10:00+00:00,-0.7228541798388638,-1.82531017,stale_loss_72h,4.211793020457284,2.847974328118736,False,,False,,,,,,,,,,,,
