rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,rejected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5,proxy_half_profit_from_reach5
adverse_before_5pct <= 0.015 AND node_close_position <= 0.35,2,43,0.35537190082644626,0.7441860465116279,0.058235633288487354,0.07435229114929928,0.0633524190015767,0.06726146447556075,0.058654119995205534,0.05432705999760277
node_close_position <= 0.4 AND node_ret_3h <= -0.015,2,59,0.48760330578512395,0.6949152542372882,0.008964841014147629,0.06774150826034632,0.06680464861584547,0.06726146447556075,0.05865081807735895,0.054325409038679474
adverse_before_5pct <= 0.0175 AND node_close_vs_ema20 <= -0.015,2,45,0.371900826446281,0.7555555555555555,0.069605142332415,0.07322067399556938,0.06373298515450303,0.06726146447556075,0.05863578784959192,0.05431789392479596
node_body_ratio >= 0.4 AND node_close_position <= 0.3,2,51,0.4214876033057851,0.7058823529411765,0.019931939718035974,0.07041682377655603,0.06496255984197848,0.06726146447556075,0.05860543812069717,0.05430271906034859
node_body_ratio >= 0.5 AND node_close_position <= 0.25,2,41,0.33884297520661155,0.7560975609756098,0.07014714775246922,0.07537473920626193,0.0631034111760764,0.06726146447556075,0.05859805212774165,0.054299026063870826
hours_to_5pct <= 14 AND node_close_profit >= 0.047,2,37,0.30578512396694213,0.8108108108108109,0.12486039758767031,0.078081597027455,0.06249545370865496,0.06726146447556075,0.058586934628230045,0.054293467314115024
adverse_before_5pct <= 0.015 AND node_close_profit >= 0.05,2,48,0.39669421487603307,0.7291666666666666,0.04321625344352609,0.07162334793583629,0.06439337672085904,0.06726146447556075,0.058577857032397866,0.05428892851619894
hours_to_5pct <= 18 AND node_ret_3h <= -0.01,2,52,0.4297520661157025,0.7307692307692307,0.044818817546090184,0.06986381668343014,0.06530027150731135,0.06726146447556075,0.05853651626064767,0.054268258130323835
hours_to_5pct <= 18 AND node_close_vs_ema20 <= -0.005,2,52,0.4297520661157025,0.7307692307692307,0.044818817546090184,0.06986381668343014,0.06530027150731135,0.06726146447556075,0.05853651626064767,0.054268258130323835
hours_to_5pct <= 14 AND node_body_ratio >= 0.4,2,37,0.30578512396694213,0.8108108108108109,0.12486039758767031,0.07791146475241165,0.0625703929250431,0.06726146447556075,0.05853491070941514,0.05426745535470757
adverse_before_5pct <= 0.0175 AND node_close_position <= 0.3,2,43,0.35537190082644626,0.7441860465116279,0.058235633288487354,0.07401456402378008,0.06353860190410653,0.06726146447556075,0.05853410126464912,0.054267050632324565
adverse_before_5pct <= 0.0125 AND hours_to_5pct <= 12,2,30,0.24793388429752067,0.8666666666666667,0.18071625344352615,0.08441572507258975,0.061606213729287464,0.06726146447556075,0.05853282439816275,0.054266412199081376
node_close_profit >= 0.047 AND node_close_vs_ema20 <= -0.015,2,46,0.38016528925619836,0.7391304347826086,0.053180021559468105,0.0722940498488219,0.06417481211329391,0.06726146447556075,0.05847542390946949,0.054237711954734744
adverse_before_5pct <= 0.0175 AND node_close_position <= 0.35,2,45,0.371900826446281,0.7333333333333333,0.04738292011019274,0.07275468572195262,0.06400889926388136,0.06726146447556075,0.05846248642551958,0.054231243212759794
adverse_before_5pct <= 0.015 AND node_close_position <= 0.4,2,53,0.4380165289256198,0.6981132075471698,0.012162794324029225,0.06931615801099308,0.06566001216117967,0.06726146447556075,0.058460796484154004,0.054230398242076996
hours_to_5pct <= 18 AND node_body_ratio >= 0.4,2,44,0.36363636363636365,0.7727272727272727,0.08677685950413216,0.07324352119343171,0.06384314635106307,0.06726146447556075,0.05845218952488426,0.054226094762442126
hours_to_5pct <= 14 AND node_ret_3h <= -0.015,2,43,0.35537190082644626,0.7674418604651163,0.08149144724197577,0.07369575780188822,0.06371435405207254,0.06726146447556075,0.058420806491580116,0.054210403245790066
node_close_profit >= 0.05 AND node_ret_3h <= -0.02,2,38,0.3140495867768595,0.7894736842105263,0.10352327098738578,0.0767530058344526,0.0629159395160681,0.06726146447556075,0.05840177042734876,0.05420088521367438
adverse_before_5pct <= 0.0075 AND hours_to_5pct <= 16,2,34,0.2809917355371901,0.8235294117647058,0.1375789985415653,0.079878758189183,0.062330568081731375,0.06726146447556075,0.058395684119274566,0.054197842059637284
node_body_ratio >= 0.2 AND node_ret_3h <= -0.03,2,57,0.47107438016528924,0.7017543859649122,0.0158039727417717,0.06778543260656891,0.06679480535888162,0.06726146447556075,0.05837826164111098,0.054189130820555494
