period,model,group_type,group_value,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate_pct,avg_profit_pct,median_profit_pct,avg_duration_h,median_duration_h,max_duration_h,best_trade_abs,worst_trade_abs,avg_mae_pct,avg_mfe_pct,activated_count,top5_winner_share_pct,exit_reason_distribution
3y,baseline,month,2026-04,6,-33.167546449999996,-3.3167546449999996,0.4693764424828426,4.113699060540572,33.33333333333333,-0.8729974184617031,-1.1040338087899966,94.16666666666667,74.0,266.0,23.93708145,-22.25873017,1.9823386949647956,4.282902752282883,0,100.0,"{""stale_flat_120h"": 1, ""stale_loss_72h"": 1, ""stale_low_profit_240h"": 1, ""stop_loss"": 2, ""trailing_stop_loss"": 1}"
3y,baseline,month,2026-05,4,-36.19888878,-3.6198888780000003,0.0,3.6198888780000065,0.0,-1.5404313168800987,-1.032347340364716,49.0,43.0,98.0,-0.32324129,-19.52740337,2.71262713747447,2.912688347903087,0,0.0,"{""stale_loss_72h"": 2, ""trailing_stop_loss"": 2}"
3y,baseline,month,2026-06,12,240.7129328,24.07129328,3.144848493381192,7.441797692731162,50.0,3.019569578828072,0.07837086864376291,33.333333333333336,35.5,73.0,95.28293221,-23.48846993,2.487478658601844,5.40814304989196,0,98.27520367881316,"{""force_exit"": 1, ""roi"": 5, ""stale_loss_72h"": 1, ""stop_loss"": 4, ""trailing_stop_loss"": 1}"
3y,baseline,market_period,pressure_202603_202605,17,-129.22732886,-12.922732885999999,0.38728514837176947,17.2539030320964,17.647058823529413,-1.0453658361139415,-2.078238929345367,61.23529411764706,38.0,266.0,52.34289356,-22.51784396,2.441824394556309,3.9492326569029883,0,100.0,"{""roi"": 1, ""stale_flat_120h"": 1, ""stale_loss_72h"": 4, ""stale_low_profit_240h"": 1, ""stop_loss"": 7, ""trailing_stop_loss"": 3}"
3y,baseline,market_period,strong_202601_202602,24,409.16105209,40.916105208999994,3.3292570722094217,5.690539631949864,50.0,2.976195760828487,0.2676159816333858,67.16666666666667,47.5,383.0,86.93554841,-22.38113319,2.2520763912370754,7.078545947004571,0,57.97997010116216,"{""roi"": 10, ""stale_flat_120h"": 2, ""stale_loss_72h"": 4, ""stop_loss"": 4, ""trailing_stop_loss"": 4}"
3y,baseline,market_period,repair_202606,12,240.7129328,24.07129328,3.144848493381192,7.441797692731162,50.0,3.019569578828072,0.07837086864376291,33.333333333333336,35.5,73.0,95.28293221,-23.48846993,2.487478658601844,5.40814304989196,0,98.27520367881316,"{""force_exit"": 1, ""roi"": 5, ""stale_loss_72h"": 1, ""stop_loss"": 4, ""trailing_stop_loss"": 1}"
3y,A_giveback50_floor1,all,all,291,215.38830706000078,21.538830706000077,1.1487983906117791,15.38944617389541,57.0446735395189,0.11423443905383149,1.4809412793239143,22.34020618556701,12.0,336.0,57.582189599999985,-23.48846993,1.965420527429743,3.052059913528498,166,11.581929215547927,"{""counterfactual_A_giveback50_floor1"": 164, ""max_hold_14d"": 2, ""stale_loss_72h"": 8, ""stop_loss"": 91, ""swing_exit_long_1d"": 1, ""trailing_stop_loss"": 25}"
3y,A_giveback50_floor1,entry_tag,long_1d_center_compression,47,172.29022885000072,17.229022885000074,1.7814608765606903,7.309395100763877,55.319148936170215,0.6783714742223991,1.4258089782378418,44.4468085106383,13.0,336.0,57.582189599999985,-19.22016428,1.5350306351468288,3.4806358750960253,26,45.09670503827506,"{""counterfactual_A_giveback50_floor1"": 24, ""max_hold_14d"": 2, ""stop_loss"": 20, ""swing_exit_long_1d"": 1}"
3y,A_giveback50_floor1,entry_tag,short_compression_breakdown,78,-25.263451389999705,-2.5263451389999707,0.9379027546478896,7.895426602587497,58.97435897435898,-0.053132241079670635,1.4929403140770843,18.474358974358974,12.5,75.0,27.630910440000054,-22.51784396,2.1998497494989144,3.0332929769637484,46,26.406108136690904,"{""counterfactual_A_giveback50_floor1"": 46, ""stale_loss_72h"": 1, ""stop_loss"": 18, ""trailing_stop_loss"": 13}"
3y,A_giveback50_floor1,entry_tag,short_pullback_restart,166,68.36152959999977,6.8361529599999775,1.0833464933782384,15.775778554826408,56.62650602409639,0.03315106795437661,1.4817186225738048,17.897590361445783,11.5,108.0,31.344687599999894,-23.48846993,1.9771244166821622,2.9395343162898038,94,14.308532579470437,"{""counterfactual_A_giveback50_floor1"": 94, ""stale_loss_72h"": 7, ""stop_loss"": 53, ""trailing_stop_loss"": 12}"
